param_clf__C,param_clf__l1_ratio,mean_test_score,std_test_score,rank_test_score
0.1,0.3,0.86,0.03741657386773941,1
1.0,0.9,0.8400000000000001,0.037416573867739396,2
0.1,0.5,0.8300000000000001,0.024494897427831747,3
1.0,0.5,0.8200000000000001,0.03999999999999998,4
1.0,0.7,0.82,0.03999999999999998,5
0.1,0.7,0.8100000000000002,0.037416573867739396,6
0.1,0.1,0.8099999999999999,0.037416573867739396,7
1.0,0.3,0.8099999999999999,0.037416573867739396,7
10.0,0.9,0.8099999999999999,0.037416573867739396,7
10.0,0.5,0.79,0.058309518948453015,10
10.0,0.7,0.79,0.04898979485566354,10
1.0,0.1,0.78,0.05099019513592786,12
10.0,0.3,0.7700000000000001,0.0678232998312527,13
10.0,0.1,0.7700000000000001,0.05099019513592786,13
0.1,0.9,0.7699999999999999,0.024494897427831803,15
0.01,0.1,0.76,0.03741657386773945,16
0.01,0.3,0.36000000000000004,0.020000000000000018,17
0.01,0.5,0.36000000000000004,0.020000000000000018,17
0.01,0.7,0.34,0.019999999999999997,19
0.01,0.9,0.32999999999999996,0.02449489742783177,20
