Sample	tSNE1	tSNE2
Array.129	4.9992657	-1.1013823
Array.34	0.8857364	-7.6660614
Array.67	7.3608913	-4.0652065
Array.24	2.011219	-4.6829796
Array.22	-7.788273	-2.9095392
Array.36	0.10005668	-4.829253
Array.49	-8.656728	-2.9047577
Array.16	-2.051302	-10.846926
Array.146	2.7089884	-1.5335932
Array.143	1.369979	8.102802
Array.65	-6.239797	-4.234333
Array.62	-13.826551	6.6317315
Array.4	7.040678	4.409429
Array.76	11.198118	2.042081
Array.118	-12.412651	5.861033
Array.154	-17.133144	6.6649985
Array.48	6.067636	6.0893264
Array.6	-1.4165161	2.9307477
Array.39	-5.3931046	-0.14229
Array.86	10.078847	-5.5959883
Array.112	7.838081	-2.8069234
Array.79	3.1960242	-0.41297978
Array.124	-17.197865	9.175694
Array.19	-0.717761	-13.851671
Array.27	-5.119548	-2.2773998
Array.106	-3.9876645	-8.696397
Array.110	-3.9415708	-7.655336
Array.69	-9.481407	-8.444602
Array.73	-2.4160619	-9.833727
Array.95	-12.324321	0.6330392
Array.98	-11.792162	-0.3700169
Array.17	4.5309753	0.9350447
Array.33	3.7591212	-11.778858
Array.138	-3.3501403	1.0051783
Array.149	-5.6170034	-11.654264
Array.101	-12.840394	1.210934
Array.90	-0.5139326	-14.550842
Array.99	-2.181819	-2.0743582
Array.57	-1.6199274	1.0302106
Array.105	0.35381943	7.3615823
Array.85	7.211391	-10.395078
Array.114	9.758422	-3.9111173
Array.56	11.752475	-7.212866
Array.5	5.602596	-7.1472945
Array.8	-7.7870584	-9.368218
Array.113	9.219862	-7.6857495
Array.148	-4.2372894	8.358174
Array.42	-1.369494	-6.114063
Array.25	3.25628	-8.146407
Array.102	-3.6909163	-0.90923864
Array.55	13.152879	-2.323765
Array.141	1.6445735	0.24313998
Array.43	3.3841796	-5.7199864
Array.159	0.863437	-10.700198
Array.52	-7.8626466	-6.087153
Array.88	12.456278	-1.7469332
Array.125	1.6678468	-2.864724
Array.152	3.549658	-2.1894221
Array.50	-16.05153	8.644688
Array.23	-4.8003793	5.683647
Array.68	3.2185414	-3.7695634
Array.94	-4.257038	-4.565071
Array.153	11.100216	-5.3145576
Array.51	-16.94603	6.7741632
Array.142	-3.5442715	3.0784874
Array.144	-6.9748273	3.1028838
Array.37	0.4924351	-3.850696
Array.78	-1.3648466	-8.768184
Array.18	-5.2304544	1.1764183
Array.82	-2.077559	-0.46543014
Array.75	7.203628	-0.081408106
Array.139	-8.446483	-8.4203615
Array.2	12.889033	-8.291971
Array.117	1.7173357	-6.0507345
Array.60	-6.0136213	-3.4706607
Array.38	7.7064347	-11.032098
Array.72	-5.148887	7.15305
Array.104	1.8598286	-3.7308912
Array.137	6.3199587	5.1179466
Array.145	-7.4206862	-0.04589867
Array.31	-13.723299	9.655807
Array.135	-14.00159	8.775818
Array.111	-15.674959	8.000291
Array.7	9.292086	-5.9805894
Array.21	-0.49660224	7.868506
Array.53	1.7098767	-1.3815272
Array.59	4.5378327	-5.3588524
Array.71	2.9234145	2.5641084
Array.47	4.91996	-3.1446943
Array.107	10.046289	1.8889962
Array.64	-0.14751415	-0.43575087
Array.89	-2.9678469	-0.002100248
Array.30	-14.017614	8.100641
Array.35	-0.035347033	-2.961649
Array.93	0.070371754	5.159712
Array.10	-1.8196119	-4.062429
Array.123	-4.446276	-11.329851
Array.100	1.9848223	-3.2162063
Array.134	-6.1143413	7.4153967
Array.130	0.72703433	2.0711794
