Sample	tSNE1	tSNE2
Array.129	-4.1803665	-23.856857
Array.34	-13.53748	8.486799
Array.67	-2.2676353	-7.5665245
Array.24	-12.155092	12.588769
Array.22	-0.89911455	6.873591
Array.36	-9.729951	8.447412
Array.49	6.9497023	15.00562
Array.16	-17.854668	-16.963566
Array.146	-4.867074	5.020864
Array.143	18.728603	12.690646
Array.65	11.728461	11.421594
Array.62	25.70832	-7.043165
Array.4	-22.940098	-8.888775
Array.76	-19.36885	-9.705689
Array.118	15.475187	1.2271034
Array.154	29.11563	-5.4582095
Array.48	-25.9357	-3.145222
Array.6	-7.2793703	-8.388369
Array.39	2.5813599	8.579212
Array.86	-13.934955	1.3845024
Array.112	-19.534477	7.874532
Array.79	-5.495042	-12.517911
Array.124	28.55874	-1.7798988
Array.19	-19.328156	-13.974459
Array.27	0.9246122	4.876644
Array.106	-10.585161	-13.484493
Array.110	-10.127003	-9.901327
Array.69	5.2604485	22.146902
Array.73	-12.709375	-10.888432
Array.95	18.681387	-3.8703377
Array.98	12.978588	-4.9852304
Array.17	-0.9191454	-17.400238
Array.33	-2.774433	22.013306
Array.138	-27.092304	-13.932823
Array.149	-30.152706	4.942201
Array.101	22.326307	-2.9548225
Array.90	9.798614	-11.382441
Array.99	0.69589895	17.251902
Array.57	5.0924964	5.875095
Array.105	7.201255	2.4814408
Array.85	-15.632275	-0.9875098
Array.114	-21.25687	2.6611643
Array.56	-23.99738	4.346344
Array.5	-0.64551324	-11.924193
Array.8	-1.8996534	-3.3250694
Array.113	-16.63328	3.5944424
Array.148	-15.422166	18.680847
Array.42	12.184474	19.471949
Array.25	-17.768042	13.089889
Array.102	-1.813842	10.726687
Array.55	4.078294	-10.78621
Array.141	1.7595519	2.3348284
Array.43	-7.2350636	0.22891927
Array.159	-11.541886	-19.95136
Array.52	-6.080632	-4.222449
Array.88	5.4662757	-16.799862
Array.125	-4.625682	2.7292175
Array.152	-14.780378	-13.743703
Array.50	25.4434	-1.5600284
Array.23	-7.792402	-17.050589
Array.68	-11.4100685	-1.5943717
Array.94	6.979765	-4.0207276
Array.153	-3.7254076	14.62048
Array.51	30.24928	-8.108504
Array.142	14.663917	7.7138243
Array.144	-11.8340025	-7.3783484
Array.37	-9.357838	5.0946865
Array.78	-14.864563	-6.7369723
Array.18	-24.160711	-13.426135
Array.82	-9.234577	22.780247
Array.75	-19.593786	-6.63694
Array.139	0.8445662	-0.5145257
Array.2	-17.007948	-21.397665
Array.117	-9.635683	2.4196546
Array.60	-0.75010055	3.280735
Array.38	-18.65336	-0.51088506
Array.72	11.05268	3.4333313
Array.104	-7.2439685	6.278861
Array.137	-8.575505	-5.0293827
Array.145	2.171986	12.362949
Array.31	24.004568	-10.093851
Array.135	20.256516	-8.462782
Array.111	25.516697	-4.0006466
Array.7	-12.554132	-25.48384
Array.21	9.537619	-0.37094095
Array.53	-7.3657646	11.533638
Array.59	-12.414667	4.8391995
Array.71	4.397462	-0.3371766
Array.47	-9.061609	16.163086
Array.107	-23.055912	-19.607666
Array.64	8.849796	6.729873
Array.89	3.8632083	3.1303196
Array.30	22.234344	-6.5248017
Array.35	-4.9271693	8.25574
Array.93	20.953592	2.6523051
Array.10	-2.8031495	0.3468463
Array.123	2.530223	-4.8151526
Array.100	-6.634121	3.9007819
Array.134	5.9370666	10.044021
Array.130	-15.919453	-10.066717
