Sample	tSNE1	tSNE2
Array.129	71.80906	-35.380383
Array.34	37.014507	20.451853
Array.67	7.2304344	43.9905
Array.24	80.73963	35.818188
Array.22	-6.670417	-14.187644
Array.36	51.36893	56.49592
Array.49	-0.80211216	-21.997484
Array.16	83.424095	-8.270405
Array.146	12.253201	18.723307
Array.143	-7.0000844	-54.252415
Array.65	-33.10749	12.466324
Array.62	-83.07848	-51.022064
Array.4	-9.238557	42.925415
Array.76	34.124863	62.860085
Array.118	-68.46417	-44.146904
Array.154	-83.4335	-85.00211
Array.48	77.120125	14.002636
Array.6	7.6361046	29.470509
Array.39	1.7877377	-7.1233563
Array.86	18.772924	41.39695
Array.112	4.4476953	55.121353
Array.79	-49.29963	12.525961
Array.124	-68.48119	-87.243065
Array.19	-24.685051	42.934483
Array.27	2.5371218	1.9895838
Array.106	-25.437134	-28.210989
Array.110	-18.397411	-19.846224
Array.69	24.136997	-15.977813
Array.73	13.421283	-5.7063537
Array.95	-46.993073	-61.382416
Array.98	-46.394936	-47.323616
Array.17	43.582848	-9.451853
Array.33	-70.27246	16.274303
Array.138	-53.09218	33.35887
Array.149	-55.313507	-7.794488
Array.101	-51.34156	-69.12213
Array.90	-34.24577	44.91393
Array.99	30.500502	-4.3001866
Array.57	17.545544	-29.811153
Array.105	-17.54779	-49.799145
Array.85	31.221449	32.856087
Array.114	16.478027	54.7257
Array.56	-38.781097	59.269184
Array.5	33.353775	84.91022
Array.8	-40.373444	-8.234432
Array.113	19.405512	30.144583
Array.148	12.751996	-45.38956
Array.42	-44.75324	-25.073814
Array.25	9.832125	92.48397
Array.102	-26.031912	1.4336855
Array.55	61.716248	41.1439
Array.141	-12.053916	8.201668
Array.43	43.751316	7.7333336
Array.159	34.64208	-25.362278
Array.52	58.16336	78.33751
Array.88	53.980938	32.968792
Array.125	7.013046	11.156365
Array.152	62.25427	-15.832184
Array.50	-68.46291	-74.299126
Array.23	51.1105	-51.034046
Array.68	21.028635	2.296164
Array.94	-15.293014	-3.9125102
Array.153	33.642914	-43.096573
Array.51	-86.36161	-77.71068
Array.142	-11.165344	-77.61969
Array.144	-32.407894	27.297989
Array.37	4.1854706	18.753906
Array.78	11.1914	-16.378864
Array.18	31.421642	-64.84499
Array.82	8.51256	-65.39765
Array.75	17.654278	68.481995
Array.139	-29.661491	-12.082087
Array.2	-26.488049	66.097664
Array.117	23.112793	19.370018
Array.60	-2.6576886	9.594991
Array.38	39.58355	38.53932
Array.72	1.7193551	-37.323784
Array.104	15.77881	11.531758
Array.137	-2.5569353	33.275673
Array.145	-15.435117	28.585217
Array.31	-87.41409	-62.691883
Array.135	-76.301186	-61.64001
Array.111	-76.59127	-72.209404
Array.7	-12.172567	59.3274
Array.21	-27.67088	-45.84942
Array.53	-47.15999	78.96122
Array.59	53.315693	16.595648
Array.71	-19.610146	16.694237
Array.47	1.1276082	72.34003
Array.107	31.394335	51.192547
Array.64	59.767857	0.716551
Array.89	-5.2412825	-0.6719767
Array.30	-69.01566	-57.884594
Array.35	-4.6085525	20.14664
Array.93	-26.6622	-64.97294
Array.10	-17.123169	85.88729
Array.123	29.977312	9.6029
Array.100	11.35761	5.1909404
Array.134	-8.79814	-34.311985
Array.130	49.61594	-28.37292
