Sample	tSNE1	tSNE2
Array.129	-1.8787711	3.5686617
Array.34	-2.5454612	2.1170528
Array.67	-2.5996861	3.5120535
Array.24	-4.110832	1.7977151
Array.22	-1.4685348	1.6280754
Array.36	-2.775318	1.8232031
Array.49	-0.32087627	1.6287574
Array.16	-1.2812579	4.5971346
Array.146	-1.9008708	2.1920466
Array.143	-1.9290545	-0.30201823
Array.65	0.15904295	1.8427852
Array.62	0.2978343	-1.2093906
Array.4	-1.130804	4.7120523
Array.76	-1.3272808	4.0866385
Array.118	-0.19475226	0.2355074
Array.154	0.24360871	-1.5090995
Array.48	-0.2424376	3.0674007
Array.6	-1.3210912	3.234058
Array.39	-1.1283475	1.5908048
Array.86	-2.3570936	2.959696
Array.112	-2.242075	3.0937533
Array.79	-0.09995873	3.8327925
Array.124	0.37888142	-1.2324715
Array.19	-0.97549146	4.4012256
Array.27	-1.2167505	1.8229064
Array.106	0.84777343	3.418954
Array.110	-0.7554361	2.8968976
Array.69	0.26148918	2.1834457
Array.73	-0.93796223	3.0818717
Array.95	-0.3376859	-0.9203398
Array.98	-1.0318646	-0.36154404
Array.17	-1.8296175	2.7978637
Array.33	1.1331565	2.5140417
Array.138	-0.13355938	4.553395
Array.149	0.21717918	2.784743
Array.101	0.066944756	-1.2062969
Array.90	0.81681997	4.3854284
Array.99	-0.8087786	1.6410012
Array.57	-0.68510735	0.74846613
Array.105	-0.51394236	1.1816432
Array.85	-2.6424446	3.0588965
Array.114	-3.1274486	4.030286
Array.56	-3.3921285	4.179567
Array.5	-3.2561665	2.689652
Array.8	-0.34223226	2.4014668
Array.113	-3.8308718	3.4579902
Array.148	-3.3032928	0.32611454
Array.42	0.9956406	1.7862968
Array.25	-3.0272381	1.3597128
Array.102	-1.7386072	1.3408308
Array.55	-4.232262	2.7973485
Array.141	-1.1922026	1.8256335
Array.43	-2.4390306	1.9867136
Array.159	-2.4220161	4.677512
Array.52	-0.4656941	2.9345305
Array.88	-3.7777731	2.367708
Array.125	-1.7156775	2.1295354
Array.152	-1.7564646	3.9277327
Array.50	0.2661196	-1.1800027
Array.23	0.40340576	3.2815437
Array.68	-1.9723284	2.9249573
Array.94	-1.2665212	1.1517657
Array.153	-3.5560584	1.0473729
Array.51	0.23109145	-1.6167926
Array.142	0.85355926	1.1319643
Array.144	-0.91037226	3.1282701
Array.37	-2.0168576	2.1230738
Array.78	-0.9823589	3.099414
Array.18	-0.5140835	4.316676
Array.82	-1.4374806	0.318061
Array.75	-2.0219383	4.209823
Array.139	-0.7827013	2.1832483
Array.2	-1.5967072	5.4131575
Array.117	-2.2163935	2.1083267
Array.60	-1.3421735	1.9173126
Array.38	-3.1099195	3.3008976
Array.72	-0.9920027	1.8326788
Array.104	-1.9920145	2.1398883
Array.137	-0.999849	2.9541802
Array.145	-2.568638	0.39667562
Array.31	0.30967072	-1.2042744
Array.135	-0.12534131	-0.7787733
Array.111	0.24436946	-1.1836122
Array.7	-2.3988752	5.0117555
Array.21	0.04867316	0.894593
Array.53	-3.1596863	3.2718956
Array.59	-3.5109415	1.973832
Array.71	-1.9248638	0.88693887
Array.47	-2.792678	2.2681203
Array.107	-0.9012177	3.8135326
Array.64	-1.5722605	0.9831569
Array.89	-1.053758	1.7083611
Array.30	-0.054649513	-0.42973375
Array.35	-2.1410038	1.7711034
Array.93	0.24167885	-0.20333986
Array.10	-0.90173167	2.1267567
Array.123	-2.3848512	0.9529522
Array.100	-1.8838359	2.1099622
Array.134	-0.8575548	0.6458046
Array.130	-1.1132367	3.6028202
