param_clf__max_features,param_clf__min_samples_leaf,param_selector__C,param_selector__l1_ratio,param_selector__top_k,mean_test_score,std_test_score,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,mean_score_time
sqrt,1,0.001,0.1,5,0.6433333333333333,0.11953614051360738,471,0.8166666666666667,0.45,0.6166666666666667,0.6333333333333333,0.7,0.4834935188293457,0.020644474029541015
sqrt,1,0.001,0.1,10,0.5966666666666667,0.13597385369580758,561,0.7,0.3333333333333333,0.6166666666666667,0.6333333333333333,0.7,0.48545098304748535,0.020653200149536134
sqrt,1,0.001,0.1,20,0.51,0.092255683353987,769,0.6333333333333333,0.5166666666666667,0.35,0.55,0.5,0.49317245483398436,0.020771884918212892
sqrt,1,0.001,0.1,50,0.5466666666666666,0.18867962264113208,640,0.8166666666666667,0.6166666666666667,0.25,0.45,0.6,0.498006010055542,0.020930004119873048
sqrt,1,0.001,0.3,5,0.6433333333333333,0.11953614051360738,471,0.8166666666666667,0.45,0.6166666666666667,0.6333333333333333,0.7,0.48034348487854006,0.021137475967407227
sqrt,1,0.001,0.3,10,0.5966666666666667,0.13597385369580758,561,0.7,0.3333333333333333,0.6166666666666667,0.6333333333333333,0.7,0.48483004570007326,0.020829248428344726
sqrt,1,0.001,0.3,20,0.51,0.092255683353987,769,0.6333333333333333,0.5166666666666667,0.35,0.55,0.5,0.4912741184234619,0.020800352096557617
sqrt,1,0.001,0.3,50,0.5466666666666666,0.18867962264113208,640,0.8166666666666667,0.6166666666666667,0.25,0.45,0.6,0.4984309673309326,0.020942878723144532
sqrt,1,0.001,0.5,5,0.6433333333333333,0.11953614051360738,471,0.8166666666666667,0.45,0.6166666666666667,0.6333333333333333,0.7,0.48159475326538087,0.020911598205566408
sqrt,1,0.001,0.5,10,0.5966666666666667,0.13597385369580758,561,0.7,0.3333333333333333,0.6166666666666667,0.6333333333333333,0.7,0.4856878280639648,0.021121692657470704
sqrt,1,0.001,0.5,20,0.51,0.092255683353987,769,0.6333333333333333,0.5166666666666667,0.35,0.55,0.5,0.49289259910583494,0.020818710327148438
sqrt,1,0.001,0.5,50,0.5466666666666666,0.18867962264113208,640,0.8166666666666667,0.6166666666666667,0.25,0.45,0.6,0.498334264755249,0.021009206771850586
sqrt,1,0.001,0.7,5,0.6433333333333333,0.11953614051360738,471,0.8166666666666667,0.45,0.6166666666666667,0.6333333333333333,0.7,0.4805440425872803,0.020798683166503906
sqrt,1,0.001,0.7,10,0.5966666666666667,0.13597385369580758,561,0.7,0.3333333333333333,0.6166666666666667,0.6333333333333333,0.7,0.4862385272979736,0.020981836318969726
sqrt,1,0.001,0.7,20,0.51,0.092255683353987,769,0.6333333333333333,0.5166666666666667,0.35,0.55,0.5,0.49201102256774903,0.02086782455444336
sqrt,1,0.001,0.7,50,0.5466666666666666,0.18867962264113208,640,0.8166666666666667,0.6166666666666667,0.25,0.45,0.6,0.4977102279663086,0.020897912979125976
sqrt,1,0.001,0.9,5,0.6433333333333333,0.11953614051360738,471,0.8166666666666667,0.45,0.6166666666666667,0.6333333333333333,0.7,0.48204736709594725,0.021019506454467773
sqrt,1,0.001,0.9,10,0.5966666666666667,0.13597385369580758,561,0.7,0.3333333333333333,0.6166666666666667,0.6333333333333333,0.7,0.4842344284057617,0.02136549949645996
sqrt,1,0.001,0.9,20,0.51,0.092255683353987,769,0.6333333333333333,0.5166666666666667,0.35,0.55,0.5,0.49164857864379885,0.021065759658813476
sqrt,1,0.001,0.9,50,0.5466666666666666,0.18867962264113208,640,0.8166666666666667,0.6166666666666667,0.25,0.45,0.6,0.49900403022766116,0.020786809921264648
