param_clf__max_features,param_clf__min_samples_leaf,param_selector__k,mean_test_score,std_test_score,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,mean_score_time
sqrt,1,5,0.6133333333333333,0.16512621435334449,28,0.45,0.7,0.3833333333333333,0.7333333333333334,0.8,0.6076189517974854,0.02102813720703125
sqrt,1,10,0.61,0.11766241729815195,30,0.5333333333333333,0.45,0.6166666666666667,0.65,0.8,0.6090009212493896,0.020958328247070314
sqrt,1,15,0.7366666666666666,0.10821788720498618,4,0.5333333333333333,0.7166666666666667,0.8166666666666667,0.8166666666666667,0.8,0.6067758560180664,0.0209810733795166
sqrt,1,20,0.75,0.1282358937444756,2,0.5166666666666667,0.8,0.9,0.7333333333333334,0.8,0.6146408081054687,0.021126365661621092
sqrt,1,30,0.6966666666666667,0.08589399151150087,16,0.6333333333333333,0.6,0.8,0.65,0.8,0.6108882427215576,0.021074485778808594
sqrt,1,50,0.71,0.0592546294487706,11,0.6166666666666667,0.7,0.7,0.7333333333333334,0.8,0.6195724010467529,0.021185016632080077
sqrt,1,75,0.71,0.13482498944104457,11,0.5333333333333333,0.6,0.7,0.8166666666666667,0.9,0.6194559574127197,0.021011829376220703
sqrt,1,100,0.6366666666666667,0.10022197585581939,26,0.5333333333333333,0.6,0.7,0.55,0.8,0.6039079666137696,0.020014142990112303
sqrt,5,5,0.6,0.1570562531918633,32,0.35,0.5166666666666667,0.7166666666666667,0.6166666666666667,0.8,0.5712997913360596,0.019745874404907226
sqrt,5,10,0.6733333333333335,0.09463379711052262,21,0.5333333333333333,0.6,0.7166666666666667,0.7166666666666667,0.8,0.5867493629455567,0.020432329177856444
sqrt,5,15,0.7366666666666666,0.14039626459101795,4,0.5333333333333333,0.6166666666666667,0.9166666666666667,0.8166666666666667,0.8,0.5943825721740723,0.020710325241088866
sqrt,5,20,0.6900000000000001,0.1638427430325934,18,0.43333333333333335,0.6,0.9,0.8166666666666667,0.7,0.5958029270172119,0.020740604400634764
sqrt,5,30,0.71,0.11907047399661169,11,0.5333333333333333,0.6,0.8,0.8166666666666667,0.8,0.604276180267334,0.020954465866088866
sqrt,5,50,0.6900000000000001,0.10728984626287391,18,0.5333333333333333,0.6,0.8,0.7166666666666667,0.8,0.6028811931610107,0.020919132232666015
sqrt,5,75,0.71,0.1323295549418614,11,0.5333333333333333,0.6,0.9,0.7166666666666667,0.8,0.6035651683807373,0.02089405059814453
sqrt,5,100,0.6533333333333333,0.09092121131323905,25,0.5333333333333333,0.6,0.7,0.6333333333333333,0.8,0.6065467834472656,0.021015071868896486
0.3,1,5,0.6133333333333333,0.16512621435334449,28,0.45,0.7,0.3833333333333333,0.7333333333333334,0.8,0.5989548683166503,0.021075630187988283
0.3,1,10,0.61,0.11766241729815195,30,0.5333333333333333,0.45,0.6166666666666667,0.65,0.8,0.6037292957305909,0.021157264709472656
0.3,1,15,0.74,0.12498888839501786,3,0.5333333333333333,0.7166666666666667,0.9166666666666667,0.7333333333333334,0.8,0.6067697048187256,0.021074485778808594
0.3,1,20,0.7700000000000001,0.141578403877302,1,0.5166666666666667,0.9,0.9,0.7333333333333334,0.8,0.6094181060791015,0.021026611328125
0.3,1,30,0.7133333333333333,0.07986099033807295,8,0.7166666666666667,0.6,0.8,0.65,0.8,0.6153309345245361,0.021091794967651366
0.3,1,50,0.7133333333333333,0.06446359868604574,8,0.7166666666666667,0.6,0.7166666666666667,0.7333333333333334,0.8,0.6247790813446045,0.020861196517944335
0.3,1,75,0.6966666666666667,0.07180219742846009,16,0.6333333333333333,0.6,0.7166666666666667,0.7333333333333334,0.8,0.6282196521759034,0.020744848251342773
0.3,1,100,0.6733333333333332,0.07118052168020876,23,0.6333333333333333,0.6,0.7,0.6333333333333333,0.8,0.6352089881896973,0.02041172981262207
0.3,5,5,0.6366666666666667,0.15470401847829726,26,0.35,0.7,0.7166666666666667,0.6166666666666667,0.8,0.583000659942627,0.020542049407958986
0.3,5,10,0.6733333333333335,0.09463379711052262,21,0.5333333333333333,0.6,0.7166666666666667,0.7166666666666667,0.8,0.5945338726043701,0.020726442337036133
0.3,5,15,0.72,0.12174654911833115,7,0.5333333333333333,0.6166666666666667,0.8333333333333333,0.8166666666666667,0.8,0.5940261363983155,0.020657825469970702
0.3,5,20,0.6900000000000001,0.1638427430325934,18,0.43333333333333335,0.6,0.8166666666666667,0.9,0.7,0.596900463104248,0.02090420722961426
0.3,5,30,0.7133333333333333,0.12174654911833117,8,0.5333333333333333,0.6,0.8166666666666667,0.8166666666666667,0.8,0.6018941879272461,0.02080197334289551
0.3,5,50,0.71,0.1323295549418614,11,0.5333333333333333,0.6,0.8,0.7166666666666667,0.9,0.6095624446868897,0.021045827865600587
0.3,5,75,0.7300000000000001,0.1634353422950835,6,0.5333333333333333,0.6,1.0,0.7166666666666667,0.8,0.6179081916809082,0.021024513244628906
0.3,5,100,0.6733333333333332,0.10832051206181284,23,0.5333333333333333,0.6,0.8,0.6333333333333333,0.8,0.6268351554870606,0.020974111557006837
