param_selector__C,param_selector__l1_ratio,param_selector__top_k,mean_test_score,std_test_score,rank_test_score
0.001,0.1,5,0.4766666666666667,0.1845715759987617,169
0.001,0.1,10,0.51,0.1778263822446552,153
0.001,0.1,20,0.38666666666666666,0.1024152766382481,185
0.001,0.1,50,0.5800000000000001,0.13515423288475528,135
0.001,0.3,5,0.4766666666666667,0.1845715759987617,169
0.001,0.3,10,0.51,0.1778263822446552,153
0.001,0.3,20,0.38666666666666666,0.1024152766382481,185
0.001,0.3,50,0.5800000000000001,0.13515423288475528,135
0.001,0.5,5,0.4766666666666667,0.1845715759987617,169
0.001,0.5,10,0.51,0.1778263822446552,153
0.001,0.5,20,0.38666666666666666,0.1024152766382481,185
0.001,0.5,50,0.5800000000000001,0.13515423288475528,135
0.001,0.7,5,0.4766666666666667,0.1845715759987617,169
0.001,0.7,10,0.51,0.1778263822446552,153
0.001,0.7,20,0.38666666666666666,0.1024152766382481,185
0.001,0.7,50,0.5800000000000001,0.13515423288475528,135
0.001,0.9,5,0.4766666666666667,0.1845715759987617,169
0.001,0.9,10,0.51,0.1778263822446552,153
0.001,0.9,20,0.38666666666666666,0.1024152766382481,185
0.001,0.9,50,0.5800000000000001,0.13515423288475528,135
0.00359381,0.1,5,0.4766666666666667,0.1845715759987617,169
0.00359381,0.1,10,0.51,0.1778263822446552,153
0.00359381,0.1,20,0.38666666666666666,0.1024152766382481,185
0.00359381,0.1,50,0.5800000000000001,0.13515423288475528,135
0.00359381,0.3,5,0.4766666666666667,0.1845715759987617,169
0.00359381,0.3,10,0.51,0.1778263822446552,153
0.00359381,0.3,20,0.38666666666666666,0.1024152766382481,185
0.00359381,0.3,50,0.5800000000000001,0.13515423288475528,135
0.00359381,0.5,5,0.4766666666666667,0.1845715759987617,169
0.00359381,0.5,10,0.51,0.1778263822446552,153
0.00359381,0.5,20,0.38666666666666666,0.1024152766382481,185
0.00359381,0.5,50,0.5800000000000001,0.13515423288475528,135
0.00359381,0.7,5,0.4766666666666667,0.1845715759987617,169
0.00359381,0.7,10,0.51,0.1778263822446552,153
0.00359381,0.7,20,0.38666666666666666,0.1024152766382481,185
0.00359381,0.7,50,0.5800000000000001,0.13515423288475528,135
