param_clf__max_features,param_clf__min_samples_leaf,param_selector__C,param_selector__l1_ratio,param_selector__top_k,mean_test_score,std_test_score,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,mean_score_time
sqrt,1,0.001,0.1,5,0.6766666666666666,0.13190905958272922,384,0.7166666666666667,0.55,0.6,0.9166666666666667,0.6,0.4805877208709717,0.02068672180175781
sqrt,1,0.001,0.1,10,0.6466666666666667,0.09451631252505215,494,0.7166666666666667,0.55,0.5166666666666667,0.75,0.7,0.48253092765808103,0.020932960510253906
sqrt,1,0.001,0.1,20,0.49333333333333335,0.14204850501775013,785,0.35,0.65,0.6166666666666667,0.55,0.3,0.5021516799926757,0.02104640007019043
sqrt,1,0.001,0.1,50,0.58,0.0852447456836295,669,0.5333333333333333,0.48333333333333334,0.55,0.7333333333333334,0.6,0.4971479892730713,0.021011209487915038
sqrt,1,0.001,0.3,5,0.6766666666666666,0.13190905958272922,384,0.7166666666666667,0.55,0.6,0.9166666666666667,0.6,0.4809725284576416,0.020799684524536132
sqrt,1,0.001,0.3,10,0.6466666666666667,0.09451631252505215,494,0.7166666666666667,0.55,0.5166666666666667,0.75,0.7,0.4848356246948242,0.020956897735595705
sqrt,1,0.001,0.3,20,0.49333333333333335,0.14204850501775013,785,0.35,0.65,0.6166666666666667,0.55,0.3,0.493942928314209,0.020978879928588868
sqrt,1,0.001,0.3,50,0.58,0.0852447456836295,669,0.5333333333333333,0.48333333333333334,0.55,0.7333333333333334,0.6,0.49454584121704104,0.02078218460083008
sqrt,1,0.001,0.5,5,0.6766666666666666,0.13190905958272922,384,0.7166666666666667,0.55,0.6,0.9166666666666667,0.6,0.4775139808654785,0.020796823501586913
sqrt,1,0.001,0.5,10,0.6466666666666667,0.09451631252505215,494,0.7166666666666667,0.55,0.5166666666666667,0.75,0.7,0.4826845645904541,0.020775270462036134
sqrt,1,0.001,0.5,20,0.49333333333333335,0.14204850501775013,785,0.35,0.65,0.6166666666666667,0.55,0.3,0.49066009521484377,0.02103314399719238
sqrt,1,0.001,0.5,50,0.58,0.0852447456836295,669,0.5333333333333333,0.48333333333333334,0.55,0.7333333333333334,0.6,0.495802116394043,0.02081608772277832
sqrt,1,0.001,0.7,5,0.6766666666666666,0.13190905958272922,384,0.7166666666666667,0.55,0.6,0.9166666666666667,0.6,0.4793878078460693,0.02085413932800293
sqrt,1,0.001,0.7,10,0.6466666666666667,0.09451631252505215,494,0.7166666666666667,0.55,0.5166666666666667,0.75,0.7,0.48402957916259765,0.02082958221435547
sqrt,1,0.001,0.7,20,0.49333333333333335,0.14204850501775013,785,0.35,0.65,0.6166666666666667,0.55,0.3,0.49538478851318357,0.020857810974121094
sqrt,1,0.001,0.7,50,0.58,0.0852447456836295,669,0.5333333333333333,0.48333333333333334,0.55,0.7333333333333334,0.6,0.4944725513458252,0.02089400291442871
sqrt,1,0.001,0.9,5,0.6766666666666666,0.13190905958272922,384,0.7166666666666667,0.55,0.6,0.9166666666666667,0.6,0.4799583911895752,0.0209627628326416
sqrt,1,0.001,0.9,10,0.6466666666666667,0.09451631252505215,494,0.7166666666666667,0.55,0.5166666666666667,0.75,0.7,0.4831838130950928,0.020725059509277343
sqrt,1,0.001,0.9,20,0.49333333333333335,0.14204850501775013,785,0.35,0.65,0.6166666666666667,0.55,0.3,0.49293932914733884,0.020837974548339844
sqrt,1,0.001,0.9,50,0.58,0.0852447456836295,669,0.5333333333333333,0.48333333333333334,0.55,0.7333333333333334,0.6,0.4960482120513916,0.02106900215148926
sqrt,1,0.00359381,0.1,5,0.6766666666666666,0.13190905958272922,384,0.7166666666666667,0.55,0.6,0.9166666666666667,0.6,0.4774869441986084,0.020891571044921876
sqrt,1,0.00359381,0.1,10,0.6466666666666667,0.09451631252505215,494,0.7166666666666667,0.55,0.5166666666666667,0.75,0.7,0.48161888122558594,0.020852375030517577
sqrt,1,0.00359381,0.1,20,0.49333333333333335,0.14204850501775013,785,0.35,0.65,0.6166666666666667,0.55,0.3,0.4917145252227783,0.020875263214111327
sqrt,1,0.00359381,0.1,50,0.58,0.0852447456836295,669,0.5333333333333333,0.48333333333333334,0.55,0.7333333333333334,0.6,0.4950523853302002,0.020914602279663085
sqrt,1,0.00359381,0.3,5,0.6766666666666666,0.13190905958272922,384,0.7166666666666667,0.55,0.6,0.9166666666666667,0.6,0.4793437957763672,0.02077517509460449
sqrt,1,0.00359381,0.3,10,0.6466666666666667,0.09451631252505215,494,0.7166666666666667,0.55,0.5166666666666667,0.75,0.7,0.4864668369293213,0.020758914947509765
sqrt,1,0.00359381,0.3,20,0.49333333333333335,0.14204850501775013,785,0.35,0.65,0.6166666666666667,0.55,0.3,0.49249911308288574,0.020766592025756835
sqrt,1,0.00359381,0.3,50,0.58,0.0852447456836295,669,0.5333333333333333,0.48333333333333334,0.55,0.7333333333333334,0.6,0.49410157203674315,0.020865392684936524
sqrt,1,0.00359381,0.5,5,0.6766666666666666,0.13190905958272922,384,0.7166666666666667,0.55,0.6,0.9166666666666667,0.6,0.4785973072052002,0.02074007987976074
sqrt,1,0.00359381,0.5,10,0.6466666666666667,0.09451631252505215,494,0.7166666666666667,0.55,0.5166666666666667,0.75,0.7,0.4826469421386719,0.020769548416137696
sqrt,1,0.00359381,0.5,20,0.49333333333333335,0.14204850501775013,785,0.35,0.65,0.6166666666666667,0.55,0.3,0.4954535484313965,0.020890235900878906
sqrt,1,0.00359381,0.5,50,0.58,0.0852447456836295,669,0.5333333333333333,0.48333333333333334,0.55,0.7333333333333334,0.6,0.49565725326538085,0.021080970764160156
sqrt,1,0.00359381,0.7,5,0.6766666666666666,0.13190905958272922,384,0.7166666666666667,0.55,0.6,0.9166666666666667,0.6,0.4788623332977295,0.02095932960510254
sqrt,1,0.00359381,0.7,10,0.6466666666666667,0.09451631252505215,494,0.7166666666666667,0.55,0.5166666666666667,0.75,0.7,0.4854088306427002,0.021219396591186525
sqrt,1,0.00359381,0.7,20,0.49333333333333335,0.14204850501775013,785,0.35,0.65,0.6166666666666667,0.55,0.3,0.4945839881896973,0.020891427993774414
sqrt,1,0.00359381,0.7,50,0.58,0.0852447456836295,669,0.5333333333333333,0.48333333333333334,0.55,0.7333333333333334,0.6,0.49491658210754397,0.020876073837280275
sqrt,1,0.00359381,0.9,5,0.6766666666666666,0.13190905958272922,384,0.7166666666666667,0.55,0.6,0.9166666666666667,0.6,0.4804392337799072,0.02072749137878418
sqrt,1,0.00359381,0.9,10,0.6466666666666667,0.09451631252505215,494,0.7166666666666667,0.55,0.5166666666666667,0.75,0.7,0.4860056400299072,0.0211000919342041
sqrt,1,0.00359381,0.9,20,0.49333333333333335,0.14204850501775013,785,0.35,0.65,0.6166666666666667,0.55,0.3,0.4949806213378906,0.020947933197021484
sqrt,1,0.00359381,0.9,50,0.58,0.0852447456836295,669,0.5333333333333333,0.48333333333333334,0.55,0.7333333333333334,0.6,0.49500184059143065,0.020948076248168947
sqrt,1,0.0129155,0.1,5,0.6200000000000001,0.07916228058025275,565,0.5166666666666667,0.7166666666666667,0.6166666666666667,0.55,0.7,0.48602542877197263,0.0211000919342041
sqrt,1,0.0129155,0.1,10,0.5866666666666667,0.08781293248212993,667,0.6333333333333333,0.7166666666666667,0.5166666666666667,0.4666666666666667,0.6,0.4902825832366943,0.020996475219726564
sqrt,1,0.0129155,0.1,20,0.6033333333333333,0.13349989596333856,629,0.5333333333333333,0.8166666666666667,0.7,0.4666666666666667,0.5,0.4964743614196777,0.020703792572021484
sqrt,1,0.0129155,0.1,50,0.6599999999999999,0.11860297916438131,478,0.7166666666666667,0.8166666666666667,0.6,0.4666666666666667,0.7,0.5029321193695069,0.02094273567199707
sqrt,1,0.0129155,0.3,5,0.6766666666666666,0.13190905958272922,384,0.7166666666666667,0.55,0.6,0.9166666666666667,0.6,0.4775510311126709,0.021005821228027344
sqrt,1,0.0129155,0.3,10,0.6466666666666667,0.09451631252505215,494,0.7166666666666667,0.55,0.5166666666666667,0.75,0.7,0.4819528102874756,0.02087111473083496
sqrt,1,0.0129155,0.3,20,0.49333333333333335,0.14204850501775013,785,0.35,0.65,0.6166666666666667,0.55,0.3,0.4903003215789795,0.02086615562438965
sqrt,1,0.0129155,0.3,50,0.58,0.0852447456836295,669,0.5333333333333333,0.48333333333333334,0.55,0.7333333333333334,0.6,0.49472684860229493,0.020911264419555663
sqrt,1,0.0129155,0.5,5,0.6766666666666666,0.13190905958272922,384,0.7166666666666667,0.55,0.6,0.9166666666666667,0.6,0.47833867073059083,0.020842266082763673
sqrt,1,0.0129155,0.5,10,0.6466666666666667,0.09451631252505215,494,0.7166666666666667,0.55,0.5166666666666667,0.75,0.7,0.4825882434844971,0.020882320404052735
sqrt,1,0.0129155,0.5,20,0.49333333333333335,0.14204850501775013,785,0.35,0.65,0.6166666666666667,0.55,0.3,0.4933034420013428,0.020917224884033202
sqrt,1,0.0129155,0.5,50,0.58,0.0852447456836295,669,0.5333333333333333,0.48333333333333334,0.55,0.7333333333333334,0.6,0.4970113754272461,0.020922517776489256
sqrt,1,0.0129155,0.7,5,0.6766666666666666,0.13190905958272922,384,0.7166666666666667,0.55,0.6,0.9166666666666667,0.6,0.4801054000854492,0.020767688751220703
sqrt,1,0.0129155,0.7,10,0.6466666666666667,0.09451631252505215,494,0.7166666666666667,0.55,0.5166666666666667,0.75,0.7,0.48409261703491213,0.020966243743896485
sqrt,1,0.0129155,0.7,20,0.49333333333333335,0.14204850501775013,785,0.35,0.65,0.6166666666666667,0.55,0.3,0.4911677360534668,0.02100071907043457
sqrt,1,0.0129155,0.7,50,0.58,0.0852447456836295,669,0.5333333333333333,0.48333333333333334,0.55,0.7333333333333334,0.6,0.49533720016479493,0.020948266983032225
sqrt,1,0.0129155,0.9,5,0.6766666666666666,0.13190905958272922,384,0.7166666666666667,0.55,0.6,0.9166666666666667,0.6,0.47807860374450684,0.02083902359008789
sqrt,1,0.0129155,0.9,10,0.6466666666666667,0.09451631252505215,494,0.7166666666666667,0.55,0.5166666666666667,0.75,0.7,0.4836428165435791,0.020925617218017577
sqrt,1,0.0129155,0.9,20,0.49333333333333335,0.14204850501775013,785,0.35,0.65,0.6166666666666667,0.55,0.3,0.4908588886260986,0.020981454849243165
sqrt,1,0.0129155,0.9,50,0.58,0.0852447456836295,669,0.5333333333333333,0.48333333333333334,0.55,0.7333333333333334,0.6,0.49477062225341795,0.020973396301269532
sqrt,1,0.0464159,0.1,5,0.6666666666666667,0.06749485577105528,434,0.7333333333333334,0.7166666666666667,0.6333333333333333,0.55,0.7,0.5029792308807373,0.020941734313964844
sqrt,1,0.0464159,0.1,10,0.6433333333333333,0.13605554421305702,530,0.8166666666666667,0.7166666666666667,0.7166666666666667,0.4666666666666667,0.5,0.5045168399810791,0.020921897888183594
sqrt,1,0.0464159,0.1,20,0.6966666666666668,0.08393118874676113,261,0.7166666666666667,0.6166666666666667,0.7166666666666667,0.8333333333333333,0.6,0.5057217121124268,0.020860576629638673
sqrt,1,0.0464159,0.1,50,0.7066666666666667,0.1335830993967592,184,0.6166666666666667,0.8166666666666667,0.5333333333333333,0.6666666666666666,0.9,0.5119128227233887,0.021161365509033202
sqrt,1,0.0464159,0.3,5,0.6566666666666666,0.06879922480183429,484,0.7166666666666667,0.7166666666666667,0.6,0.55,0.7,0.5022200107574463,0.02086772918701172
sqrt,1,0.0464159,0.3,10,0.6366666666666667,0.11372481406154654,537,0.8,0.7166666666666667,0.6,0.4666666666666667,0.6,0.503785514831543,0.020947647094726563
sqrt,1,0.0464159,0.3,20,0.6433333333333333,0.13605554421305702,530,0.55,0.8166666666666667,0.8,0.55,0.5,0.5105581283569336,0.020998239517211914
sqrt,1,0.0464159,0.3,50,0.6766666666666665,0.12935738607954836,419,0.7166666666666667,0.8166666666666667,0.8,0.55,0.5,0.5146592140197754,0.02076106071472168
sqrt,1,0.0464159,0.5,5,0.6633333333333333,0.16746475582773962,463,0.6333333333333333,0.7333333333333334,0.9166666666666667,0.6333333333333333,0.4,0.4959059238433838,0.020973348617553712
sqrt,1,0.0464159,0.5,10,0.7366666666666666,0.11175369742826806,88,0.6333333333333333,0.7333333333333334,0.9,0.8166666666666667,0.6000000000000001,0.5016207695007324,0.020952224731445312
sqrt,1,0.0464159,0.5,20,0.7166666666666668,0.014907119849998644,168,0.7333333333333334,0.7333333333333334,0.7,0.7166666666666667,0.7,0.5029923915863037,0.021088409423828124
sqrt,1,0.0464159,0.5,50,0.6766666666666666,0.16519348924485155,384,0.6333333333333333,0.8166666666666667,0.43333333333333335,0.9,0.6,0.507855749130249,0.021004438400268555
sqrt,1,0.0464159,0.7,5,0.6766666666666666,0.13190905958272922,384,0.7166666666666667,0.55,0.6,0.9166666666666667,0.6,0.4775386333465576,0.020966720581054688
sqrt,1,0.0464159,0.7,10,0.6466666666666667,0.09451631252505215,494,0.7166666666666667,0.55,0.5166666666666667,0.75,0.7,0.4835365295410156,0.020860910415649414
sqrt,1,0.0464159,0.7,20,0.49333333333333335,0.14204850501775013,785,0.35,0.65,0.6166666666666667,0.55,0.3,0.4905529975891113,0.020941448211669923
sqrt,1,0.0464159,0.7,50,0.58,0.0852447456836295,669,0.5333333333333333,0.48333333333333334,0.55,0.7333333333333334,0.6,0.4964479923248291,0.021091985702514648
sqrt,1,0.0464159,0.9,5,0.6766666666666666,0.13190905958272922,384,0.7166666666666667,0.55,0.6,0.9166666666666667,0.6,0.4774998664855957,0.0208798885345459
sqrt,1,0.0464159,0.9,10,0.6466666666666667,0.09451631252505215,494,0.7166666666666667,0.55,0.5166666666666667,0.75,0.7,0.4837193489074707,0.020951128005981444
sqrt,1,0.0464159,0.9,20,0.49333333333333335,0.14204850501775013,785,0.35,0.65,0.6166666666666667,0.55,0.3,0.49169535636901857,0.02083582878112793
sqrt,1,0.0464159,0.9,50,0.58,0.0852447456836295,669,0.5333333333333333,0.48333333333333334,0.55,0.7333333333333334,0.6,0.4953627586364746,0.02107377052307129
sqrt,1,0.16681,0.1,5,0.6666666666666666,0.03496029493900506,445,0.6333333333333333,0.6333333333333333,0.7166666666666667,0.65,0.7,0.5322296142578125,0.02107381820678711
sqrt,1,0.16681,0.1,10,0.6266666666666667,0.08472176684759224,547,0.6333333333333333,0.7166666666666667,0.7166666666666667,0.5666666666666667,0.5,0.5340468883514404,0.020769834518432617
sqrt,1,0.16681,0.1,20,0.7566666666666666,0.07644896627453142,32,0.8166666666666667,0.8166666666666667,0.6166666666666667,0.7333333333333334,0.8,0.5394148349761962,0.02124338150024414
sqrt,1,0.16681,0.1,50,0.6699999999999999,0.0653197264742181,428,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.65,0.8,0.5430131435394288,0.0209716796875
sqrt,1,0.16681,0.3,5,0.6633333333333334,0.0644635986860457,460,0.6333333333333333,0.7166666666666667,0.7166666666666667,0.55,0.7,0.5434306144714356,0.020826292037963868
sqrt,1,0.16681,0.3,10,0.6033333333333333,0.10509255180289631,629,0.7166666666666667,0.7166666666666667,0.6166666666666667,0.4666666666666667,0.5,0.5423957347869873,0.020922327041625978
sqrt,1,0.16681,0.3,20,0.7333333333333334,0.0960324019392529,91,0.7166666666666667,0.9,0.7166666666666667,0.7333333333333334,0.6,0.5477128028869629,0.02097630500793457
sqrt,1,0.16681,0.3,50,0.7333333333333334,0.07226494462892932,91,0.6166666666666667,0.8166666666666667,0.7,0.7333333333333334,0.8,0.5533878326416015,0.020861339569091798
sqrt,1,0.16681,0.5,5,0.6833333333333333,0.08881941729649484,310,0.6333333333333333,0.7166666666666667,0.8166666666666667,0.55,0.7,0.5401032447814942,0.021099233627319337
sqrt,1,0.16681,0.5,10,0.6766666666666665,0.11185307823708343,419,0.7166666666666667,0.7166666666666667,0.6166666666666667,0.8333333333333333,0.5,0.5405419826507568,0.02106466293334961
sqrt,1,0.16681,0.5,20,0.6533333333333333,0.12710450643291743,486,0.7166666666666667,0.5166666666666667,0.7,0.8333333333333333,0.5,0.5448858261108398,0.02088174819946289
sqrt,1,0.16681,0.5,50,0.6766666666666666,0.05637178175095919,384,0.7166666666666667,0.7166666666666667,0.6166666666666667,0.7333333333333334,0.6000000000000001,0.5512219429016113,0.021072816848754884
sqrt,1,0.16681,0.7,5,0.6833333333333333,0.08881941729649484,310,0.6333333333333333,0.7166666666666667,0.8166666666666667,0.55,0.7,0.5238779067993165,0.020792388916015626
sqrt,1,0.16681,0.7,10,0.7366666666666667,0.08844332774281068,82,0.7166666666666667,0.9,0.6333333333333333,0.7333333333333334,0.7,0.5250248908996582,0.02090139389038086
sqrt,1,0.16681,0.7,20,0.7133333333333334,0.10402991022884824,176,0.7166666666666667,0.9,0.7166666666666667,0.6333333333333333,0.6,0.528535795211792,0.0208953857421875
sqrt,1,0.16681,0.7,50,0.7533333333333333,0.05206833117271103,37,0.7166666666666667,0.8166666666666667,0.7166666666666667,0.8166666666666667,0.7,0.5368669986724853,0.02092914581298828
sqrt,1,0.16681,0.9,5,0.6466666666666667,0.10077477638553985,494,0.7333333333333334,0.7166666666666667,0.7333333333333334,0.55,0.5,0.519263219833374,0.021034717559814453
sqrt,1,0.16681,0.9,10,0.6366666666666666,0.12083045973594571,540,0.7166666666666667,0.7166666666666667,0.7,0.65,0.4,0.5211400032043457,0.021100664138793947
sqrt,1,0.16681,0.9,20,0.7,0.09006170724070865,242,0.6333333333333333,0.8166666666666667,0.8,0.65,0.6,0.526676607131958,0.020924854278564452
sqrt,1,0.16681,0.9,50,0.7133333333333334,0.0933333333333333,176,0.6166666666666667,0.8166666666666667,0.7166666666666667,0.8166666666666667,0.6000000000000001,0.5316948890686035,0.020784902572631835
sqrt,1,0.599484,0.1,5,0.6866666666666668,0.03858612300930077,285,0.6333333333333333,0.7166666666666667,0.7333333333333334,0.65,0.7,0.6050114631652832,0.02086811065673828
sqrt,1,0.599484,0.1,10,0.65,0.0977525219907679,487,0.7333333333333334,0.7333333333333334,0.7166666666666667,0.5666666666666667,0.5,0.6059460639953613,0.020959138870239258
