param_clf__max_features,param_clf__min_samples_leaf,param_selector__k,mean_test_score,std_test_score,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,mean_score_time
sqrt,1,5,0.7133333333333333,0.10077477638553983,19,0.8,0.8166666666666667,0.7166666666666667,0.5333333333333333,0.7,0.6140971660614014,0.02123713493347168
sqrt,1,10,0.8133333333333332,0.05906681715556449,1,0.9,0.8333333333333333,0.8166666666666667,0.7166666666666667,0.8,0.6059837341308594,0.021179008483886718
sqrt,1,15,0.76,0.05830951894845302,9,0.8,0.6666666666666666,0.8166666666666667,0.7166666666666667,0.8,0.6069531917572022,0.021199703216552734
sqrt,1,20,0.7966666666666666,0.0812403840463596,3,0.9,0.65,0.8166666666666667,0.8166666666666667,0.8,0.6086602210998535,0.02116551399230957
sqrt,1,30,0.72,0.12534397117975446,15,0.9,0.65,0.7166666666666667,0.5333333333333333,0.8,0.6111214637756348,0.021060419082641602
sqrt,1,50,0.7566666666666666,0.09345230512584124,11,0.9,0.75,0.7166666666666667,0.6166666666666667,0.8,0.6150195598602295,0.020900392532348634
sqrt,1,75,0.7933333333333333,0.09463379711052258,4,0.9,0.8333333333333333,0.6166666666666667,0.8166666666666667,0.8,0.616823673248291,0.021127080917358397
sqrt,1,100,0.7933333333333332,0.10780641085864152,6,0.9,0.7333333333333334,0.6166666666666667,0.8166666666666667,0.9,0.6235308170318603,0.021066808700561525
sqrt,5,5,0.5966666666666667,0.02449489742783177,32,0.6,0.55,0.6166666666666667,0.6166666666666667,0.6,0.5930941581726075,0.02104644775390625
sqrt,5,10,0.6766666666666667,0.09345230512584124,26,0.8,0.65,0.7166666666666667,0.5166666666666667,0.7,0.5987968444824219,0.020624923706054687
sqrt,5,15,0.6966666666666668,0.10614455552060437,22,0.8,0.55,0.7166666666666667,0.8166666666666667,0.6,0.5968812465667724,0.021036195755004882
sqrt,5,20,0.6766666666666667,0.12409673645990855,26,0.9,0.55,0.7166666666666667,0.6166666666666667,0.6,0.5991560935974121,0.02097015380859375
sqrt,5,30,0.6766666666666667,0.08602325267042626,26,0.8,0.55,0.7166666666666667,0.6166666666666667,0.7,0.5994288921356201,0.021034908294677735
sqrt,5,50,0.7166666666666668,0.07527726527090811,17,0.8,0.65,0.7166666666666667,0.6166666666666667,0.8,0.6052591800689697,0.020930051803588867
sqrt,5,75,0.7566666666666666,0.09345230512584125,11,0.9,0.75,0.6166666666666667,0.7166666666666667,0.8,0.6051815986633301,0.020989418029785156
sqrt,5,100,0.7333333333333334,0.11498792207106892,14,0.9,0.8333333333333333,0.6166666666666667,0.6166666666666667,0.7,0.6048502922058105,0.021104812622070312
0.3,1,5,0.7166666666666666,0.10434983894999018,18,0.8,0.8333333333333333,0.7166666666666667,0.5333333333333333,0.7,0.5995271682739258,0.021190500259399413
0.3,1,10,0.8133333333333332,0.05906681715556449,1,0.9,0.8333333333333333,0.8166666666666667,0.7166666666666667,0.8,0.6039375782012939,0.02101168632507324
0.3,1,15,0.76,0.05830951894845302,9,0.8,0.6666666666666666,0.8166666666666667,0.7166666666666667,0.8,0.6052289485931397,0.02102489471435547
0.3,1,20,0.7766666666666667,0.08602325267042628,7,0.9,0.65,0.8166666666666667,0.7166666666666667,0.8,0.6093603134155273,0.021070289611816406
0.3,1,30,0.72,0.12534397117975446,15,0.9,0.65,0.7166666666666667,0.5333333333333333,0.8,0.6189759254455567,0.021108579635620118
0.3,1,50,0.7566666666666666,0.09345230512584125,11,0.9,0.75,0.6166666666666667,0.7166666666666667,0.8,0.626167106628418,0.021162986755371094
0.3,1,75,0.7933333333333333,0.11085526098877259,4,0.9,0.8333333333333333,0.6166666666666667,0.7166666666666667,0.9,0.636420202255249,0.02118196487426758
0.3,1,100,0.7733333333333332,0.07930251502246877,8,0.8,0.8333333333333333,0.6166666666666667,0.8166666666666667,0.8,0.645857572555542,0.021112918853759766
0.3,5,5,0.6366666666666667,0.09626352718795769,31,0.8,0.65,0.6166666666666667,0.6166666666666667,0.5,0.5891597270965576,0.02083144187927246
0.3,5,10,0.6766666666666667,0.09345230512584124,26,0.8,0.65,0.7166666666666667,0.5166666666666667,0.7,0.5928602695465088,0.020915937423706055
0.3,5,15,0.6966666666666668,0.10614455552060437,22,0.8,0.55,0.7166666666666667,0.8166666666666667,0.6,0.5969812393188476,0.020960187911987303
0.3,5,20,0.6966666666666668,0.12083045973594572,22,0.9,0.55,0.7166666666666667,0.7166666666666667,0.6,0.5986777782440186,0.02111954689025879
0.3,5,30,0.6566666666666667,0.08981462390204988,30,0.8,0.55,0.7166666666666667,0.6166666666666667,0.6,0.5997323513031005,0.02089681625366211
0.3,5,50,0.6966666666666667,0.0627162924074226,25,0.8,0.65,0.7166666666666667,0.6166666666666667,0.7,0.6082816600799561,0.021116304397583007
0.3,5,75,0.7133333333333333,0.01247219128924651,19,0.7,0.7333333333333334,0.7166666666666667,0.7166666666666667,0.7,0.6155773162841797,0.021026086807250977
0.3,5,100,0.7133333333333333,0.05906681715556451,19,0.8,0.7333333333333334,0.7166666666666667,0.6166666666666667,0.7,0.6218509197235107,0.020877981185913087
