param_selector__C,param_selector__l1_ratio,param_selector__top_k,mean_test_score,std_test_score,rank_test_score
0.001,0.1,5,0.5166666666666667,0.06582805886043834,153
0.001,0.1,10,0.5333333333333333,0.05055250296034366,137
0.001,0.1,20,0.51,0.09977753031397177,169
0.001,0.1,50,0.4866666666666667,0.09741092797468306,185
0.001,0.3,5,0.5166666666666667,0.06582805886043834,153
0.001,0.3,10,0.5333333333333333,0.05055250296034366,137
0.001,0.3,20,0.51,0.09977753031397177,169
0.001,0.3,50,0.4866666666666667,0.09741092797468306,185
0.001,0.5,5,0.5166666666666667,0.06582805886043834,153
0.001,0.5,10,0.5333333333333333,0.05055250296034366,137
0.001,0.5,20,0.51,0.09977753031397177,169
0.001,0.5,50,0.4866666666666667,0.09741092797468306,185
0.001,0.7,5,0.5166666666666667,0.06582805886043834,153
0.001,0.7,10,0.5333333333333333,0.05055250296034366,137
0.001,0.7,20,0.51,0.09977753031397177,169
0.001,0.7,50,0.4866666666666667,0.09741092797468306,185
0.001,0.9,5,0.5166666666666667,0.06582805886043834,153
0.001,0.9,10,0.5333333333333333,0.05055250296034366,137
0.001,0.9,20,0.51,0.09977753031397177,169
0.001,0.9,50,0.4866666666666667,0.09741092797468306,185
0.00359381,0.1,5,0.5166666666666667,0.06582805886043834,153
0.00359381,0.1,10,0.5333333333333333,0.05055250296034366,137
0.00359381,0.1,20,0.51,0.09977753031397177,169
0.00359381,0.1,50,0.4866666666666667,0.09741092797468306,185
0.00359381,0.3,5,0.5166666666666667,0.06582805886043834,153
0.00359381,0.3,10,0.5333333333333333,0.05055250296034366,137
0.00359381,0.3,20,0.51,0.09977753031397177,169
0.00359381,0.3,50,0.4866666666666667,0.09741092797468306,185
0.00359381,0.5,5,0.5166666666666667,0.06582805886043834,153
0.00359381,0.5,10,0.5333333333333333,0.05055250296034366,137
0.00359381,0.5,20,0.51,0.09977753031397177,169
0.00359381,0.5,50,0.4866666666666667,0.09741092797468306,185
0.00359381,0.7,5,0.5166666666666667,0.06582805886043834,153
0.00359381,0.7,10,0.5333333333333333,0.05055250296034366,137
0.00359381,0.7,20,0.51,0.09977753031397177,169
0.00359381,0.7,50,0.4866666666666667,0.09741092797468306,185
0.00359381,0.9,5,0.5166666666666667,0.06582805886043834,153
0.00359381,0.9,10,0.5333333333333333,0.05055250296034366,137
0.00359381,0.9,20,0.51,0.09977753031397177,169
0.00359381,0.9,50,0.4866666666666667,0.09741092797468306,185
0.0129155,0.1,5,0.7366666666666667,0.032317865716108875,58
0.0129155,0.1,10,0.7433333333333334,0.08339997335464536,43
0.0129155,0.1,20,0.7566666666666666,0.09637888196533975,28
0.0129155,0.1,50,0.8133333333333335,0.05312459150169741,6
0.0129155,0.3,5,0.5166666666666667,0.06582805886043834,153
0.0129155,0.3,10,0.5333333333333333,0.05055250296034366,137
0.0129155,0.3,20,0.51,0.09977753031397177,169
0.0129155,0.3,50,0.4866666666666667,0.09741092797468306,185
0.0129155,0.5,5,0.5166666666666667,0.06582805886043834,153
0.0129155,0.5,10,0.5333333333333333,0.05055250296034366,137
0.0129155,0.5,20,0.51,0.09977753031397177,169
0.0129155,0.5,50,0.4866666666666667,0.09741092797468306,185
0.0129155,0.7,5,0.5166666666666667,0.06582805886043834,153
0.0129155,0.7,10,0.5333333333333333,0.05055250296034366,137
0.0129155,0.7,20,0.51,0.09977753031397177,169
0.0129155,0.7,50,0.4866666666666667,0.09741092797468306,185
0.0129155,0.9,5,0.5166666666666667,0.06582805886043834,153
0.0129155,0.9,10,0.5333333333333333,0.05055250296034366,137
0.0129155,0.9,20,0.51,0.09977753031397177,169
0.0129155,0.9,50,0.4866666666666667,0.09741092797468306,185
0.0464159,0.1,5,0.7566666666666666,0.042946995755750415,28
0.0464159,0.1,10,0.7033333333333334,0.11897712198383165,96
0.0464159,0.1,20,0.7766666666666666,0.092255683353987,19
0.0464159,0.1,50,0.8466666666666669,0.08124038404635964,1
0.0464159,0.3,5,0.7366666666666667,0.032317865716108875,58
0.0464159,0.3,10,0.7266666666666667,0.09752492558885198,66
0.0464159,0.3,20,0.8133333333333335,0.09741092797468306,6
0.0464159,0.3,50,0.8133333333333335,0.05312459150169741,6
0.0464159,0.5,5,0.5733333333333333,0.12138094304022082,136
0.0464159,0.5,10,0.6533333333333333,0.10022197585581942,117
0.0464159,0.5,20,0.7066666666666667,0.17782638224465522,86
0.0464159,0.5,50,0.6833333333333332,0.08498365855987976,105
0.0464159,0.7,5,0.5166666666666667,0.06582805886043834,153
0.0464159,0.7,10,0.5333333333333333,0.05055250296034366,137
0.0464159,0.7,20,0.51,0.09977753031397177,169
0.0464159,0.7,50,0.4866666666666667,0.09741092797468306,185
0.0464159,0.9,5,0.5166666666666667,0.06582805886043834,153
0.0464159,0.9,10,0.5333333333333333,0.05055250296034366,137
0.0464159,0.9,20,0.51,0.09977753031397177,169
0.0464159,0.9,50,0.4866666666666667,0.09741092797468306,185
0.16681,0.1,5,0.7033333333333334,0.08259674462242578,96
0.16681,0.1,10,0.72,0.09741092797468306,82
