,KW + NMC,EN + NMC,KW + RF,EN + RF,KW + NMC (k-ens),NMC Ensemble,KW + NMC (k-grid),Standalone EN,KW + NMC (plateau),EN (plateau),EN + NMC (plateau)
KW + NMC,1.0,0.5747028862478778,0.5407830342577488,0.5045662100456622,0.7416829745596869,0.696969696969697,0.9027196652719666,0.5868055555555556,0.7432170542635659,0.5872042068361086,0.6311399443929564
EN + NMC,0.5747028862478778,1.0,0.514670896114195,0.5170842824601367,0.6051693404634582,0.7567829457364341,0.5821152192605331,0.6406388642413487,0.602112676056338,0.6112576956904133,0.6707317073170732
KW + RF,0.5407830342577488,0.514670896114195,1.0,0.6037884767166535,0.572407883461868,0.5745950554134698,0.5487603305785124,0.5434426229508197,0.5819112627986348,0.5358024691358024,0.576889661164205
EN + RF,0.5045662100456622,0.5170842824601367,0.6037884767166535,1.0,0.508235294117647,0.5430622009569378,0.5022970903522205,0.5507474429583006,0.5267295597484277,0.5397951142631994,0.5433901054339011
KW + NMC (k-ens),0.7416829745596869,0.6051693404634582,0.572407883461868,0.508235294117647,1.0,0.8010362694300518,0.781029263370333,0.5981981981981982,0.907103825136612,0.6134067952249771,0.7128514056224899
NMC Ensemble,0.696969696969697,0.7567829457364341,0.5745950554134698,0.5430622009569378,0.8010362694300518,1.0,0.7252427184466019,0.6598513011152416,0.7892057026476579,0.6517273576097106,0.7566462167689162
KW + NMC (k-grid),0.9027196652719666,0.5821152192605331,0.5487603305785124,0.5022970903522205,0.781029263370333,0.7252427184466019,1.0,0.5737847222222222,0.7628458498023716,0.5837742504409171,0.6400375939849624
Standalone EN,0.5868055555555556,0.6406388642413487,0.5434426229508197,0.5507474429583006,0.5981981981981982,0.6598513011152416,0.5737847222222222,1.0,0.6037567084078712,0.7748279252704031,0.7196078431372549
KW + NMC (plateau),0.7432170542635659,0.602112676056338,0.5819112627986348,0.5267295597484277,0.907103825136612,0.7892057026476579,0.7628458498023716,0.6037567084078712,1.0,0.6189608021877848,0.7198404785643071
EN (plateau),0.5872042068361086,0.6112576956904133,0.5358024691358024,0.5397951142631994,0.6134067952249771,0.6517273576097106,0.5837742504409171,0.7748279252704031,0.6189608021877848,1.0,0.7545454545454545
EN + NMC (plateau),0.6311399443929564,0.6707317073170732,0.576889661164205,0.5433901054339011,0.7128514056224899,0.7566462167689162,0.6400375939849624,0.7196078431372549,0.7198404785643071,0.7545454545454545,1.0
