sample,true_label,n_tested,n_errors,error_rate
Array.129,HER2+,550,0,0.0
Array.34,HR+,550,466,0.8472727272727273
Array.67,HR+,550,541,0.9836363636363636
Array.24,Triple Neg,550,13,0.023636363636363636
Array.22,Triple Neg,550,536,0.9745454545454545
Array.36,HR+,550,24,0.04363636363636364
Array.49,HER2+,550,0,0.0
Array.16,HER2+,550,0,0.0
Array.146,Triple Neg,550,415,0.7545454545454545
Array.143,HER2+,550,0,0.0
Array.65,HR+,550,2,0.0036363636363636364
Array.62,Triple Neg,550,70,0.12727272727272726
Array.4,HER2+,550,0,0.0
Array.76,HER2+,550,0,0.0
Array.118,Triple Neg,550,256,0.46545454545454545
Array.154,Triple Neg,550,197,0.35818181818181816
Array.48,HR+,550,1,0.0018181818181818182
Array.6,HER2+,550,0,0.0
Array.39,HR+,550,0,0.0
Array.86,HR+,550,0,0.0
Array.112,Triple Neg,550,20,0.03636363636363636
Array.79,HER2+,550,0,0.0
Array.124,HR+,550,468,0.850909090909091
Array.19,HER2+,550,0,0.0
Array.27,HR+,550,0,0.0
Array.106,HER2+,550,0,0.0
Array.110,HER2+,550,0,0.0
Array.69,Triple Neg,550,471,0.8563636363636363
Array.73,HER2+,550,0,0.0
Array.95,HR+,550,18,0.03272727272727273
Array.98,HR+,550,19,0.034545454545454546
Array.17,HER2+,550,0,0.0
Array.33,HR+,550,56,0.10181818181818182
Array.138,HER2+,550,0,0.0
Array.149,HR+,550,83,0.1509090909090909
Array.101,HR+,550,274,0.49818181818181817
Array.90,Triple Neg,550,171,0.3109090909090909
Array.99,Triple Neg,550,462,0.84
Array.57,Triple Neg,550,30,0.05454545454545454
Array.105,HER2+,550,0,0.0
Array.85,HR+,550,346,0.6290909090909091
Array.114,Triple Neg,550,499,0.9072727272727272
Array.56,HR+,550,173,0.3145454545454546
Array.5,Triple Neg,550,11,0.02
Array.8,HR+,550,8,0.014545454545454545
Array.113,Triple Neg,550,529,0.9618181818181818
Array.148,HER2+,550,0,0.0
Array.42,HER2+,550,0,0.0
Array.25,Triple Neg,550,66,0.12
Array.102,Triple Neg,550,53,0.09636363636363636
Array.55,HER2+,550,0,0.0
Array.141,HR+,550,0,0.0
Array.43,HR+,550,0,0.0
Array.159,Triple Neg,550,28,0.05090909090909091
Array.52,HR+,550,14,0.025454545454545455
Array.88,Triple Neg,550,77,0.14
Array.125,HER2+,550,0,0.0
Array.152,HER2+,550,0,0.0
Array.50,Triple Neg,550,39,0.07090909090909091
Array.23,HR+,550,540,0.9818181818181818
Array.68,HER2+,550,0,0.0
Array.94,HR+,550,21,0.038181818181818185
Array.153,Triple Neg,550,10,0.01818181818181818
Array.51,HER2+,550,0,0.0
Array.142,HR+,550,381,0.6927272727272727
Array.144,HER2+,550,0,0.0
Array.37,HR+,550,75,0.13636363636363635
Array.78,HER2+,550,0,0.0
Array.18,HER2+,550,0,0.0
Array.82,HR+,550,181,0.3290909090909091
Array.75,HER2+,550,0,0.0
Array.139,HER2+,550,0,0.0
Array.2,HR+,550,71,0.1290909090909091
Array.117,HR+,550,2,0.0036363636363636364
Array.60,HR+,550,0,0.0
Array.38,Triple Neg,550,222,0.4036363636363636
Array.72,HER2+,550,0,0.0
Array.104,Triple Neg,550,437,0.7945454545454546
Array.137,HR+,550,1,0.0018181818181818182
Array.145,Triple Neg,550,68,0.12363636363636364
Array.31,Triple Neg,550,11,0.02
Array.135,Triple Neg,550,29,0.05272727272727273
Array.111,Triple Neg,550,4,0.007272727272727273
Array.7,HR+,550,129,0.23454545454545456
Array.21,HER2+,550,0,0.0
Array.53,HER2+,550,0,0.0
Array.59,HR+,550,294,0.5345454545454545
Array.71,Triple Neg,550,49,0.0890909090909091
Array.47,Triple Neg,550,4,0.007272727272727273
Array.107,Triple Neg,550,408,0.7418181818181818
Array.64,Triple Neg,550,3,0.005454545454545455
Array.89,HR+,550,65,0.11818181818181818
Array.30,Triple Neg,550,2,0.0036363636363636364
Array.35,HR+,550,0,0.0
Array.93,Triple Neg,550,12,0.02181818181818182
Array.10,HER2+,550,0,0.0
Array.123,HR+,550,118,0.21454545454545454
Array.100,HR+,550,440,0.8
Array.134,HR+,550,44,0.08
Array.130,HER2+,550,0,0.0
