pipeline_a,pipeline_b,mean_diff,t_statistic,df,p_value,p_corrected,significant
kw_nmc,en_nmc,0.004393,0.0822,249,0.9345708357108686,1.0,False
kw_nmc,kw_rf,0.014548,0.2499,249,0.8028725887598691,1.0,False
kw_nmc,en_rf,0.041036,0.6385,249,0.5237574781768863,1.0,False
kw_nmc,kw_nmc_kens,-0.016964,-0.4568,249,0.6482455083347172,1.0,False
kw_nmc,nmc_ensemble,-0.013833,-0.3445,249,0.7307913774661987,1.0,False
kw_nmc,kw_nmc_kgrid,-0.00506,-0.2441,249,0.8073758982144157,1.0,False
kw_nmc,standalone_en,-0.001571,-0.0281,249,0.9776226600405993,1.0,False
kw_nmc,kw_nmc_pens,-0.010833,-0.2862,249,0.774975691349943,1.0,False
kw_nmc,standalone_en_pens,-0.006262,-0.1152,249,0.908407355782934,1.0,False
kw_nmc,en_nmc_pens,-0.022929,-0.4586,249,0.646949079266649,1.0,False
en_nmc,kw_rf,0.010155,0.1785,249,0.8584404662856342,1.0,False
en_nmc,en_rf,0.036643,0.5635,249,0.5735753245278667,1.0,False
en_nmc,kw_nmc_kens,-0.021357,-0.4199,249,0.6749362906300964,1.0,False
en_nmc,nmc_ensemble,-0.018226,-0.4884,249,0.6256923585507508,1.0,False
en_nmc,kw_nmc_kgrid,-0.009452,-0.1793,249,0.8578746979301344,1.0,False
en_nmc,standalone_en,-0.005964,-0.1134,249,0.9097997317072992,1.0,False
en_nmc,kw_nmc_pens,-0.015226,-0.2998,249,0.7645775633049201,1.0,False
en_nmc,standalone_en_pens,-0.010655,-0.2079,249,0.8354830584423534,1.0,False
en_nmc,en_nmc_pens,-0.027321,-0.572,249,0.5678186665501697,1.0,False
kw_rf,en_rf,0.026488,0.4363,249,0.6630248401147156,1.0,False
kw_rf,kw_nmc_kens,-0.031512,-0.568,249,0.5705647175945674,1.0,False
kw_rf,nmc_ensemble,-0.028381,-0.5379,249,0.5910927013403535,1.0,False
kw_rf,kw_nmc_kgrid,-0.019607,-0.3518,249,0.7253009786127111,1.0,False
kw_rf,standalone_en,-0.016119,-0.2942,249,0.7688413954943587,1.0,False
kw_rf,kw_nmc_pens,-0.025381,-0.467,249,0.6409285592632372,1.0,False
kw_rf,standalone_en_pens,-0.02081,-0.3742,249,0.7085486284675495,1.0,False
kw_rf,en_nmc_pens,-0.037476,-0.6918,249,0.4897375620501241,1.0,False
en_rf,kw_nmc_kens,-0.058,-0.9248,249,0.3559835619487295,1.0,False
en_rf,nmc_ensemble,-0.054869,-0.9494,249,0.34334790830023354,1.0,False
en_rf,kw_nmc_kgrid,-0.046095,-0.7071,249,0.48013551549727373,1.0,False
en_rf,standalone_en,-0.042607,-0.7093,249,0.4788307132882692,1.0,False
en_rf,kw_nmc_pens,-0.051869,-0.8451,249,0.39883894281014065,1.0,False
en_rf,standalone_en_pens,-0.047298,-0.7629,249,0.4462303109944079,1.0,False
en_rf,en_nmc_pens,-0.063964,-1.0173,249,0.3099792083920607,1.0,False
kw_nmc_kens,nmc_ensemble,0.003131,0.0947,249,0.924614677359096,1.0,False
kw_nmc_kens,kw_nmc_kgrid,0.011905,0.3447,249,0.7306473545250847,1.0,False
kw_nmc_kens,standalone_en,0.015393,0.3006,249,0.763941406663522,1.0,False
kw_nmc_kens,kw_nmc_pens,0.006131,0.2628,249,0.7929239585104337,1.0,False
kw_nmc_kens,standalone_en_pens,0.010702,0.2164,249,0.8288649117804738,1.0,False
kw_nmc_kens,en_nmc_pens,-0.005964,-0.1429,249,0.8864752858495633,1.0,False
nmc_ensemble,kw_nmc_kgrid,0.008774,0.2204,249,0.8257790739551436,1.0,False
nmc_ensemble,standalone_en,0.012262,0.2629,249,0.7928683113971191,1.0,False
nmc_ensemble,kw_nmc_pens,0.003,0.0868,249,0.9309183888464694,1.0,False
nmc_ensemble,standalone_en_pens,0.007571,0.1635,249,0.870267930748142,1.0,False
nmc_ensemble,en_nmc_pens,-0.009095,-0.2252,249,0.8220050275678688,1.0,False
kw_nmc_kgrid,standalone_en,0.003488,0.0618,249,0.9507496680840317,1.0,False
kw_nmc_kgrid,kw_nmc_pens,-0.005774,-0.159,249,0.8738012286073291,1.0,False
kw_nmc_kgrid,standalone_en_pens,-0.001202,-0.0224,249,0.9821524821957222,1.0,False
kw_nmc_kgrid,en_nmc_pens,-0.017869,-0.3667,249,0.7141891641977884,1.0,False
standalone_en,kw_nmc_pens,-0.009262,-0.1788,249,0.8582669844234023,1.0,False
standalone_en,standalone_en_pens,-0.00469,-0.1227,249,0.9024128678444359,1.0,False
standalone_en,en_nmc_pens,-0.021357,-0.4938,249,0.6218974407461357,1.0,False
kw_nmc_pens,standalone_en_pens,0.004571,0.0933,249,0.9257792821576085,1.0,False
kw_nmc_pens,en_nmc_pens,-0.012095,-0.2892,249,0.7726781635739877,1.0,False
standalone_en_pens,en_nmc_pens,-0.016667,-0.4743,249,0.6357339939136848,1.0,False
