pipeline_a,pipeline_b,statistic,p_value,p_corrected,significant
kw_nmc,en_nmc,588.5,0.8113098752651868,1.0,False
kw_nmc,kw_rf,430.0,0.04516884641165014,1.0,False
kw_nmc,en_rf,183.0,1.9341234734833703e-05,0.0010637679104158536,True
kw_nmc,kw_nmc_kens,247.0,0.0013424792959044764,0.0738363612747462,False
kw_nmc,nmc_ensemble,311.0,0.0027073715860860322,0.14890543723473176,False
kw_nmc,kw_nmc_kgrid,113.0,0.067785951703371,1.0,False
kw_nmc,standalone_en,637.0,1.0,1.0,False
kw_nmc,kw_nmc_pens,385.5,0.03779983623682309,1.0,False
kw_nmc,standalone_en_pens,566.0,0.49005238642549187,1.0,False
kw_nmc,en_nmc_pens,280.0,0.0009412033536124686,0.05176618444868577,False
en_nmc,kw_rf,501.5,0.18922972578277963,1.0,False
en_nmc,en_rf,227.5,7.560005984293248e-05,0.004158003291361286,True
en_nmc,kw_nmc_kens,364.5,0.008404418272885246,0.46224300500868853,False
en_nmc,nmc_ensemble,229.0,0.0006655743127055788,0.036606587198806835,True
en_nmc,kw_nmc_kgrid,517.0,0.24473197737332597,1.0,False
en_nmc,standalone_en,599.5,0.7137450832140104,1.0,False
en_nmc,kw_nmc_pens,464.0,0.09396295844853142,1.0,False
en_nmc,standalone_en_pens,459.0,0.12678346096618878,1.0,False
en_nmc,en_nmc_pens,170.0,1.0737652302810104e-05,0.0005905708766545557,True
kw_rf,en_rf,304.0,0.0021494964930109826,0.11822230711560404,False
kw_rf,kw_nmc_kens,202.5,4.5323905781032745e-05,0.002492814817956801,True
kw_rf,nmc_ensemble,239.0,0.0001196114315510416,0.006578628735307288,True
kw_rf,kw_nmc_kgrid,360.5,0.007495483399757712,0.41225158698667413,False
kw_rf,standalone_en,361.0,0.0069413795797625966,0.3817758768869428,False
kw_rf,kw_nmc_pens,290.0,0.0013362345119355293,0.07349289815645411,False
kw_rf,standalone_en_pens,329.5,0.002946862803216106,0.16207745417688582,False
kw_rf,en_nmc_pens,112.0,6.398800570357754e-07,3.519340313696764e-05,True
en_rf,kw_nmc_kens,115.0,4.5607517529157427e-07,2.5084134641036583e-05,True
en_rf,nmc_ensemble,84.0,9.135980156468423e-08,5.024789086057632e-06,True
en_rf,kw_nmc_kgrid,176.0,1.4119532304343919e-05,0.0007765742767389156,True
en_rf,standalone_en,154.0,3.050134501279678e-06,0.00016775739757038228,True
en_rf,kw_nmc_pens,144.0,1.8986707909582812e-06,0.00010442689350270546,True
en_rf,standalone_en_pens,74.0,8.008242957657785e-10,4.404533626711782e-08,True
en_rf,en_nmc_pens,44.0,2.630606843467831e-11,1.446833763907307e-09,True
kw_nmc_kens,nmc_ensemble,531.0,0.5587546510940168,1.0,False
kw_nmc_kens,kw_nmc_kgrid,332.0,0.022720001966956636,1.0,False
kw_nmc_kens,standalone_en,418.0,0.033687793845592395,1.0,False
kw_nmc_kens,kw_nmc_pens,307.0,0.017297739658477695,0.9513756812162733,False
kw_nmc_kens,standalone_en_pens,438.0,0.05412291526357764,1.0,False
kw_nmc_kens,en_nmc_pens,480.5,0.270191309409072,1.0,False
nmc_ensemble,kw_nmc_kgrid,430.0,0.15617067419900155,1.0,False
nmc_ensemble,standalone_en,406.0,0.025433106280481475,1.0,False
nmc_ensemble,kw_nmc_pens,494.5,0.33753354377296085,1.0,False
nmc_ensemble,standalone_en_pens,462.0,0.09022920792851154,1.0,False
nmc_ensemble,en_nmc_pens,378.0,0.07581879746134394,1.0,False
kw_nmc_kgrid,standalone_en,581.0,0.5854626585603191,1.0,False
kw_nmc_kgrid,kw_nmc_pens,517.0,0.466461652305565,1.0,False
kw_nmc_kgrid,standalone_en_pens,584.5,0.7806020200366356,1.0,False
kw_nmc_kgrid,en_nmc_pens,352.5,0.009700440467416752,0.5335242257079214,False
standalone_en,kw_nmc_pens,518.5,0.2506548609074356,1.0,False
standalone_en,standalone_en_pens,490.0,0.3147682964802916,1.0,False
standalone_en,en_nmc_pens,285.0,0.0006668927576054552,0.03667910166830004,True
kw_nmc_pens,standalone_en_pens,553.0,0.4146596959006644,1.0,False
kw_nmc_pens,en_nmc_pens,401.5,0.022710695311244512,1.0,False
standalone_en_pens,en_nmc_pens,285.5,0.0011419077968492326,0.0628049288267078,False
