pipeline,mean_bal_acc,std_bal_acc,median_bal_acc,min_bal_acc,max_bal_acc,mean_auroc,std_auroc,mean_n_features,n_repeats
en_nmc_pens,0.8340635319999999,0.022689226768437206,0.8388889,0.7726192000000001,0.8873016,0.94846336,0.009817536197757845,93.212,50
kw_nmc_kens,0.830087348,0.02995423681335764,0.834127,0.7424604,0.879365,0.944598436,0.013167299077279065,0.0,50
nmc_ensemble,0.828000044,0.026557733996472904,0.8321430000000001,0.761508,0.8726191999999999,0.9437446799999999,0.01261033307812385,0.0,50
kw_nmc_pens,0.826000044,0.03095362480850634,0.830754,0.7531748,0.879365,0.9410664160000001,0.011979879187550706,100.0,50
standalone_en_pens,0.822952404,0.017742455070737153,0.8259920000000001,0.7761906,0.8519840000000001,0.941296856,0.010772672559468904,230.46,50
kw_nmc_kgrid,0.822150836,0.032416644366409494,0.8232143,0.7424604,0.8821429999999999,0.939618284,0.01472890178418982,30.44,50
standalone_en,0.819825428,0.02286130446339796,0.8206349,0.7611112,0.8638888,0.9370080919999999,0.013200303822490482,0.0,50
kw_nmc,0.8187778280000001,0.03234872022556462,0.8216270999999999,0.7424604,0.8769842000000001,0.9372378840000001,0.015621182300604455,35.48,50
en_nmc,0.815849268,0.02760439969305723,0.8208333999999999,0.750397,0.8694444000000001,0.934688956,0.013922026652507415,30.48,50
kw_rf,0.809079392,0.025081071898487066,0.8109128,0.7353176,0.8484126,0.929225852,0.013739242777388291,48.36,50
en_rf,0.7914206880000001,0.029662446913754126,0.7936508,0.706746,0.8488096,0.91866286,0.016648647744572448,31.96,50
