Sample	tSNE1	tSNE2
Array.129	-0.12475138	1.6585702
Array.34	1.9647561	2.616722
Array.67	3.6613944	2.7193058
Array.24	4.887691	2.08472
Array.22	2.090635	1.9097117
Array.36	3.4038067	1.7670201
Array.49	1.0129038	2.2672408
Array.16	2.3669035	2.9463978
Array.146	2.6027887	1.7614785
Array.143	0.9418511	0.5533228
Array.65	1.5124736	1.6317414
Array.62	0.82042843	-1.2333463
Array.4	3.729057	3.3610594
Array.76	3.1679127	2.7572265
Array.118	1.3308923	-0.42741907
Array.154	0.7064002	-1.3233724
Array.48	0.2929786	2.3977835
Array.6	2.9422617	1.6570364
Array.39	2.4557612	1.5696697
Array.86	2.9917507	2.4440143
Array.112	3.843237	2.7978323
Array.79	2.9388492	0.6871905
Array.124	0.5210263	-1.150149
Array.19	2.5934403	2.8196945
Array.27	2.4551008	1.6499033
Array.106	0.7168933	1.2242267
Array.110	1.5659535	1.6361628
Array.69	0.59330165	2.9796903
Array.73	2.0961707	1.7125138
Array.95	1.9997162	-0.7464152
Array.98	2.4407	-0.7416585
Array.17	2.9338567	0.848426
Array.33	3.2387605	0.16463244
Array.138	3.9169981	0.17642693
Array.149	0.46609533	2.830464
Array.101	1.7575165	-1.0782609
Array.90	2.515141	3.2649853
Array.99	2.846159	1.3942405
Array.57	2.3976405	0.4014097
Array.105	1.722332	0.7322623
Array.85	3.0811374	2.6232052
Array.114	4.0478587	3.0443337
Array.56	1.6551747	3.6383767
Array.5	4.432881	1.7877241
Array.8	0.7662762	2.3173828
Array.113	4.8567295	2.7086005
Array.148	3.279981	-0.47718233
Array.42	0.15054868	1.0106485
Array.25	4.430076	1.3103551
Array.102	1.5496879	2.3512366
Array.55	2.571176	4.3969727
Array.141	2.4297457	1.6799896
Array.43	2.0185094	2.4661748
Array.159	3.0000575	3.813537
Array.52	1.093672	3.3214738
Array.88	2.6272933	4.1960964
Array.125	2.5714433	1.6821792
Array.152	3.8483665	0.64997447
Array.50	0.9700319	-1.1340444
Array.23	1.4015592	1.0230358
Array.68	2.3451889	2.2055783
Array.94	2.404234	1.0328218
Array.153	3.5333438	4.00332
Array.51	0.72193015	-1.3165754
Array.142	1.9952054	0.19148475
Array.144	2.6308503	1.4803902
Array.37	2.6311111	1.7302532
Array.78	1.6765593	1.8899168
Array.18	3.5548635	1.2383038
Array.82	0.94883466	0.33184212
Array.75	4.276586	3.1418376
Array.139	1.3496339	1.7879428
Array.2	1.6775151	3.9619558
Array.117	2.697553	1.9510126
Array.60	2.4411159	1.8795773
Array.38	3.368973	2.8942769
Array.72	1.5984044	1.1262808
Array.104	2.5955071	1.7105008
Array.137	2.8700647	2.004936
Array.145	4.6150613	0.71123105
Array.31	0.9666086	-1.242796
Array.135	1.1890543	-0.9236276
Array.111	1.0006596	-1.1181458
Array.7	2.645468	3.327361
Array.21	1.5102746	0.23806481
Array.53	3.86344	1.5477616
Array.59	4.0527196	2.370831
Array.71	1.9146993	2.8781269
Array.47	3.7555256	2.1510367
Array.107	3.104158	2.2794886
Array.64	3.195583	0.8772294
Array.89	2.400483	1.5230848
Array.30	1.1986736	-0.6886852
Array.35	2.5992072	1.6570911
Array.93	2.0986967	-0.37297544
Array.10	3.5651586	1.4487824
Array.123	1.200413	2.6309764
Array.100	2.59235	1.7118967
Array.134	0.6545757	1.6106957
Array.130	2.212401	1.0372369
