,KW + NMC,EN + NMC,KW + RF,EN + RF,Standalone EN,NMC Ensemble,KW + NMC (plateau),EN (plateau),EN + NMC (plateau),NMC Pens Ensemble
KW + NMC,1.0,0.7309630459126539,0.7382418812989922,0.7166853303471444,0.7228443449048152,0.8687010078387458,0.8362262038073908,0.7189249720044792,0.7603583426651735,0.8065509518477044
EN + NMC,0.7091254752851711,1.0,0.6887561108093427,0.7275936990765888,0.7436175991309071,0.825366648560565,0.7153720803910918,0.7229766431287343,0.7419880499728408,0.7357414448669202
KW + RF,0.6955948298601952,0.6689527829068848,1.0,0.7728831442891058,0.676074914270641,0.704563439725666,0.6929570034291743,0.6694803481930889,0.6810867844895806,0.6937483513584806
EN + RF,0.6121472979435677,0.6406025824964132,0.7006217120994739,1.0,0.6446676231468197,0.6420373027259685,0.6135820181731229,0.6291248206599713,0.6128646580583453,0.6200382592061214
Standalone EN,0.7299971727452643,0.7741023466214306,0.7246253887475261,0.7622278767316936,1.0,0.7749505230421261,0.7387616624257846,0.8642917726887193,0.7726887192536047,0.761379700310998
NMC Ensemble,0.8787878787878788,0.8606627017841971,0.7564429340130274,0.7604078164825828,0.7762673463608043,1.0,0.836873406966865,0.7672047578589635,0.8119512885868027,0.8394222599830077
KW + NMC (plateau),0.8837278106508876,0.7792899408284024,0.7772189349112426,0.7591715976331361,0.7730769230769231,0.8742603550295858,1.0,0.7730769230769231,0.8393491124260355,0.9189349112426035
EN (plateau),0.7372954349698536,0.7642836635084697,0.7286821705426356,0.7553832902670112,0.8776916451335056,0.7777777777777778,0.7502153316106804,1.0,0.7932816537467701,0.7769164513350559
EN + NMC (plateau),0.8328733517325974,0.8377798221404477,0.7917816620668506,0.7859552284575284,0.8380864765409384,0.8791781662066851,0.8699785341919657,0.8472861085556578,1.0,0.9276295614842073
NMC Pens Ensemble,0.8746205221615058,0.8224043715846995,0.798421372191864,0.7871888281724347,0.8175470552519732,0.8998178506375227,0.9429265330904675,0.8214936247723132,0.9183363691560413,1.0
