,KW + NMC,EN + NMC,KW + RF,EN + RF,Standalone EN,NMC Ensemble,KW + NMC (plateau),EN (plateau),EN + NMC (plateau),NMC Pens Ensemble
KW + NMC,1.0,0.5623519276329959,0.5579771476936098,0.4928763958413554,0.570355643914292,0.77575,0.7533417402269861,0.5723200356585691,0.6597036677192131,0.7229611041405269
EN + NMC,0.5623519276329959,1.0,0.513672270609682,0.5166827386692382,0.6110243249274715,0.7280785816962146,0.5948509485094851,0.5911614479236065,0.6487770125860841,0.6348722756034685
KW + RF,0.5579771476936098,0.513672270609682,1.0,0.5810033710093199,0.5378803777544596,0.5742850999784993,0.578125,0.5358952702702703,0.5776286353467561,0.590347923681257
EN + RF,0.4928763958413554,0.5166827386692382,0.5810033710093199,1.0,0.5367310372287477,0.5340095465393795,0.5136108887109688,0.5226460071513707,0.5252049180327869,0.5310260086012697
Standalone EN,0.570355643914292,0.6110243249274715,0.5378803777544596,0.5367310372287477,1.0,0.6334642939681072,0.6071096654275093,0.7713853141559425,0.6723247232472325,0.6507974867085549
NMC Ensemble,0.77575,0.7280785816962146,0.5742850999784993,0.5340095465393795,0.6334642939681072,1.0,0.7469666329625885,0.6292682926829268,0.7304458598726115,0.7676767676767676
KW + NMC (plateau),0.7533417402269861,0.5948509485094851,0.578125,0.5136108887109688,0.6071096654275093,0.7469666329625885,1.0,0.6148235294117647,0.7457939011566772,0.8705156950672646
EN (plateau),0.5723200356585691,0.5911614479236065,0.5358952702702703,0.5226460071513707,0.7713853141559425,0.6292682926829268,0.6148235294117647,1.0,0.6940467219291635,0.664701547531319
EN + NMC (plateau),0.6597036677192131,0.6487770125860841,0.5776286353467561,0.5252049180327869,0.6723247232472325,0.7304458598726115,0.7457939011566772,0.6940467219291635,1.0,0.8569405099150141
NMC Pens Ensemble,0.7229611041405269,0.6348722756034685,0.590347923681257,0.5310260086012697,0.6507974867085549,0.7676767676767676,0.8705156950672646,0.664701547531319,0.8569405099150141,1.0
