sample,true_label,n_tested,n_errors,error_rate
Array.129,HER2+,2000,0,0.0
Array.34,HR+,2000,1649,0.8245
Array.67,HR+,2000,1923,0.9615
Array.24,Triple Neg,2000,31,0.0155
Array.22,Triple Neg,2000,1930,0.965
Array.36,HR+,2000,88,0.044
Array.49,HER2+,2000,0,0.0
Array.16,HER2+,2000,0,0.0
Array.146,Triple Neg,2000,1382,0.691
Array.143,HER2+,2000,0,0.0
Array.65,HR+,2000,1,0.0005
Array.62,Triple Neg,2000,395,0.1975
Array.4,HER2+,2000,0,0.0
Array.76,HER2+,2000,0,0.0
Array.118,Triple Neg,2000,902,0.451
Array.154,Triple Neg,2000,526,0.263
Array.48,HR+,2000,12,0.006
Array.6,HER2+,2000,0,0.0
Array.39,HR+,2000,4,0.002
Array.86,HR+,2000,1,0.0005
Array.112,Triple Neg,2000,78,0.039
Array.79,HER2+,2000,0,0.0
Array.124,HR+,2000,1796,0.898
Array.19,HER2+,2000,0,0.0
Array.27,HR+,2000,1,0.0005
Array.106,HER2+,2000,0,0.0
Array.110,HER2+,2000,0,0.0
Array.69,Triple Neg,2000,1785,0.8925
Array.73,HER2+,2000,0,0.0
Array.95,HR+,2000,29,0.0145
Array.98,HR+,2000,27,0.0135
Array.17,HER2+,2000,0,0.0
Array.33,HR+,2000,163,0.0815
Array.138,HER2+,2000,0,0.0
Array.149,HR+,2000,322,0.161
Array.101,HR+,2000,1119,0.5595
Array.90,Triple Neg,2000,517,0.2585
Array.99,Triple Neg,2000,1634,0.817
Array.57,Triple Neg,2000,101,0.0505
Array.105,HER2+,2000,0,0.0
Array.85,HR+,2000,1153,0.5765
Array.114,Triple Neg,2000,1739,0.8695
Array.56,HR+,2000,488,0.244
Array.5,Triple Neg,2000,37,0.0185
Array.8,HR+,2000,76,0.038
Array.113,Triple Neg,2000,1846,0.923
Array.148,HER2+,2000,0,0.0
Array.42,HER2+,2000,0,0.0
Array.25,Triple Neg,2000,208,0.104
Array.102,Triple Neg,2000,186,0.093
Array.55,HER2+,2000,0,0.0
Array.141,HR+,2000,10,0.005
Array.43,HR+,2000,1,0.0005
Array.159,Triple Neg,2000,147,0.0735
Array.52,HR+,2000,21,0.0105
Array.88,Triple Neg,2000,252,0.126
Array.125,HER2+,2000,0,0.0
Array.152,HER2+,2000,0,0.0
Array.50,Triple Neg,2000,116,0.058
Array.23,HR+,2000,1911,0.9555
Array.68,HER2+,2000,0,0.0
Array.94,HR+,2000,57,0.0285
Array.153,Triple Neg,2000,37,0.0185
Array.51,HER2+,2000,0,0.0
Array.142,HR+,2000,1327,0.6635
Array.144,HER2+,2000,0,0.0
Array.37,HR+,2000,259,0.1295
Array.78,HER2+,2000,0,0.0
Array.18,HER2+,2000,0,0.0
Array.82,HR+,2000,540,0.27
Array.75,HER2+,2000,0,0.0
Array.139,HER2+,2000,0,0.0
Array.2,HR+,2000,247,0.1235
Array.117,HR+,2000,15,0.0075
Array.60,HR+,2000,5,0.0025
Array.38,Triple Neg,2000,923,0.4615
Array.72,HER2+,2000,0,0.0
Array.104,Triple Neg,2000,1688,0.844
Array.137,HR+,2000,7,0.0035
Array.145,Triple Neg,2000,289,0.1445
Array.31,Triple Neg,2000,41,0.0205
Array.135,Triple Neg,2000,92,0.046
Array.111,Triple Neg,2000,44,0.022
Array.7,HR+,2000,495,0.2475
Array.21,HER2+,2000,0,0.0
Array.53,HER2+,2000,0,0.0
Array.59,HR+,2000,988,0.494
Array.71,Triple Neg,2000,154,0.077
Array.47,Triple Neg,2000,16,0.008
Array.107,Triple Neg,2000,1404,0.702
Array.64,Triple Neg,2000,12,0.006
Array.89,HR+,2000,206,0.103
Array.30,Triple Neg,2000,22,0.011
Array.35,HR+,2000,3,0.0015
Array.93,Triple Neg,2000,55,0.0275
Array.10,HER2+,2000,0,0.0
Array.123,HR+,2000,373,0.1865
Array.100,HR+,2000,1578,0.789
Array.134,HR+,2000,229,0.1145
Array.130,HER2+,2000,0,0.0
