pipeline_a,pipeline_b,mean_diff,ci_lower,ci_upper,bootstrap_se,distinguishable
kw_nmc,en_nmc,0.007036,0.000318,0.013738,0.003427,True
kw_nmc,kw_rf,0.015649,0.008866,0.02253,0.003497,True
kw_nmc,en_rf,0.045226,0.037562,0.052744,0.003848,True
kw_nmc,standalone_en,-0.00144,-0.008235,0.005161,0.003419,False
kw_nmc,nmc_ensemble,-0.003607,-0.00789,0.000658,0.002177,False
kw_nmc,kw_nmc_pens,-0.014229,-0.018845,-0.009616,0.002376,True
kw_nmc,standalone_en_pens,-0.005122,-0.011762,0.001399,0.003371,False
kw_nmc,en_nmc_pens,-0.02308,-0.028554,-0.017604,0.00279,True
kw_nmc,nmc_pens_ensemble,-0.020455,-0.025485,-0.015506,0.002556,True
en_nmc,kw_rf,0.008613,0.000827,0.016078,0.003866,True
en_nmc,en_rf,0.03819,0.031193,0.045399,0.003607,True
en_nmc,standalone_en,-0.008476,-0.014271,-0.002521,0.003029,True
en_nmc,nmc_ensemble,-0.010643,-0.015583,-0.005571,0.00252,True
en_nmc,kw_nmc_pens,-0.021265,-0.027295,-0.015027,0.003172,True
en_nmc,standalone_en_pens,-0.012158,-0.01842,-0.006101,0.003151,True
en_nmc,en_nmc_pens,-0.030116,-0.035765,-0.024664,0.002845,True
en_nmc,nmc_pens_ensemble,-0.027491,-0.03339,-0.021717,0.002982,True
kw_rf,en_rf,0.029577,0.02222,0.036899,0.003748,True
kw_rf,standalone_en,-0.017089,-0.023643,-0.010583,0.003339,True
kw_rf,nmc_ensemble,-0.019256,-0.025649,-0.01289,0.003258,True
kw_rf,kw_nmc_pens,-0.029878,-0.036417,-0.023422,0.003327,True
kw_rf,standalone_en_pens,-0.020771,-0.027527,-0.014039,0.003417,True
kw_rf,en_nmc_pens,-0.038729,-0.044985,-0.032419,0.003216,True
kw_rf,nmc_pens_ensemble,-0.036104,-0.042384,-0.029771,0.003219,True
en_rf,standalone_en,-0.046667,-0.053857,-0.039422,0.003694,True
en_rf,nmc_ensemble,-0.048833,-0.055762,-0.041967,0.003508,True
en_rf,kw_nmc_pens,-0.059455,-0.066369,-0.052396,0.003576,True
en_rf,standalone_en_pens,-0.050348,-0.057741,-0.042905,0.00375,True
en_rf,en_nmc_pens,-0.068307,-0.075146,-0.061512,0.00347,True
en_rf,nmc_pens_ensemble,-0.065682,-0.072807,-0.058562,0.003643,True
standalone_en,nmc_ensemble,-0.002167,-0.007744,0.003565,0.002854,False
standalone_en,kw_nmc_pens,-0.012789,-0.01881,-0.006458,0.003173,True
standalone_en,standalone_en_pens,-0.003682,-0.008185,0.000774,0.00229,False
standalone_en,en_nmc_pens,-0.02164,-0.02681,-0.016485,0.002634,True
standalone_en,nmc_pens_ensemble,-0.019015,-0.024566,-0.013375,0.00286,True
nmc_ensemble,kw_nmc_pens,-0.010622,-0.014979,-0.00636,0.002213,True
nmc_ensemble,standalone_en_pens,-0.001515,-0.007423,0.004423,0.002984,False
nmc_ensemble,en_nmc_pens,-0.019473,-0.023732,-0.015199,0.002191,True
nmc_ensemble,nmc_pens_ensemble,-0.016848,-0.020961,-0.012741,0.002101,True
kw_nmc_pens,standalone_en_pens,0.009107,0.003429,0.014771,0.002909,True
kw_nmc_pens,en_nmc_pens,-0.008851,-0.01311,-0.004622,0.002186,True
kw_nmc_pens,nmc_pens_ensemble,-0.006226,-0.009536,-0.002917,0.00168,True
standalone_en_pens,en_nmc_pens,-0.017958,-0.022702,-0.013134,0.002426,True
standalone_en_pens,nmc_pens_ensemble,-0.015333,-0.020485,-0.010062,0.002657,True
en_nmc_pens,nmc_pens_ensemble,0.002625,-0.000717,0.006066,0.001717,False
