pipeline_a,pipeline_b,mean_diff,t_statistic,df,p_value,p_corrected,significant
kw_nmc,en_nmc,0.007036,0.1188,999,0.90543957766436,1.0,False
kw_nmc,kw_rf,0.015649,0.2652,999,0.7909064433991246,1.0,False
kw_nmc,en_rf,0.045226,0.6869,999,0.49228249366257715,1.0,False
kw_nmc,standalone_en,-0.00144,-0.0254,999,0.9797092391396782,1.0,False
kw_nmc,nmc_ensemble,-0.003607,-0.0966,999,0.9230968001350368,1.0,False
kw_nmc,kw_nmc_pens,-0.014229,-0.3684,999,0.7126263877880017,1.0,False
kw_nmc,standalone_en_pens,-0.005122,-0.0925,999,0.926319166181194,1.0,False
kw_nmc,en_nmc_pens,-0.02308,-0.4711,999,0.6377051792260433,1.0,False
kw_nmc,nmc_pens_ensemble,-0.020455,-0.4724,999,0.6367799512610994,1.0,False
en_nmc,kw_rf,0.008613,0.14,999,0.8887056546776513,1.0,False
en_nmc,en_rf,0.03819,0.6309,999,0.528232518292469,1.0,False
en_nmc,standalone_en,-0.008476,-0.1739,999,0.8619655572637064,1.0,False
en_nmc,nmc_ensemble,-0.010643,-0.2519,999,0.8011890867503011,1.0,False
en_nmc,kw_nmc_pens,-0.021265,-0.3968,999,0.691620485389238,1.0,False
en_nmc,standalone_en_pens,-0.012158,-0.2419,999,0.808917481095105,1.0,False
en_nmc,en_nmc_pens,-0.030116,-0.6327,999,0.5270694748177065,1.0,False
en_nmc,nmc_pens_ensemble,-0.027491,-0.5547,999,0.5792112591652536,1.0,False
kw_rf,en_rf,0.029577,0.5011,999,0.6164081587095236,1.0,False
kw_rf,standalone_en,-0.017089,-0.3173,999,0.7510563057391084,1.0,False
kw_rf,nmc_ensemble,-0.019256,-0.3534,999,0.7238445808517238,1.0,False
kw_rf,kw_nmc_pens,-0.029878,-0.5445,999,0.5862072277109229,1.0,False
kw_rf,standalone_en_pens,-0.020771,-0.3815,999,0.7029048746258573,1.0,False
kw_rf,en_nmc_pens,-0.038729,-0.7494,999,0.4537716703675183,1.0,False
kw_rf,nmc_pens_ensemble,-0.036104,-0.6967,999,0.48614128265764345,1.0,False
en_rf,standalone_en,-0.046667,-0.7905,999,0.4294302884349115,1.0,False
en_rf,nmc_ensemble,-0.048833,-0.8253,999,0.40942324355935744,1.0,False
en_rf,kw_nmc_pens,-0.059455,-0.9632,999,0.3356761427224435,1.0,False
en_rf,standalone_en_pens,-0.050348,-0.8395,999,0.4013670511351053,1.0,False
en_rf,en_nmc_pens,-0.068307,-1.1622,999,0.2454293947451407,1.0,False
en_rf,nmc_pens_ensemble,-0.065682,-1.0969,999,0.2729711294025565,1.0,False
standalone_en,nmc_ensemble,-0.002167,-0.0458,999,0.9634766136429131,1.0,False
standalone_en,kw_nmc_pens,-0.012789,-0.2521,999,0.8010486029779402,1.0,False
standalone_en,standalone_en_pens,-0.003682,-0.1039,999,0.9173031809502981,1.0,False
standalone_en,en_nmc_pens,-0.02164,-0.5074,999,0.6119716015708678,1.0,False
standalone_en,nmc_pens_ensemble,-0.019015,-0.4151,999,0.6781586896786886,1.0,False
nmc_ensemble,kw_nmc_pens,-0.010622,-0.2795,999,0.7798950804702658,1.0,False
nmc_ensemble,standalone_en_pens,-0.001515,-0.0317,999,0.9747197193035217,1.0,False
nmc_ensemble,en_nmc_pens,-0.019473,-0.4888,999,0.6251213851840174,1.0,False
nmc_ensemble,nmc_pens_ensemble,-0.016848,-0.4526,999,0.6509505434675624,1.0,False
kw_nmc_pens,standalone_en_pens,0.009107,0.1875,999,0.8513263352837166,1.0,False
kw_nmc_pens,en_nmc_pens,-0.008851,-0.2379,999,0.812045052836011,1.0,False
kw_nmc_pens,nmc_pens_ensemble,-0.006226,-0.2394,999,0.8108121180407002,1.0,False
standalone_en_pens,en_nmc_pens,-0.017958,-0.4588,999,0.6464434455632928,1.0,False
standalone_en_pens,nmc_pens_ensemble,-0.015333,-0.3552,999,0.7224998604201764,1.0,False
en_nmc_pens,nmc_pens_ensemble,0.002625,0.0979,999,0.9220135513722361,1.0,False
