pipeline_a,pipeline_b,comparison_type,statistic,p_value,p_corrected,significant
kw_nmc,en_nmc,preregistered,8389.0,0.054980304178818815,0.054980304178818815,False
kw_rf,en_rf,preregistered,4149.0,9.925634828441268e-13,9.925634828441268e-13,True
standalone_en,standalone_en_pens,preregistered_pens,8165.5,0.1542023772308961,0.1542023772308961,False
kw_nmc,kw_rf,exploratory,6474.5,2.8931451384052482e-05,0.0012151209581302042,True
kw_nmc,en_rf,exploratory,2414.5,3.2408381154044836e-20,1.361152008469883e-18,True
kw_nmc,standalone_en,exploratory,9784.0,0.8382953642456343,1.0,False
kw_nmc,nmc_ensemble,exploratory,8002.0,0.08038671829703742,1.0,False
kw_nmc,kw_nmc_pens,exploratory,5489.0,2.561699865164201e-07,1.0759139433689644e-05,True
kw_nmc,standalone_en_pens,exploratory,8895.5,0.23683975123682122,1.0,False
kw_nmc,en_nmc_pens,exploratory,4089.5,9.61068740510149e-13,4.036488710142626e-11,True
kw_nmc,nmc_pens_ensemble,exploratory,3879.5,1.0516217875665042e-12,4.4168115077793175e-11,True
en_nmc,kw_rf,exploratory,8247.0,0.02780876848032023,1.0,False
en_nmc,en_rf,exploratory,2886.0,3.814455443240535e-18,1.6020712861610247e-16,True
en_nmc,standalone_en,exploratory,7933.5,0.017572127440081634,0.7380293524834286,False
en_nmc,nmc_ensemble,exploratory,6305.5,8.432507542224744e-05,0.003541653167734393,True
en_nmc,kw_nmc_pens,exploratory,5091.0,6.002030197449113e-09,2.5208526829286277e-07,True
en_nmc,standalone_en_pens,exploratory,7040.5,0.0005002187521573102,0.021009187590607027,True
en_nmc,en_nmc_pens,exploratory,2879.0,5.854475348811668e-18,2.4588796465009006e-16,True
en_nmc,nmc_pens_ensemble,exploratory,3444.0,3.4817838009113864e-15,1.4623491963827824e-13,True
kw_rf,standalone_en,exploratory,6253.0,8.34706678251242e-06,0.00035057680486552163,True
kw_rf,nmc_ensemble,exploratory,5472.0,2.3240662211115786e-08,9.76107812866863e-07,True
kw_rf,kw_nmc_pens,exploratory,3443.5,2.086418803684896e-15,8.762958975476562e-14,True
kw_rf,standalone_en_pens,exploratory,5685.5,1.0070225783296287e-07,4.2294948289844405e-06,True
kw_rf,en_nmc_pens,exploratory,2239.0,2.5527667085352588e-21,1.0721620175848087e-19,True
kw_rf,nmc_pens_ensemble,exploratory,2422.0,3.5325564329680327e-20,1.4836737018465737e-18,True
en_rf,standalone_en,exploratory,2162.5,6.32497548301439e-22,2.6564897028660437e-20,True
en_rf,nmc_ensemble,exploratory,1602.0,1.0378594883721932e-24,4.359009851163212e-23,True
en_rf,kw_nmc_pens,exploratory,1048.0,4.562603692270338e-28,1.916293550753542e-26,True
en_rf,standalone_en_pens,exploratory,1768.0,5.2244876818167896e-24,2.1942848263630516e-22,True
en_rf,en_nmc_pens,exploratory,452.5,1.6939333391784507e-31,7.114520024549492e-30,True
en_rf,nmc_pens_ensemble,exploratory,684.0,7.070886915730232e-30,2.9697725046066974e-28,True
standalone_en,nmc_ensemble,exploratory,8837.5,0.25397045892187375,1.0,False
standalone_en,kw_nmc_pens,exploratory,6633.0,3.054874793037415e-05,0.0012830474130757143,True
standalone_en,en_nmc_pens,exploratory,3738.0,1.0154720961219973e-13,4.264982803712389e-12,True
standalone_en,nmc_pens_ensemble,exploratory,4902.0,3.353953486531141e-10,1.4086604643430791e-08,True
nmc_ensemble,kw_nmc_pens,exploratory,6124.5,2.075934755365988e-05,0.0008718925972537149,True
nmc_ensemble,standalone_en_pens,exploratory,9050.0,0.6894448179320373,1.0,False
nmc_ensemble,en_nmc_pens,exploratory,3450.0,4.6641395504311625e-14,1.958938611181088e-12,True
nmc_ensemble,nmc_pens_ensemble,exploratory,4172.5,2.4383120736422516e-11,1.0240910709297458e-09,True
kw_nmc_pens,standalone_en_pens,exploratory,7500.0,0.0018616778165796877,0.07819046829634689,False
kw_nmc_pens,en_nmc_pens,exploratory,6088.0,8.417421874069034e-05,0.003535317187108994,True
kw_nmc_pens,nmc_pens_ensemble,exploratory,5136.0,5.9339167877033817e-05,0.00249224505083542,True
standalone_en_pens,en_nmc_pens,exploratory,4260.0,7.1867342282647195e-12,3.0184283758711824e-10,True
standalone_en_pens,nmc_pens_ensemble,exploratory,5547.0,6.201137128313713e-08,2.6044775938917594e-06,True
en_nmc_pens,nmc_pens_ensemble,exploratory,6505.0,0.12179893135641204,1.0,False
