pipeline,mean_bal_acc,std_bal_acc,median_bal_acc,min_bal_acc,max_bal_acc,mean_auroc,std_auroc,mean_n_features,n_repeats
en_nmc_pens,0.759282749,0.03229762198848944,0.7613095999999999,0.6291666,0.8428570000000001,0.951255133,0.010603625102420123,82.35,200
nmc_pens_ensemble,0.7566577569999999,0.03695571462295946,0.7532738,0.614881,0.8696428,0.9495425430000001,0.012253568048062293,0.0,200
kw_nmc_pens,0.750431565,0.03965967654022092,0.7520833,0.627381,0.8416667999999999,0.946113474,0.01458085213106777,100.0,200
standalone_en_pens,0.741324419,0.02868600203902865,0.7431547000000001,0.6607141999999999,0.8119048,0.9438820389999999,0.010686655284217682,244.93599999999998,200
nmc_ensemble,0.739809551,0.03721737828075838,0.7446429,0.6315478000000001,0.8452382,0.940895969,0.01380449687160781,0.0,200
standalone_en,0.737642862,0.03255740344480027,0.7422618,0.647619,0.8327378,0.9384906599999999,0.01246818703348283,0.0,200
kw_nmc,0.736202409,0.04591326242891099,0.7380952000000001,0.6160714,0.8577382,0.9384233120000001,0.016552498236896678,41.555,200
en_nmc,0.72916669,0.03967169612589593,0.7303571,0.6214286,0.8273808,0.9352339209999999,0.014157153399630248,32.545,200
kw_rf,0.7205535810000001,0.0436269984567396,0.7226191,0.5928572,0.825,0.9324446690000001,0.015872157759129403,46.925,200
en_rf,0.69097622,0.045752170535259165,0.6943452,0.5732144,0.8065476,0.91881149,0.018136729547503765,32.425,200
