pipeline,mean_bal_acc,std_bal_acc,median_bal_acc,min_bal_acc,max_bal_acc,mean_auroc,std_auroc,mean_n_features,n_repeats
en_nmc_pens,0.839521847,0.021531744364544442,0.840873,0.752778,0.895238,0.951255133,0.010603625102420123,82.35,200
nmc_pens_ensemble,0.837771854,0.024637131519244824,0.8355159,0.743254,0.913095,0.9495425430000001,0.012253568048062293,0.0,200
kw_nmc_pens,0.83362106,0.02643976151661123,0.8347224000000001,0.7515874,0.8944444,0.946113474,0.01458085213106777,100.0,200
standalone_en_pens,0.827549647,0.01912398879963156,0.8287699,0.7738098,0.8746031999999999,0.9438820389999999,0.010686655284217682,244.93599999999998,200
nmc_ensemble,0.8265397110000001,0.02481156882896063,0.829762,0.7543652,0.8968252,0.940895969,0.01380449687160781,0.0,200
standalone_en,0.825095278,0.021704915164279227,0.8281746,0.7650794000000001,0.8884920000000001,0.9384906599999999,0.01246818703348283,0.0,200
kw_nmc,0.8241349560000001,0.030608810013922554,0.8253968,0.7440476,0.9051586,0.9384233120000001,0.016552498236896678,41.555,200
en_nmc,0.819444489,0.02644779675377752,0.8202382,0.7476192,0.8849208000000001,0.9352339209999999,0.014157153399630248,32.545,200
kw_rf,0.8137024220000001,0.02908465762015298,0.8150795,0.7285716,0.8833334,0.9324446690000001,0.015872157759129403,46.925,200
en_rf,0.793984185,0.03050143617703079,0.7962302,0.7154764,0.8710317999999999,0.91881149,0.018136729547503765,32.425,200
