Chromosome	Start	End	Nclone	Array.129	Array.34	Array.67	Array.24	Array.22	Array.36	Array.49	Array.16	Array.146	Array.143	Array.65	Array.62	Array.4	Array.76	Array.118	Array.154	Array.48	Array.6	Array.39	Array.86	Array.112	Array.79	Array.124	Array.19	Array.27	Array.106	Array.110	Array.69	Array.73	Array.95	Array.98	Array.17	Array.33	Array.138	Array.149	Array.101	Array.90	Array.99	Array.57	Array.105	Array.85	Array.114	Array.56	Array.5	Array.8	Array.113	Array.148	Array.42	Array.25	Array.102	Array.55	Array.141	Array.43	Array.159	Array.52	Array.88	Array.125	Array.152	Array.50	Array.23	Array.68	Array.94	Array.153	Array.51	Array.142	Array.144	Array.37	Array.78	Array.18	Array.82	Array.75	Array.139	Array.2	Array.117	Array.60	Array.38	Array.72	Array.104	Array.137	Array.145	Array.31	Array.135	Array.111	Array.7	Array.21	Array.53	Array.59	Array.71	Array.47	Array.107	Array.64	Array.89	Array.30	Array.35	Array.93	Array.10	Array.123	Array.100	Array.134	Array.130
1	2927	372295	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-1.0	0.0	0.0	1.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	0.0	0.0	-1.0	-1.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	1.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	1.0	0.0	1.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0
1	471671	1590570	159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-1.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	-1.0	0.0	0.0	0.0	0.0	-1.0	-1.0	1.0	-1.0	-1.0	0.0	0.0	0.0	-1.0	1.0	0.0	0.0	0.0	-0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	1.0	0.0	1.0	0.0	0.0	0.0	-1.0	1.0	0.0	0.0	0.0	0.5	1.0	0.0	1.0	0.0	0.0	0.0	-1.0	0.0
1	1676445	1703748	4	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-1.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	-1.0	0.0	-1.0	-1.0	1.0	-1.0	0.0	1.0	0.0	0.0	-1.0	-1.0	1.0	-1.0	-1.0	-1.0	1.0	0.0	0.0	1.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	-1.0	1.0	0.0	0.0	0.0	-1.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	-1.0	0.0
1	1738295	2580342	120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-1.0	0.0	0.0	-1.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-1.0	-1.0	1.0	-1.0	0.0	-1.0	-1.0	0.0	-1.0	-1.0	1.0	-1.0	-1.0	0.0	0.0	0.0	-1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	1.0	0.0	1.0	0.0	0.0	0.0	-1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0
1	2611444	2645074	14	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.5	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.5	1.0	1.0	1.0	2.0	1.0	2.0	1.0	0.0	-1.0	0.0	1.0	1.0	-1.0	0.0	1.0	0.0	2.0	1.0	1.0	0.0	0.0	1.0	-1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.5	1.0	0.0	1.0	0.5	0.5	0.0	1.0	0.5	0.0	0.5	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	-1.0	1.0	0.0	0.5	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0
1	2664285	2665530	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	-1.0	0.0	1.0	0.0	0.0	0.0	-1.0	1.0	1.0	-1.0	1.0	-1.0	0.0	0.0	-1.0	-1.0	1.0	-1.0	-1.0	0.0	1.0	0.0	-1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	-1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	-1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0
1	2672694	2856899	16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	-1.0	1.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	1.0	-1.0	0.0	-1.0	0.0	0.0	-1.0	-1.0	1.0	-1.0	-1.0	0.0	0.0	0.0	-1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-1.0	0.0	-1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	1.0	0.0	1.0	0.0	0.0	0.0	-1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0
1	2870100	2901629	15	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.5	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	-1.0	0.0	1.0	2.0	0.0	0.5	1.0	1.0	1.0	2.0	1.0	2.0	1.0	0.0	-1.0	1.0	1.0	1.0	-1.0	0.0	1.0	0.0	2.0	1.0	1.0	0.0	0.0	1.0	-1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.5	0.0	1.0	0.0	1.0	0.0	0.5	-0.5	1.0	0.0	1.0	1.0	1.0	0.0	-1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.5	0.0	1.0	1.0
1	2903052	3112977	27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	1.0	-1.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	0.0	-1.0	0.0	-1.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	1.0	-1.0	0.0	-1.0	-1.0	0.0	-1.0	-1.0	1.0	-1.0	-1.0	-1.0	0.0	0.0	-1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	1.0	0.0	1.0	0.0	0.0	0.0	-1.0	1.0	-1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0
1	3125822	3137481	4	2.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	1.0	-1.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.5	0.0	2.0	0.0	-1.0	0.0	-1.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	1.0	-1.0	0.0	-1.0	-1.0	0.0	-0.5	-1.0	1.0	-1.0	0.5	-1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	-1.0	0.0	2.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	-1.0	1.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	-1.0	0.0
