sample,true_label,n_tested,n_errors,error_rate
Array.129,HER2+,1150,0,0.0
Array.34,HR+,1150,1044,0.9078260869565218
Array.67,HR+,1150,1141,0.9921739130434782
Array.24,Triple Neg,1150,13,0.011304347826086957
Array.22,Triple Neg,1150,1129,0.9817391304347826
Array.36,HR+,1150,39,0.03391304347826087
Array.49,HER2+,1150,0,0.0
Array.16,HER2+,1150,0,0.0
Array.146,Triple Neg,1150,726,0.6313043478260869
Array.143,HER2+,1150,0,0.0
Array.65,HR+,1150,2,0.0017391304347826088
Array.62,Triple Neg,1150,247,0.21478260869565216
Array.4,HER2+,1150,0,0.0
Array.76,HER2+,1150,0,0.0
Array.118,Triple Neg,1150,640,0.5565217391304348
Array.154,Triple Neg,1150,304,0.2643478260869565
Array.48,HR+,1150,1,0.0008695652173913044
Array.6,HER2+,1150,0,0.0
Array.39,HR+,1150,0,0.0
Array.86,HR+,1150,0,0.0
Array.112,Triple Neg,1150,21,0.018260869565217393
Array.79,HER2+,1150,0,0.0
Array.124,HR+,1150,1035,0.9
Array.19,HER2+,1150,0,0.0
Array.27,HR+,1150,0,0.0
Array.106,HER2+,1150,0,0.0
Array.110,HER2+,1150,0,0.0
Array.69,Triple Neg,1150,1019,0.8860869565217391
Array.73,HER2+,1150,0,0.0
Array.95,HR+,1150,18,0.01565217391304348
Array.98,HR+,1150,19,0.01652173913043478
Array.17,HER2+,1150,0,0.0
Array.33,HR+,1150,109,0.09478260869565218
Array.138,HER2+,1150,0,0.0
Array.149,HR+,1150,126,0.10956521739130434
Array.101,HR+,1150,463,0.4026086956521739
Array.90,Triple Neg,1150,202,0.17565217391304347
Array.99,Triple Neg,1150,905,0.7869565217391304
Array.57,Triple Neg,1150,35,0.030434782608695653
Array.105,HER2+,1150,0,0.0
Array.85,HR+,1150,851,0.74
Array.114,Triple Neg,1150,1032,0.8973913043478261
Array.56,HR+,1150,368,0.32
Array.5,Triple Neg,1150,11,0.009565217391304347
Array.8,HR+,1150,10,0.008695652173913044
Array.113,Triple Neg,1150,1061,0.922608695652174
Array.148,HER2+,1150,0,0.0
Array.42,HER2+,1150,0,0.0
Array.25,Triple Neg,1150,91,0.0791304347826087
Array.102,Triple Neg,1150,55,0.04782608695652174
Array.55,HER2+,1150,0,0.0
Array.141,HR+,1150,0,0.0
Array.43,HR+,1150,0,0.0
Array.159,Triple Neg,1150,33,0.028695652173913042
Array.52,HR+,1150,14,0.01217391304347826
Array.88,Triple Neg,1150,118,0.10260869565217391
Array.125,HER2+,1150,0,0.0
Array.152,HER2+,1150,0,0.0
Array.50,Triple Neg,1150,94,0.0817391304347826
Array.23,HR+,1150,1123,0.9765217391304348
Array.68,HER2+,1150,0,0.0
Array.94,HR+,1150,21,0.018260869565217393
Array.153,Triple Neg,1150,10,0.008695652173913044
Array.51,HER2+,1150,0,0.0
Array.142,HR+,1150,886,0.7704347826086957
Array.144,HER2+,1150,0,0.0
Array.37,HR+,1150,275,0.2391304347826087
Array.78,HER2+,1150,0,0.0
Array.18,HER2+,1150,0,0.0
Array.82,HR+,1150,265,0.23043478260869565
Array.75,HER2+,1150,0,0.0
Array.139,HER2+,1150,0,0.0
Array.2,HR+,1150,89,0.07739130434782608
Array.117,HR+,1150,2,0.0017391304347826088
Array.60,HR+,1150,0,0.0
Array.38,Triple Neg,1150,383,0.33304347826086955
Array.72,HER2+,1150,0,0.0
Array.104,Triple Neg,1150,907,0.788695652173913
Array.137,HR+,1150,1,0.0008695652173913044
Array.145,Triple Neg,1150,94,0.0817391304347826
Array.31,Triple Neg,1150,14,0.01217391304347826
Array.135,Triple Neg,1150,35,0.030434782608695653
Array.111,Triple Neg,1150,18,0.01565217391304348
Array.7,HR+,1150,201,0.17478260869565218
Array.21,HER2+,1150,0,0.0
Array.53,HER2+,1150,0,0.0
Array.59,HR+,1150,673,0.5852173913043478
Array.71,Triple Neg,1150,49,0.042608695652173914
Array.47,Triple Neg,1150,4,0.0034782608695652175
Array.107,Triple Neg,1150,860,0.7478260869565218
Array.64,Triple Neg,1150,3,0.0026086956521739132
Array.89,HR+,1150,88,0.07652173913043478
Array.30,Triple Neg,1150,2,0.0017391304347826088
Array.35,HR+,1150,0,0.0
Array.93,Triple Neg,1150,12,0.010434782608695653
Array.10,HER2+,1150,0,0.0
Array.123,HR+,1150,210,0.1826086956521739
Array.100,HR+,1150,998,0.8678260869565217
Array.134,HR+,1150,65,0.05652173913043478
Array.130,HER2+,1150,0,0.0
