pipeline_a,pipeline_b,mean_diff,ci_lower,ci_upper,bootstrap_se,distinguishable
kw_nmc,en_nmc,0.004393,-0.00937,0.018,0.007018,False
kw_nmc,kw_rf,0.014548,0.001345,0.027274,0.00669,True
kw_nmc,en_rf,0.041036,0.025285,0.057202,0.008105,True
kw_nmc,standalone_en,-0.001571,-0.015929,0.012393,0.007119,False
kw_nmc,nmc_ensemble,-0.013833,-0.022941,-0.005094,0.004594,True
kw_nmc,kw_nmc_pens,-0.010833,-0.020143,-0.001524,0.004805,True
kw_nmc,standalone_en_pens,-0.006262,-0.018464,0.005488,0.006063,False
kw_nmc,en_nmc_pens,-0.022929,-0.034857,-0.010916,0.006119,True
kw_nmc,en_nmc_pens_p200,,,,,False
kw_nmc,en_nmc_pens_p50,,,,,False
kw_nmc,en_nmc_pens_pall,,,,,False
kw_nmc,kw_nmc_kens,-0.016964,-0.025786,-0.008238,0.004466,True
kw_nmc,kw_nmc_kgrid,-0.00506,-0.010714,0.000393,0.002824,False
en_nmc,kw_rf,0.010155,-0.003751,0.024012,0.007036,False
en_nmc,en_rf,0.036643,0.020952,0.052941,0.008212,True
en_nmc,standalone_en,-0.005964,-0.01869,0.006382,0.00634,False
en_nmc,nmc_ensemble,-0.018226,-0.027464,-0.009154,0.004654,True
en_nmc,kw_nmc_pens,-0.015226,-0.029095,-0.002332,0.006774,True
en_nmc,standalone_en_pens,-0.010655,-0.021322,-9.5e-05,0.005435,True
en_nmc,en_nmc_pens,-0.027321,-0.037417,-0.017452,0.005105,True
en_nmc,en_nmc_pens_p200,,,,,False
en_nmc,en_nmc_pens_p50,,,,,False
en_nmc,en_nmc_pens_pall,,,,,False
en_nmc,kw_nmc_kens,-0.021357,-0.034965,-0.008071,0.006866,True
en_nmc,kw_nmc_kgrid,-0.009452,-0.023571,0.005036,0.007376,False
kw_rf,en_rf,0.026488,0.011821,0.041406,0.0076,True
kw_rf,standalone_en,-0.016119,-0.027608,-0.004464,0.005916,True
kw_rf,nmc_ensemble,-0.028381,-0.040631,-0.016154,0.006255,True
kw_rf,kw_nmc_pens,-0.025381,-0.038512,-0.011762,0.006799,True
kw_rf,standalone_en_pens,-0.02081,-0.032821,-0.008417,0.006199,True
kw_rf,en_nmc_pens,-0.037476,-0.048191,-0.026583,0.00552,True
kw_rf,en_nmc_pens_p200,,,,,False
kw_rf,en_nmc_pens_p50,,,,,False
kw_rf,en_nmc_pens_pall,,,,,False
kw_rf,kw_nmc_kens,-0.031512,-0.044357,-0.017762,0.006765,True
kw_rf,kw_nmc_kgrid,-0.019607,-0.032738,-0.006273,0.006789,True
