pipeline_a,pipeline_b,mean_diff,t_statistic,df,p_value,p_corrected,significant
kw_nmc,en_nmc,0.004393,0.0827,1249,0.9341025050695517,1.0,False
kw_nmc,kw_rf,0.014548,0.2515,1249,0.8014791494879856,1.0,False
kw_nmc,en_rf,0.041036,0.6425,1249,0.5206497916813393,1.0,False
kw_nmc,standalone_en,-0.001571,-0.0283,1249,0.9774622729008016,1.0,False
kw_nmc,nmc_ensemble,-0.013833,-0.3467,1249,0.7289125220044168,1.0,False
kw_nmc,kw_nmc_pens,-0.010833,-0.288,1249,0.7733920401255463,1.0,False
kw_nmc,standalone_en_pens,-0.006262,-0.1159,1249,0.9077527070182039,1.0,False
kw_nmc,en_nmc_pens,-0.022929,-0.4615,1249,0.6445363095099164,1.0,False
kw_nmc,en_nmc_pens_p200,,,1249,,,False
kw_nmc,en_nmc_pens_p50,,,1249,,,False
kw_nmc,en_nmc_pens_pall,,,1249,,,False
kw_nmc,kw_nmc_kens,-0.016964,-0.4597,1249,0.6458406805551493,1.0,False
kw_nmc,kw_nmc_kgrid,-0.00506,-0.2456,1249,0.8060134065246203,1.0,False
en_nmc,kw_rf,0.010155,0.1797,1249,0.8574329039080468,1.0,False
en_nmc,en_rf,0.036643,0.5671,1249,0.5707329649677364,1.0,False
en_nmc,standalone_en,-0.005964,-0.1141,1249,0.9091549767169202,1.0,False
en_nmc,nmc_ensemble,-0.018226,-0.4915,1249,0.6231509898285834,1.0,False
en_nmc,kw_nmc_pens,-0.015226,-0.3017,1249,0.7629237278375336,1.0,False
en_nmc,standalone_en_pens,-0.010655,-0.2092,1249,0.8343150790277105,1.0,False
en_nmc,en_nmc_pens,-0.027321,-0.5757,1249,0.5649444438406825,1.0,False
en_nmc,en_nmc_pens_p200,,,1249,,,False
en_nmc,en_nmc_pens_p50,,,1249,,,False
en_nmc,en_nmc_pens_pall,,,1249,,,False
en_nmc,kw_nmc_kens,-0.021357,-0.4225,1249,0.6726973333573978,1.0,False
en_nmc,kw_nmc_kgrid,-0.009452,-0.1804,1249,0.8568631673407792,1.0,False
kw_rf,en_rf,0.026488,0.439,1249,0.6607113144847547,1.0,False
kw_rf,standalone_en,-0.016119,-0.2961,1249,0.7672162898703263,1.0,False
kw_rf,nmc_ensemble,-0.028381,-0.5414,1249,0.5883490701602612,1.0,False
kw_rf,kw_nmc_pens,-0.025381,-0.4699,1249,0.6384790534045395,1.0,False
kw_rf,standalone_en_pens,-0.02081,-0.3766,1249,0.706524443274418,1.0,False
kw_rf,en_nmc_pens,-0.037476,-0.6962,1249,0.4864637062566217,1.0,False
kw_rf,en_nmc_pens_p200,,,1249,,,False
kw_rf,en_nmc_pens_p50,,,1249,,,False
kw_rf,en_nmc_pens_pall,,,1249,,,False
kw_rf,kw_nmc_kens,-0.031512,-0.5716,1249,0.5677056574443662,1.0,False
kw_rf,kw_nmc_kgrid,-0.019607,-0.354,1249,0.723386029896615,1.0,False
en_rf,standalone_en,-0.042607,-0.7138,1249,0.47550650459895083,1.0,False
en_rf,nmc_ensemble,-0.054869,-0.9554,1249,0.339551512549477,1.0,False
en_rf,kw_nmc_pens,-0.051869,-0.8505,1249,0.39519699587167323,1.0,False
en_rf,standalone_en_pens,-0.047298,-0.7678,1249,0.4427649874035251,1.0,False
en_rf,en_nmc_pens,-0.063964,-1.0238,1249,0.3061234728890536,1.0,False
en_rf,en_nmc_pens_p200,,,1249,,,False
en_rf,en_nmc_pens_p50,,,1249,,,False
en_rf,en_nmc_pens_pall,,,1249,,,False
en_rf,kw_nmc_kens,-0.058,-0.9306,1249,0.352216659227504,1.0,False
en_rf,kw_nmc_kgrid,-0.046095,-0.7116,1249,0.47681725145514564,1.0,False
standalone_en,nmc_ensemble,-0.012262,-0.2645,1249,0.7914063538624059,1.0,False
standalone_en,kw_nmc_pens,-0.009262,-0.1799,1249,0.8572582051954045,1.0,False
standalone_en,standalone_en_pens,-0.00469,-0.1235,1249,0.9017156558399821,1.0,False
standalone_en,en_nmc_pens,-0.021357,-0.4969,1249,0.619333446500365,1.0,False
standalone_en,en_nmc_pens_p200,,,1249,,,False
standalone_en,en_nmc_pens_p50,,,1249,,,False
standalone_en,en_nmc_pens_pall,,,1249,,,False
standalone_en,kw_nmc_kens,-0.015393,-0.3025,1249,0.7622832907913382,1.0,False
standalone_en,kw_nmc_kgrid,-0.003488,-0.0622,1249,0.9503969113354993,1.0,False
nmc_ensemble,kw_nmc_pens,0.003,0.0873,1249,0.9304240006603153,1.0,False
