Sample	tSNE1	tSNE2
Array.129	4.7965984	0.76372623
Array.34	4.703321	-1.4800143
Array.67	7.2204847	-1.3341552
Array.24	0.7346419	-2.9820147
Array.22	-7.6493225	4.336096
Array.36	4.7375817	-3.4222856
Array.49	-8.319889	4.938559
Array.16	2.290127	5.8332343
Array.146	2.311357	-0.43091986
Array.143	-8.042387	-7.387955
Array.65	-5.3695865	3.756354
Array.62	-17.924404	-6.699533
Array.4	10.485784	4.4526267
Array.76	13.781477	-5.288899
Array.118	-13.988438	-4.3199215
Array.154	-19.913198	-5.112924
Array.48	9.520235	6.1116614
Array.6	-2.2170608	-0.9769277
Array.39	-5.262891	-0.25924122
Array.86	10.081633	-2.4953816
Array.112	7.634791	-0.1323153
Array.79	3.855956	2.5621917
Array.124	-18.580286	-2.9970193
Array.19	5.3967543	9.252268
Array.27	-5.2686157	1.7144624
Array.106	-0.16625221	6.288664
Array.110	-0.7760134	5.420847
Array.69	-4.7930098	8.97677
Array.73	1.7912887	6.712505
Array.95	-13.110813	1.0816534
Array.98	-12.393377	1.9987209
Array.17	3.3664954	-0.35765868
Array.33	-2.7560103	-5.7978115
Array.138	-5.2685523	-2.0955637
Array.149	-0.21606532	9.7091
Array.101	-13.73514	0.61491835
Array.90	5.920322	9.74932
Array.99	-3.2767305	-3.7858837
Array.57	-3.4887648	0.05056881
Array.105	-8.230588	-6.133445
Array.85	5.8247404	-10.338037
Array.114	9.554714	-0.9629086
Array.56	12.248754	-0.5486645
Array.5	2.219199	-8.390124
Array.8	-2.913269	8.796192
Array.113	8.730837	-3.3524592
Array.148	-1.7240435	-9.843012
Array.42	4.053072	-5.578277
Array.25	0.6579469	-6.503964
Array.102	-3.152568	1.7955647
Array.55	9.492791	-7.2430453
Array.141	0.48071754	1.1954945
Array.43	1.987111	-3.6378763
Array.159	5.083276	5.3770027
Array.52	-5.311089	6.1624765
Array.88	8.61444	-7.038469
Array.125	1.5684178	-1.5542675
Array.152	-0.123830244	-4.5680966
Array.50	-17.80857	-3.9644208
Array.23	-4.38648	-8.765327
Array.68	3.1133955	-2.2919147
Array.94	-7.686138	2.146886
Array.153	11.002486	-2.2088592
Array.51	-19.691738	-5.1585402
Array.142	-5.4071975	-4.6991673
Array.144	1.3254014	3.0123825
Array.37	4.3308077	-4.363933
Array.78	2.892293	7.806229
Array.18	-6.5065513	-0.41503277
Array.82	-3.7082994	-1.9250708
Array.75	7.08776	2.2437217
Array.139	-3.9781938	8.342259
Array.2	13.366035	0.50372994
Array.117	0.26833552	-1.6685382
Array.60	-6.056872	3.231476
Array.38	6.1992626	-11.028688
Array.72	-3.2227073	-9.843455
Array.104	1.8120385	-2.2435753
Array.137	9.702201	5.162689
Array.145	-8.829248	-0.73617005
Array.31	-15.724307	-6.764286
Array.135	-16.216955	-5.900574
Array.111	-17.72068	-4.617267
Array.7	10.641756	-3.6806211
Array.21	-9.214291	-5.8954954
Array.53	1.4442374	0.0037324743
Array.59	2.2515833	-4.842498
Array.71	-0.83480895	0.28331122
Array.47	2.6501403	1.0800927
Array.107	12.995255	-6.1749063
Array.64	-1.6419481	-2.6713421
Array.89	-3.9465303	-0.9291894
Array.30	-16.671019	-5.652014
Array.35	5.8290815	-4.6586404
Array.93	-7.7632008	-3.6879594
Array.10	5.1692657	-6.9798646
Array.123	0.6302369	8.85816
Array.100	1.9854121	-1.5727051
Array.134	-3.652875	-10.8008375
Array.130	-1.1596396	2.6613503
