Sample	tSNE1	tSNE2
Array.129	9.359162	-10.746178
Array.34	14.525853	6.9911213
Array.67	8.480251	11.196214
Array.24	9.8459835	7.431699
Array.22	-7.8208776	4.5405297
Array.36	12.201985	9.795506
Array.49	-3.037148	1.5806898
Array.16	-4.233671	-18.173794
Array.146	6.930622	4.1266813
Array.143	-7.5505257	-7.1379175
Array.65	-6.8730707	-2.364432
Array.62	-6.0115767	23.991365
Array.4	2.469673	-19.40017
Array.76	0.492798	-19.050135
Array.118	-8.123943	9.202663
Array.154	-11.777072	23.344175
Array.48	-0.14821258	-6.663567
Array.6	0.3695026	-9.889269
Array.39	-12.136048	5.822679
Array.86	18.51391	-0.062701546
Array.112	5.2165713	-2.530801
Array.79	-4.6656523	-8.809249
Array.124	-9.122788	24.559126
Array.19	-3.313881	-16.190948
Array.27	-6.7246327	3.0258634
Array.106	-1.5751976	-14.045739
Array.110	-2.2860978	-12.165652
Array.69	-11.638765	-6.5568748
Array.73	-3.479818	-14.235077
Array.95	-12.134952	19.213053
Array.98	-5.2179413	4.9037943
Array.17	3.4194558	4.3635173
Array.33	-17.95285	2.7706468
Array.138	3.3225944	-14.977545
Array.149	5.861862	-10.460337
Array.101	-10.754	20.60714
Array.90	-3.844928	9.1605425
Array.99	-1.522656	12.498827
Array.57	-8.780437	-0.5903256
Array.105	-11.373683	0.059519824
Array.85	18.31215	-2.106862
Array.114	20.579588	0.25423783
Array.56	21.528316	1.7448182
Array.5	16.739237	-2.968058
Array.8	-9.08223	1.8711063
Array.113	17.521225	1.286956
Array.148	4.8918447	6.766664
Array.42	10.400343	-4.4517035
Array.25	9.210281	-0.8015301
Array.102	-2.5677485	7.805928
Array.55	16.269793	7.5374875
Array.141	-6.2934	-0.08676115
Array.43	11.4275055	5.539505
Array.159	-10.303979	-15.985621
Array.52	2.7442465	-7.0024676
Array.88	7.8684688	1.5699505
Array.125	5.6388636	4.8010106
Array.152	-3.497357	-22.250307
Array.50	-8.657262	22.139637
Array.23	-7.2719617	-12.65577
Array.68	5.5719085	2.106378
Array.94	4.627712	10.834295
Array.153	1.8641145	8.415562
Array.51	-13.414241	23.023048
Array.142	-9.896652	-3.3158603
Array.144	-4.30571	-12.664464
Array.37	10.545422	0.9219902
Array.78	7.3755603	-10.904302
Array.18	1.8764374	-15.339683
Array.82	-15.065374	-3.7363536
Array.75	0.22200716	-20.741219
Array.139	-6.143728	-6.281227
Array.2	-6.686624	-18.553448
Array.117	11.257567	2.5742247
Array.60	-5.861628	2.3486855
Array.38	19.872015	-3.0233703
Array.72	-11.388515	-10.626614
Array.104	9.436804	5.680824
Array.137	1.2282164	-7.5619607
Array.145	-13.8722515	5.433759
Array.31	-7.431009	19.988556
Array.135	-5.632755	20.7365
Array.111	-9.692352	22.614769
Array.7	-0.5365634	4.27396
Array.21	-13.319678	0.48572716
Array.53	7.0315886	7.6117606
Array.59	13.027375	1.8630117
Array.71	-4.6501284	-0.4074901
Array.47	8.742591	3.8719268
Array.107	-5.6707935	-15.093991
Array.64	-4.0264716	-2.8690925
Array.89	-7.275448	0.34378228
Array.30	-5.595471	22.305151
Array.35	12.053956	-0.92707556
Array.93	2.9216313	15.349546
Array.10	2.0994189	1.6532395
Array.123	0.16189376	-1.5036253
Array.100	6.9656982	5.150816
Array.134	-11.986666	7.4818296
Array.130	-0.81406534	-17.54978
