run_id,outter_seed,outter_fold,best_C,best_l1_ratio,best_top_k,best_inner_accuracy,best_inner_std,outter_test_accuracy,n_selected_features
1,1,1,1.0,0.7,20,0.8125,0.10458250331675945,0.85,20
1,1,2,1.0,0.5,20,0.8,0.046770717334674264,0.75,20
1,1,3,0.1,0.1,10,0.8125,0.11858541225631422,0.65,10
1,1,4,1.0,0.7,10,0.825,0.04677071733467427,0.8,10
1,1,5,1.0,0.5,20,0.8,0.07288689868556626,0.8,20
2,2,1,0.1,0.9,5,0.8125,0.16298006013006622,0.65,5
2,2,2,10.0,0.3,50,0.7875,0.0637377439199098,0.9,50
2,2,3,1.0,0.5,20,0.8125,0.11180339887498948,0.65,20
2,2,4,0.1,0.5,5,0.75,0.06846531968814576,0.7,5
2,2,5,1.0,0.9,20,0.7875,0.08477912478906585,0.75,20
3,3,1,1.0,0.9,10,0.8,0.024999999999999998,0.95,10
3,3,2,1.0,0.5,20,0.825,0.046770717334674264,0.85,20
3,3,3,0.1,0.5,10,0.8125,0.10458250331675945,0.75,10
3,3,4,1.0,0.9,10,0.8125,0.16770509831248423,0.75,10
3,3,5,0.1,0.5,10,0.825,0.025,0.65,10
