feature_name,stage1_kw_score,stage1_selected,stage2_score,stage2_selected
chr11_89400624_134432265,0.009008,False,0.611667,True
chr16_28087_14817706,0.964875,False,0.52237,True
chr15_22163893_32511475,0.147635,False,0.511146,True
chr16_68838368_69397102,0.572135,False,0.498594,True
chr22_37683612_37705310,2.070657,False,0.44777,True
chr12_36739877_67332062,0.000159,False,0.3542,True
chr12_67337260_132389367,0.181854,False,0.342268,True
chr23_3229_45135,0.295611,False,0.244687,True
chr3_586636_75535753,0.0,False,0.240839,True
chr1_199087690_199111062,0.025955,False,0.230461,True
chr10_115544_38563575,1.292389,False,0.223748,True
chr6_32766023_91964331,0.450142,False,0.218039,True
chr20_29306447_40052114,0.189454,False,0.211929,True
chr14_105602756_105630089,0.08001,False,0.18046,True
chr5_96637773_180644810,0.059241,False,0.174399,True
chr3_196908262_196937230,8.957581,False,0.164091,True
chr16_68710277_68751390,0.003312,False,0.149586,True
chr15_739595_18454050,2.085561,False,0.122463,True
chr1_149369522_149394958,1.864113,False,0.121086,True
chr1_72489681_72620747,4.901804,False,0.119195,True
chr2_91057159_91321476,0.409345,False,0.076595,True
chr7_143321677_143391065,2.907656,False,0.075084,True
chr16_14956177_14988855,0.662088,False,0.063532,True
chr1_193480150_193527058,0.651236,False,0.062879,True
chr23_91234699_91344716,2.782209,False,0.043539,True
chr16_69417987_69744010,2.76073,False,0.040174,True
chr15_20307869_21982746,0.078331,False,0.023644,True
chr22_24263116_37678070,0.022692,False,0.014316,True
chr10_42150759_46371243,1.008793,False,0.008365,True
chr6_92035339_170943103,4.386033,False,0.004963,True
chr6_1535319_30010234,0.003593,False,0.001239,True
chr15_18722595_20060061,0.608456,False,0.001186,True
chr16_54354643_54379834,0.040052,False,0.0,False
chr16_69763173_88690571,0.492352,False,0.0,False
chr17_10999_390571,7.692013,False,0.0,False
chr17_403833_446414,3.227966,False,0.0,False
chr17_451258_461603,3.802491,False,0.0,False
chr17_465054_974692,6.139156,False,0.0,False
chr17_984101_1003742,5.793182,False,0.0,False
chr17_1008443_1536140,6.139156,False,0.0,False
chr17_1542118_1560766,11.434112,True,0.0,False
chr17_1562322_1703117,6.327957,False,0.0,False
chr17_1703729_1713758,9.690545,True,0.0,False
chr17_1718892_1845756,7.120974,False,0.0,False
chr17_1859252_1859812,0.297622,False,0.0,False
chr17_1860983_1881747,0.13868,False,0.0,False
chr17_2286862_2330659,0.060886,False,0.0,False
chr16_54390012_68679377,0.003278,False,0.0,False
chr12_9528590_9585156,0.878239,False,0.0,False
chr12_9633884_10453531,0.336752,False,0.0,False
chr12_10464018_10484956,0.130753,False,0.0,False
chr12_10497371_11375835,0.336752,False,0.0,False
chr12_11404653_11430887,0.854677,False,0.0,False
chr12_11466807_34647417,0.336752,False,0.0,False
chr12_36160215_36244407,0.025623,False,0.0,False
chr13_5179_123882,0.519195,False,0.0,False
chr13_18194527_18354969,0.219368,False,0.0,False
chr13_18402053_56673183,0.974334,False,0.0,False
chr13_56770498_114123862,0.021047,False,0.0,False
chr14_18149473_19216369,0.177034,False,0.0,False
chr14_19268776_19490630,0.085599,False,0.0,False
chr17_1890246_2286311,8.738249,False,0.0,False
chr14_22022060_73047267,0.315014,False,0.0,False
chr14_73071404_73092018,0.745063,False,0.0,False
chr14_73106558_105584008,2.494187,False,0.0,False
chr14_105654998_105839439,1.056516,False,0.0,False
chr14_105857193_105881279,1.51088,False,0.0,False
chr14_105907191_106349756,1.970705,False,0.0,False
chr15_53166_592121,2.466487,False,0.0,False
chr15_18657388_18683110,1.589419,False,0.0,False
chr15_22038880_22138119,0.027909,False,0.0,False
chr15_32523241_32594902,0.858915,False,0.0,False
chr15_32605086_100282819,0.441542,False,0.0,False
chr16_15039224_33875313,0.343221,False,0.0,False
chr16_34095229_34976429,0.017608,False,0.0,False
chr16_45058242_54336421,0.643578,False,0.0,False
chr14_19505698_22000194,0.01579,False,0.0,False
chr23_89001120_90763396,1.382967,False,0.0,False
chr23_90837054_91203848,0.018668,False,0.0,False
chr23_91365063_92103804,0.019635,False,0.0,False
chr23_92209094_152935130,2.791062,False,0.0,False
chr1_2611444_2645074,0.191413,False,0.0,False
chr1_37599215_72473289,0.261728,False,0.0,False
chr1_72661597_109968401,0.107282,False,0.0,False
chr1_109987805_120232261,0.927316,False,0.0,False
chr1_120313797_120737345,1.803043,False,0.0,False
chr1_120761983_120923696,0.574243,False,0.0,False
chr1_141474904_145716245,0.56794,False,0.0,False
chr1_1738295_2580342,0.61064,False,0.0,False
chr1_146661770_149362629,0.476355,False,0.0,False
chr1_149403519_149573806,1.443628,False,0.0,False
chr1_149579637_149598429,0.362003,False,0.0,False
chr17_21627596_22142513,0.542217,False,0.0,False
chr1_158378189_186274119,0.748703,False,0.0,False
chr1_186293872_193443252,0.150621,False,0.0,False
chr1_193556792_199054142,0.485035,False,0.0,False
chr1_199135441_244676774,1.146879,False,0.0,False
chr1_244693374_245014643,0.515801,False,0.0,False
chr1_245054641_245121447,0.001985,False,0.0,False
chr1_245134410_245433846,0.001784,False,0.0,False
chr2_712_125634,0.147684,False,0.0,False
chr2_143031_8963807,0.000184,False,0.0,False
chr2_8972669_89953713,0.019743,False,0.0,False
chr2_91494116_130410215,0.898209,False,0.0,False
chr2_130427665_130453073,2.173545,False,0.0,False
chr2_130458581_131785093,0.114421,False,0.0,False
chr2_131792734_131931782,2.925201,False,0.0,False
chr2_131945577_132196569,1.896308,False,0.0,False
chr1_149604744_158365270,1.035186,False,0.0,False
chr17_2333732_2343255,5.022044,False,0.0,False
chr17_2361350_18868037,6.145828,False,0.0,False
chr17_19083766_20521986,3.71334,False,0.0,False
chr17_20569693_20596699,0.466832,False,0.0,False
chr17_20618474_21442476,4.051714,False,0.0,False
chr12_435020_9432943,0.027645,False,0.0,False
chr17_22315936_22324326,3.114114,False,0.0,False
chr17_22399576_27351012,2.369335,False,0.0,False
chr17_27364248_27450834,0.636161,False,0.0,False
chr17_27463558_35067992,1.262505,False,0.0,False
chr21_14294323_14314039,0.717931,False,0.0,False
chr21_14334542_46914686,0.640178,False,0.0,False
chr22_134662_241255,1.369547,False,0.0,False
chr22_246150_15013982,0.000241,False,0.0,False
chr22_15270151_15403609,0.658016,False,0.0,False
chr23_88434081_88986061,0.130216,False,0.0,False
chr23_66527817_88259698,0.15701,False,0.0,False
chr23_52844235_66511655,0.394835,False,0.0,False
chr23_52775986_52832444,0.178093,False,0.0,False
chr23_26666781_52769796,3.530108,False,0.0,False
chr23_26537079_26627128,5.535609,False,0.0,False
chr23_2979705_26516197,2.742096,False,0.0,False
chr23_2702388_2969155,1.80057,False,0.0,False
chr22_15433500_22665928,1.451802,False,0.0,False
chr23_959048_1398694,0.805892,False,0.0,False
chr23_422315_524509,0.023669,False,0.0,False
chr23_354639_385792,0.524334,False,0.0,False
chr23_268930_343473,0.081934,False,0.0,False
chr23_96116_214107,0.001601,False,0.0,False
chr22_37717564_49509094,0.221572,False,0.0,False
chr1_471671_1590570,1.343118,False,0.0,False
chr22_22672513_22714749,0.513358,False,0.0,False
chr23_1672003_1706462,0.820786,False,0.0,False
chr19_239700_3342864,0.160877,False,0.0,False
chr19_3363749_20383210,2.388688,False,0.0,False
chr19_20422576_20493401,2.52444,False,0.0,False
