,HER2+,HR+,Triple Neg,importance
chr1:2927-372295,0.0,0.0,0.0,0.0
chr1:471671-1590570,0.0,0.0,0.0,0.0
chr1:1676445-1703748,0.0,0.0,0.0,0.0
chr1:1738295-2580342,0.0,0.0,0.0,0.0
chr1:2611444-2645074,0.0,0.0,0.0,0.0
chr1:2664285-2665530,0.0,0.0,0.0,0.0
chr1:2672694-2856899,0.0,0.0,0.0,0.0
chr1:2870100-2901629,0.0,0.002526450977151665,-0.14438499394299398,0.14691144492014566
chr1:2903052-3112977,0.0,0.0,0.0,0.0
chr1:3125822-3137481,0.0,0.0,0.0,0.0
chr1:3149648-3157982,0.0,0.0,0.059242004677377114,0.059242004677377114
chr1:3166706-16531740,0.0,0.0457396479861731,0.0,0.0457396479861731
chr1:16551324-16997273,-0.1737689082822019,0.0,0.0,0.1737689082822019
chr1:17030134-22668805,0.0,0.20651470659948346,-0.0872013644613967,0.29371607106088016
chr1:22674759-25318800,0.0,0.09606171427164947,0.0,0.09606171427164947
chr1:25354765-34166798,0.0,0.0,0.0,0.0
chr1:34172947-37578554,0.0,0.0,0.0,0.0
chr1:37599215-72473289,0.0,0.0,0.0,0.0
chr1:72489681-72620747,0.01428661262135194,0.0,-0.15131554000886327,0.16560215263021522
chr1:72661597-109968401,0.0,0.0,0.0,0.0
chr1:109987805-120232261,0.0,0.0,0.0,0.0
chr1:120313797-120737345,0.0,0.0,0.04391919841712119,0.04391919841712119
chr1:120761983-120923696,0.0,0.0,0.03723285638677358,0.03723285638677358
chr1:141474904-145716245,-0.011519970378149905,0.0,0.0,0.011519970378149905
chr1:145820605-146634734,0.0,0.0,0.0,0.0
chr1:146661770-149362629,0.0,0.0,0.0,0.0
chr1:149369522-149394958,0.0,0.08642401277223241,-0.21786625489183237,0.30429026766406475
chr1:149403519-149573806,0.0,0.0,0.0,0.0
chr1:149579637-149598429,0.0,0.04486396272410815,-0.11505398986557021,0.15991795258967836
chr1:149604744-158365270,0.0,0.0,0.0,0.0
chr1:158378189-186274119,0.0,0.0,0.0,0.0
chr1:186293872-193443252,0.0,0.0,0.0,0.0
chr1:193480150-193527058,0.0,0.03298784905299667,-0.062365838677874826,0.0953536877308715
chr1:193556792-199054142,0.0,0.0,0.0,0.0
chr1:199087690-199111062,0.0,-0.15262078132876997,0.07262601489203284,0.2252467962208028
chr1:199135441-244676774,0.0,0.0,0.0,0.0
chr1:244693374-245014643,-0.007113099198766869,0.12614722679046142,0.0,0.1332603259892283
chr1:245054641-245121447,0.0,0.0,0.0,0.0
chr1:245134410-245433846,0.0,0.0,0.0,0.0
chr2:712-125634,0.0,0.0,0.0,0.0
chr2:143031-8963807,0.0,0.0,0.0,0.0
chr2:8972669-89953713,0.0,0.0,0.0,0.0
chr2:91057159-91321476,0.0,0.0,0.0,0.0
chr2:91494116-130410215,0.0,0.0,0.0,0.0
chr2:130427665-130453073,0.0,0.02023391842903865,0.0,0.02023391842903865
chr2:130458581-131785093,0.0,0.0,0.0,0.0
chr2:131792734-131931782,0.0,0.0,0.0,0.0
chr2:131945577-132196569,0.0,0.0,0.0,0.0
chr2:132210961-132323628,0.0,0.04444652053241229,0.0,0.04444652053241229
chr2:132327604-132947789,0.0,0.0,0.0,0.0
chr2:132974227-231853847,0.0,0.0,0.0,0.0
chr2:231862922-242784096,0.0,0.0,0.0,0.0
