feature_name,stage1_kw_score,stage1_selected,stage2_score,stage2_selected
chr5_69274433_96603723,11.899984,False,14.594639,True
chr5_96637773_180644810,3.700794,False,13.958803,True
chr16_28087_14817706,1.078766,False,12.705125,True
chr12_67337260_132389367,0.02745,False,11.52074,True
chr22_24263116_37678070,0.265521,False,9.831781,True
chr12_36739877_67332062,0.538767,False,9.416095,True
chr22_22725750_24228038,0.060464,False,9.230604,True
chr5_49619946_68850823,5.298037,False,8.794963,True
chr16_45058242_54336421,0.000924,False,8.602791,True
chr16_68838368_69397102,0.00052,False,8.501201,True
chr15_22163893_32511475,0.896823,False,8.360418,True
chr16_15039224_33875313,0.574256,False,7.865502,True
chr6_1535319_30010234,2.013683,False,7.157215,True
chr4_190887518_191165971,1.247526,False,7.142528,True
chr15_18657388_18683110,0.023972,False,7.07859,True
chr16_68710277_68751390,0.621282,False,6.714653,True
chr16_54390012_68679377,0.024721,False,6.06933,True
chr22_15433500_22665928,0.588335,False,5.278923,True
chr15_739595_18454050,0.476589,False,5.156499,True
chr11_89400624_134432265,0.065333,False,4.968499,True
chr6_32732764_32738443,2.142499,False,4.844788,False
chr22_37717564_49509094,0.001695,False,4.713805,False
chr16_69763173_88690571,0.126449,False,4.71327,False
chr15_20307869_21982746,0.934465,False,4.465471,False
chr1_17030134_22668805,0.513923,False,4.453472,False
chr11_5777496_7757329,1.720739,False,4.235265,False
chr16_69417987_69744010,2.265785,False,4.202366,False
chr15_32523241_32594902,0.434006,False,3.901478,False
chr6_92035339_170943103,3.917771,False,3.824405,False
chr6_30021894_32519935,5.113471,False,3.794394,False
chr21_13334960_13435755,0.29774,False,3.793103,False
chr1_120313797_120737345,1.628242,False,3.776227,False
chr6_32766023_91964331,0.237232,False,3.692805,False
chr22_37683612_37705310,1.306836,False,3.662672,False
chr23_3229_45135,0.35852,False,3.620773,False
chr2_8972669_89953713,0.014293,False,3.569772,False
chr2_91057159_91321476,2.290483,False,3.511871,False
chr17_22399576_27351012,1.59928,False,3.336457,False
chr11_182372_5733442,3.025044,False,3.327799,False
chr4_191191940_191311992,0.583665,False,3.159947,False
chr17_403833_446414,9.611978,False,3.088719,False
chr8_39535655_43515874,4.095172,False,3.058148,False
chr10_42150759_46371243,0.234481,False,3.052794,False
chr17_41983407_42049540,8.208052,False,2.987556,False
chr8_35694285_39333915,1.455645,False,2.91073,False
chr4_93240865_190844427,0.420088,False,2.901153,False
chr3_75546791_75799957,1.100097,False,2.882493,False
chr20_8747_12478772,1.444129,False,2.766902,False
chr19_32545047_34430432,0.813677,False,2.732473,False
chr3_196908262_196937230,9.514234,False,2.561011,False
chr16_54354643_54379834,0.059547,False,2.523015,False
