pipeline,repeat,outer_fold,stage1_bal_acc,stage2_bal_acc,balanced_accuracy,auroc_macro,best_inner_score,stage2_best_inner_std,best_params,stage1_n_features,n_features_selected,stage1_features,selected_features,n_test,n_train_s2,n_routed_to_s2,test_indices,y_true,y_pred,proba_combined,fold_seconds
en_nmc,1,1,1.0,0.845238,0.896825,0.957875,0.796667,0.09153,"{""selector__C"": 0.16681, ""selector__l1_ratio"": 0.1, ""selector__top_k"": 20}",5,20,"chr17_35076296_35282086,chr17_41011530_41494331,chr17_42161364_42873571,chr17_35444422_40926154,chr17_10999_390571","chr16_68838368_69397102,chr12_36739877_67332062,chr12_67337260_132389367,chr16_14956177_14988855,chr14_105602756_105630089,chr15_53166_592121,chr5_96637773_180644810,chr1_199087690_199111062,chr23_3229_45135,chr11_89400624_134432265,chr6_32732764_32738443,chr15_32523241_32594902,chr5_69274433_96603723,chr22_37717564_49509094,chr19_20422576_20493401,chr20_8747_12478772,chr15_18657388_18683110,chr16_68710277_68751390,chr16_54390012_68679377,chr17_77535412_78653545",20,55,13,"1,6,19,20,39,44,46,50,53,54,55,59,63,67,77,79,82,91,93,99","HR+,HER2+,HR+,Triple Neg,HER2+,HR+,HER2+,HER2+,Triple Neg,HR+,Triple Neg,HR+,HER2+,HER2+,Triple Neg,Triple Neg,Triple Neg,HR+,HR+,HER2+","HR+,HER2+,HR+,Triple Neg,HER2+,HR+,HER2+,HER2+,Triple Neg,HR+,Triple Neg,Triple Neg,HER2+,HER2+,HR+,Triple Neg,Triple Neg,HR+,HR+,HER2+","[[0.0, 0.534918, 0.465082], [0.854, 0.074373, 0.071627], [0.0, 0.785326, 0.214674], [0.0, 0.186791, 0.813209], [0.982, 0.007327, 0.010673], [0.0, 0.51876, 0.48124], [1.0, 0.0, 0.0], [0.94, 0.035096, 0.024904], [0.126, 0.317145, 0.556855], [0.0, 0.648776, 0.351224], [0.04, 0.396503, 0.563497], [0.0, 0.394349, 0.605651], [0.718, 0.128634, 0.153366], [0.998, 0.000962, 0.001038], [0.0, 0.573421, 0.426579], [0.0, 0.387268, 0.612732], [0.0, 0.320315, 0.679685], [0.0, 0.53296, 0.46704], [0.0, 0.769875, 0.230125], [0.966, 0.007781, 0.026219]]",214.7
en_nmc,1,2,1.0,0.690476,0.793651,0.884921,0.87,0.073333,"{""selector__C"": 7.74264, ""selector__l1_ratio"": 0.1, ""selector__top_k"": 20}",5,20,"chr17_35076296_35282086,chr17_41011530_41494331,chr17_42161364_42873571,chr8_166452_6907624,chr17_1542118_1560766","chr1_149369522_149394958,chr16_68710277_68751390,chr16_15039224_33875313,chr12_36739877_67332062,chr16_28087_14817706,chr12_67337260_132389367,chr16_54390012_68679377,chr16_68838368_69397102,chr17_2361350_18868037,chr6_32766023_91964331,chr15_32523241_32594902,chr11_89400624_134432265,chr16_69763173_88690571,chr19_56816785_56859204,chr16_54354643_54379834,chr1_17030134_22668805,chr15_18657388_18683110,chr6_92035339_170943103,chr20_8747_12478772,chr14_105654998_105839439",20,55,13,"27,28,34,35,49,56,57,62,66,73,76,78,84,85,87,89,94,95,97,98","Triple Neg,HER2+,HR+,HR+,Triple Neg,HER2+,HER2+,Triple Neg,HR+,HR+,HER2+,HR+,HER2+,HER2+,Triple Neg,Triple Neg,Triple Neg,HER2+,HR+,HR+","HR+,HER2+,HR+,HR+,Triple Neg,HER2+,HER2+,Triple Neg,Triple Neg,HR+,HER2+,HR+,HER2+,HER2+,Triple Neg,HR+,Triple Neg,HER2+,Triple Neg,HR+","[[0.064, 0.716381, 0.219619], [0.946, 0.031995, 0.022005], [0.012, 0.717025, 0.270975], [0.0, 0.609509, 0.390491], [0.0, 0.407219, 0.592781], [0.714, 0.056631, 0.229369], [1.0, 0.0, 0.0], [0.002, 0.469244, 0.528756], [0.0, 0.375447, 0.624553], [0.0, 0.75388, 0.24612], [0.94, 0.020317, 0.039683], [0.01, 0.754437, 0.235563], [0.94, 0.033578, 0.026422], [0.812, 0.112725, 0.075275], [0.0, 0.392972, 0.607028], [0.0, 0.597272, 0.402728], [0.0, 0.207012, 0.792988], [0.808, 0.114359, 0.077641], [0.0, 0.171866, 0.828134], [0.058, 0.713766, 0.228234]]",217.0
en_nmc,1,3,1.0,0.6875,0.791667,0.880456,0.81,0.128062,"{""selector__C"": 0.0464159, ""selector__l1_ratio"": 0.1, ""selector__top_k"": 20}",5,20,"chr17_35076296_35282086,chr17_41011530_41494331,chr17_42161364_42873571,chr17_1542118_1560766,chr3_196908262_196937230","chr16_28087_14817706,chr5_69274433_96603723,chr16_68838368_69397102,chr12_36739877_67332062,chr12_67337260_132389367,chr5_96637773_180644810,chr6_32732764_32738443,chr15_22163893_32511475,chr1_149369522_149394958,chr22_24263116_37678070,chr5_49619946_68850823,chr2_8972669_89953713,chr10_115544_38563575,chr6_32766023_91964331,chr6_30021894_32519935,chr22_37683612_37705310,chr22_22725750_24228038,chr23_3229_45135,chr6_92035339_170943103,chr6_1535319_30010234",20,54,14,"3,9,10,11,13,14,22,23,24,25,30,37,41,45,51,65,68,69,72,83","Triple Neg,HER2+,HR+,Triple Neg,HER2+,Triple Neg,HR+,HER2+,HR+,HER2+,HR+,Triple Neg,Triple Neg,Triple Neg,HR+,HER2+,HER2+,HR+,HR+,HR+","Triple Neg,HER2+,HR+,Triple Neg,HER2+,Triple Neg,Triple Neg,HER2+,HR+,HER2+,HR+,HR+,HR+,HR+,HR+,HER2+,HER2+,HR+,HR+,HR+","[[0.036, 0.290284, 0.673716], [0.754, 0.051347, 0.194653], [0.004, 0.924583, 0.071417], [0.004, 0.237791, 0.758209], [1.0, 0.0, 0.0], [0.0, 0.399699, 0.600301], [0.0, 0.398349, 0.601651], [1.0, 0.0, 0.0], [0.0, 0.870207, 0.129793], [1.0, 0.0, 0.0], [0.0, 0.833619, 0.166381], [0.012, 0.704621, 0.283379], [0.008, 0.8527, 0.1393], [0.006, 0.863958, 0.130042], [0.0, 0.813595, 0.186405], [1.0, 0.0, 0.0], [1.0, 0.0, 0.0], [0.016, 0.547451, 0.436549], [0.016, 0.775077, 0.208923], [0.048, 0.797055, 0.154945]]",207.6
en_nmc,1,4,1.0,0.857143,0.904762,0.978022,0.833333,0.043461,"{""selector__C"": 0.0464159, ""selector__l1_ratio"": 0.1, ""selector__top_k"": 50}",5,50,"chr17_35076296_35282086,chr17_41011530_41494331,chr17_42161364_42873571,chr8_16373516_28182114,chr8_166452_6907624","chr16_68838368_69397102,chr12_36739877_67332062,chr15_22163893_32511475,chr16_54390012_68679377,chr5_96637773_180644810,chr15_32523241_32594902,chr20_8747_12478772,chr16_28087_14817706,chr12_67337260_132389367,chr6_32766023_91964331,chr22_24263116_37678070,chr22_15433500_22665928,chr15_18657388_18683110,chr15_20307869_21982746,chr3_586636_75535753,chr11_89400624_134432265,chr23_3229_45135,chr22_37683612_37705310,chr5_69274433_96603723,chr15_739595_18454050,chr6_1535319_30010234,chr16_15039224_33875313,chr15_53166_592121,chr22_37717564_49509094,chr16_69763173_88690571,chr16_45058242_54336421,chr1_17030134_22668805,chr19_56816785_56859204,chr5_49619946_68850823,chr17_403833_446414,chr16_69417987_69744010,chr16_68710277_68751390,chr13_18194527_18354969,chr6_30021894_32519935,chr3_39066_478718,chr21_13334960_13435755,chr14_105602756_105630089,chr20_12495273_28266113,chr20_29306447_40052114,chr6_32732764_32738443,chr19_32545047_34430432,chr3_164112881_193467200,chr1_149369522_149394958,chr6_92035339_170943103,chr19_3363749_20383210,chr19_20422576_20493401,chr1_3149648_3157982,chr3_193476462_196656506,chr3_196947293_199383479,chr17_465054_974692",20,54,14,"2,4,5,7,12,15,16,17,26,31,32,36,47,48,74,75,80,86,88,96","HR+,Triple Neg,HR+,HER2+,HER2+,Triple Neg,HR+,HER2+,HER2+,HER2+,HR+,Triple Neg,HER2+,Triple Neg,HR+,Triple Neg,Triple Neg,HR+,Triple Neg,HR+","Triple Neg,HR+,HR+,HER2+,HER2+,Triple Neg,HR+,HER2+,HER2+,HER2+,HR+,Triple Neg,HER2+,Triple Neg,HR+,Triple Neg,Triple Neg,HR+,Triple Neg,HR+","[[0.00135, 0.41357, 0.58508], [0.0, 0.590566, 0.409434], [0.00135, 0.757235, 0.241415], [0.99935, 0.00043, 0.00022], [0.99935, 0.000159, 0.000491], [0.00335, 0.288937, 0.707713], [0.00335, 0.794191, 0.202459], [0.92, 0.05751, 0.02249], [0.99935, 0.000396, 0.000254], [0.872, 0.079634, 0.048366], [0.00135, 0.654764, 0.343886], [0.00135, 0.434411, 0.564239], [0.99935, 0.000271, 0.000379], [0.00335, 0.302959, 0.693691], [0.0, 0.862108, 0.137892], [0.00135, 0.347598, 0.651052], [0.0, 0.165897, 0.834103], [0.00135, 0.514576, 0.484074], [0.0, 0.224822, 0.775178], [0.00135, 0.644967, 0.353683]]",200.9
en_nmc,1,5,1.0,0.714286,0.809524,0.956044,0.83,0.092736,"{""selector__C"": 0.0464159, ""selector__l1_ratio"": 0.1, ""selector__top_k"": 20}",5,20,"chr17_35076296_35282086,chr17_42161364_42873571,chr17_41011530_41494331,chr17_1542118_1560766,chr6_92035339_170943103","chr16_68838368_69397102,chr15_22163893_32511475,chr12_36739877_67332062,chr15_18657388_18683110,chr6_32732764_32738443,chr1_149369522_149394958,chr16_68710277_68751390,chr6_32766023_91964331,chr11_89400624_134432265,chr5_69274433_96603723,chr5_96637773_180644810,chr14_105602756_105630089,chr15_20307869_21982746,chr1_17030134_22668805,chr12_67337260_132389367,chr22_24263116_37678070,chr15_32523241_32594902,chr22_37717564_49509094,chr20_29306447_40052114,chr14_22022060_73047267",20,54,14,"0,8,18,21,29,33,38,40,42,43,52,58,60,61,64,70,71,81,90,92","HER2+,Triple Neg,HR+,HER2+,HR+,HER2+,Triple Neg,HR+,HR+,Triple Neg,HR+,Triple Neg,HER2+,HR+,HR+,HER2+,HER2+,Triple Neg,Triple Neg,Triple Neg","HER2+,HR+,HR+,HER2+,HR+,HER2+,Triple Neg,Triple Neg,Triple Neg,Triple Neg,HR+,HR+,HER2+,HR+,HR+,HER2+,HER2+,Triple Neg,Triple Neg,Triple Neg","[[1.0, 0.0, 0.0], [0.0, 0.563731, 0.436269], [0.0, 0.703648, 0.296352], [1.0, 0.0, 0.0], [0.0, 0.895239, 0.104761], [0.962, 0.018808, 0.019192], [0.0, 0.22863, 0.77137], [0.006, 0.296543, 0.697457], [0.006, 0.433278, 0.560722], [0.0, 0.268802, 0.731198], [0.0, 0.741171, 0.258829], [0.0, 0.560875, 0.439125], [0.962, 0.023851, 0.014149], [0.0, 0.798729, 0.201271], [0.014, 0.684133, 0.301867], [1.0, 0.0, 0.0], [0.926, 0.052623, 0.021377], [0.0, 0.317658, 0.682342], [0.0, 0.143952, 0.856048], [0.0, 0.323107, 0.676893]]",214.0
en_nmc,10,1,1.0,0.678571,0.785714,0.961844,0.833333,0.067495,"{""selector__C"": 27.8256, ""selector__l1_ratio"": 0.3, ""selector__top_k"": 50}",5,50,"chr17_35076296_35282086,chr17_41011530_41494331,chr17_1542118_1560766,chr17_42161364_42873571,chr17_1703729_1713758","chr1_149369522_149394958,chr15_32523241_32594902,chr15_18657388_18683110,chr16_68838368_69397102,chr1_72489681_72620747,chr16_14956177_14988855,chr15_22163893_32511475,chr15_739595_18454050,chr12_36739877_67332062,chr16_68710277_68751390,chr12_9528590_9585156,chr1_17030134_22668805,chr14_73071404_73092018,chr11_89400624_134432265,chr1_199087690_199111062,chr6_32732764_32738443,chr22_37683612_37705310,chr4_93240865_190844427,chr16_69417987_69744010,chr15_53166_592121,chr16_15039224_33875313,chr14_105602756_105630089,chr6_32766023_91964331,chr20_29306447_40052114,chr22_37717564_49509094,chr4_190887518_191165971,chr1_22674759_25318800,chr17_77442683_77503685,chr17_77535412_78653545,chr5_69274433_96603723,chr22_24263116_37678070,chr14_22022060_73047267,chr12_67337260_132389367,chr1_244693374_245014643,chr1_193480150_193527058,chr22_15433500_22665928,chr19_56816785_56859204,chr16_45058242_54336421,chr3_196908262_196937230,chr16_28087_14817706,chr1_149579637_149598429,chr22_22725750_24228038,chr23_1672003_1706462,chr1_16551324_16997273,chr23_90837054_91203848,chr15_20307869_21982746,chr22_246150_15013982,chr5_96637773_180644810,chr13_18194527_18354969,chr16_54390012_68679377",20,55,13,"2,7,8,9,10,11,12,16,18,20,24,25,33,43,53,72,74,76,85,89","HR+,HER2+,Triple Neg,HER2+,HR+,Triple Neg,HER2+,HR+,HR+,Triple Neg,HR+,HER2+,HER2+,Triple Neg,Triple Neg,HR+,HR+,HER2+,HER2+,Triple Neg","Triple Neg,HER2+,HR+,HER2+,HR+,HR+,HER2+,HR+,HR+,Triple Neg,HR+,HER2+,HER2+,Triple Neg,Triple Neg,HR+,HR+,HER2+,HER2+,HR+","[[0.03, 0.234793, 0.735207], [1.0, 0.0, 0.0], [0.0, 0.545305, 0.454695], [0.764, 0.103758, 0.132242], [0.022, 0.904974, 0.073026], [0.002, 0.570608, 0.427392], [1.0, 0.0, 0.0], [0.006, 0.829488, 0.164512], [0.0, 0.6933, 0.3067], [0.006, 0.325713, 0.668287], [0.0, 0.833165, 0.166835], [1.0, 0.0, 0.0], [1.0, 0.0, 0.0], [0.0, 0.23621, 0.76379], [0.152, 0.217939, 0.630061], [0.032, 0.666933, 0.301067], [0.0, 0.801559, 0.198441], [0.98, 0.008892, 0.011108], [0.998, 0.000639, 0.001361], [0.03, 0.489236, 0.480764]]",213.5
en_nmc,10,2,1.0,0.833333,0.888889,0.984737,0.816667,0.103816,"{""selector__C"": 0.599484, ""selector__l1_ratio"": 0.9, ""selector__top_k"": 50}",5,50,"chr17_35076296_35282086,chr17_41011530_41494331,chr17_42161364_42873571,chr17_1890246_2286311,chr17_10999_390571","chr16_68838368_69397102,chr12_36739877_67332062,chr6_1535319_30010234,chr6_32732764_32738443,chr5_69274433_96603723,chr22_15433500_22665928,chr1_149369522_149394958,chr12_67337260_132389367,chr6_32766023_91964331,chr1_17030134_22668805,chr14_105602756_105630089,chr16_14956177_14988855,chr15_20307869_21982746,chr16_15039224_33875313,chr17_2361350_18868037,chr1_199087690_199111062,chr16_28087_14817706,chr16_68710277_68751390,chr15_739595_18454050,chr15_22163893_32511475,chr22_37683612_37705310,chr23_3229_45135,chr22_37717564_49509094,chr20_8747_12478772,chr19_20422576_20493401,chr11_55124730_55194990,chr3_39066_478718,chr23_91365063_92103804,chr15_32523241_32594902,chr7_141965869_141978333,chr7_141555761_141947816,chr19_20552279_24157855,chr7_141259727_141549648,chr7_141214728_141245219,chr7_61474815_141189966,chr6_655129_1435871,chr7_38065862_61275990,chr19_32545047_34430432,chr7_140213_38060725,chr6_92035339_170943103,chr19_34467144_56795493,chr19_56816785_56859204,chr7_141989305_143302267,chr20_12495273_28266113,chr20_29306447_40052114,chr20_40075620_62379059,chr21_9896630_10198129,chr6_32634044_32728487,chr6_32605300_32629848,chr6_32586131_32600962",20,55,13,"3,6,17,23,39,42,44,45,54,57,59,61,62,65,75,78,79,88,98,99","Triple Neg,HER2+,HER2+,HER2+,HER2+,HR+,HR+,Triple Neg,HR+,HER2+,HR+,HR+,Triple Neg,HER2+,Triple Neg,HR+,Triple Neg,Triple Neg,HR+,HER2+","Triple Neg,HER2+,HER2+,HER2+,HER2+,HR+,HR+,HR+,HR+,HER2+,HR+,HR+,Triple Neg,HER2+,HR+,HR+,Triple Neg,Triple Neg,HR+,HER2+","[[0.0, 0.352872, 0.647128], [0.972, 0.009708, 0.018292], [1.0, 0.0, 0.0], [1.0, 0.0, 0.0], [0.99, 0.003804, 0.006196], [0.004, 0.666098, 0.329902], [0.0, 0.687594, 0.312406], [0.0, 0.598156, 0.401844], [0.004, 0.729418, 0.266582], [1.0, 0.0, 0.0], [0.002, 0.528786, 0.469214], [0.0, 0.642573, 0.357427], [0.07, 0.237475, 0.692525], [1.0, 0.0, 0.0], [0.004, 0.608096, 0.387904], [0.0, 0.742409, 0.257591], [0.0, 0.347176, 0.652824], [0.0, 0.322193, 0.677807], [0.006, 0.634007, 0.359993], [0.972, 0.010449, 0.017551]]",206.1
en_nmc,10,3,1.0,0.770833,0.847222,0.947917,0.706667,0.071957,"{""selector__C"": 2.15443, ""selector__l1_ratio"": 0.3, ""selector__top_k"": 50}",5,50,"chr17_35076296_35282086,chr17_41011530_41494331,chr17_42161364_42873571,chr8_166452_6907624,chr17_1542118_1560766","chr1_149369522_149394958,chr12_67337260_132389367,chr22_37683612_37705310,chr6_32766023_91964331,chr16_68838368_69397102,chr14_105602756_105630089,chr1_199087690_199111062,chr1_193480150_193527058,chr12_36739877_67332062,chr5_69274433_96603723,chr20_8747_12478772,chr23_3229_45135,chr12_9528590_9585156,chr6_32732764_32738443,chr15_22163893_32511475,chr5_96637773_180644810,chr19_56816785_56859204,chr15_53166_592121,chr16_68710277_68751390,chr19_20552279_24157855,chr15_20307869_21982746,chr19_3363749_20383210,chr1_17030134_22668805,chr16_15039224_33875313,chr16_45058242_54336421,chr11_89400624_134432265,chr22_15270151_15403609,chr20_29306447_40052114,chr15_32523241_32594902,chr14_22022060_73047267,chr22_37717564_49509094,chr18_4316_76110964,chr6_30021894_32519935,chr1_72661597_109968401,chr11_55200744_55207305,chr3_196908262_196937230,chr1_1676445_1703748,chr2_131945577_132196569,chr16_14956177_14988855,chr15_18657388_18683110,chr3_75546791_75799957,chr16_28087_14817706,chr1_149579637_149598429,chr8_39356595_39505256,chr1_2870100_2901629,chr19_32545047_34430432,chr17_77442683_77503685,chr14_73071404_73092018,chr19_34467144_56795493,chr23_152994680_154492924",20,54,14,"1,19,26,28,31,32,34,36,40,49,51,52,58,68,69,71,82,84,87,92","HR+,HR+,HER2+,HER2+,HER2+,HR+,HR+,Triple Neg,HR+,Triple Neg,HR+,HR+,Triple Neg,HER2+,HR+,HER2+,Triple Neg,HER2+,Triple Neg,Triple Neg","HR+,HR+,HER2+,HER2+,HER2+,HR+,HR+,HR+,Triple Neg,Triple Neg,HR+,HR+,HR+,HER2+,HR+,HER2+,Triple Neg,HER2+,Triple Neg,Triple Neg","[[0.0, 0.527877, 0.472123], [0.002, 0.771498, 0.226502], [1.0, 0.0, 0.0], [0.924, 0.034866, 0.041134], [0.9, 0.060747, 0.039253], [0.022, 0.581249, 0.396751], [0.004, 0.669771, 0.326229], [0.022, 0.494497, 0.483503], [0.004, 0.328014, 0.667986], [0.0, 0.410611, 0.589389], [0.0, 0.728244, 0.271756], [0.0, 0.762855, 0.237145], [0.0, 0.562638, 0.437362], [1.0, 0.0, 0.0], [0.11, 0.625881, 0.264119], [0.922, 0.052536, 0.025464], [0.0, 0.406587, 0.593413], [0.986, 0.008961, 0.005039], [0.0, 0.415149, 0.584851], [0.0, 0.394932, 0.605068]]",208.5
en_nmc,10,4,1.0,0.714286,0.809524,0.904762,0.806667,0.13233,"{""selector__C"": 0.16681, ""selector__l1_ratio"": 0.3, ""selector__top_k"": 10}",5,10,"chr17_35076296_35282086,chr17_41011530_41494331,chr17_42161364_42873571,chr6_92035339_170943103,chr14_105857193_105881279","chr16_68838368_69397102,chr12_36739877_67332062,chr15_22163893_32511475,chr19_20422576_20493401,chr22_37683612_37705310,chr11_89400624_134432265,chr5_69274433_96603723,chr5_96637773_180644810,chr3_586636_75535753,chr15_739595_18454050",20,54,14,"0,4,13,14,22,29,30,35,38,46,47,56,70,77,81,90,91,93,94,97","HER2+,Triple Neg,HER2+,Triple Neg,HR+,HR+,HR+,HR+,Triple Neg,HER2+,HER2+,HER2+,HER2+,Triple Neg,Triple Neg,Triple Neg,HR+,HR+,Triple Neg,HR+","HER2+,HR+,HER2+,HR+,Triple Neg,HR+,HR+,HR+,Triple Neg,HER2+,HER2+,HER2+,HER2+,HR+,Triple Neg,Triple Neg,HR+,HR+,Triple Neg,HR+","[[0.998, 0.000791, 0.001209], [0.0, 0.833497, 0.166503], [0.924, 0.022028, 0.053972], [0.006, 0.514457, 0.479543], [0.006, 0.408214, 0.585786], [0.006, 0.698663, 0.295337], [0.0, 0.826159, 0.173841], [0.002, 0.688462, 0.309538], [0.002, 0.459154, 0.538846], [0.996, 0.001686, 0.002314], [0.998, 0.001359, 0.000641], [0.816, 0.092974, 0.091026], [0.996, 0.000524, 0.003476], [0.006, 0.620178, 0.373822], [0.014, 0.390451, 0.595549], [0.014, 0.240463, 0.745537], [0.006, 0.50226, 0.49174], [0.0, 0.798727, 0.201273], [0.002, 0.420653, 0.577347], [0.0, 0.685629, 0.314371]]",217.3
en_nmc,10,5,1.0,0.571429,0.714286,0.871795,0.886667,0.068638,"{""selector__C"": 0.16681, ""selector__l1_ratio"": 0.9, ""selector__top_k"": 20}",5,20,"chr17_35076296_35282086,chr17_41011530_41494331,chr17_42161364_42873571,chr17_1542118_1560766,chr8_166452_6907624","chr16_68838368_69397102,chr12_36739877_67332062,chr16_28087_14817706,chr6_32766023_91964331,chr6_30021894_32519935,chr15_22163893_32511475,chr12_67337260_132389367,chr16_69763173_88690571,chr15_32523241_32594902,chr6_32605300_32629848,chr6_32634044_32728487,chr6_32732764_32738443,chr6_92035339_170943103,chr7_140213_38060725,chr7_38065862_61275990,chr7_61474815_141189966,chr7_141214728_141245219,chr7_141259727_141549648,chr6_32586131_32600962,chr4_93240865_190844427",20,54,14,"5,15,21,27,37,41,48,50,55,60,63,64,66,67,73,80,83,86,95,96","HR+,Triple Neg,HER2+,Triple Neg,Triple Neg,Triple Neg,Triple Neg,HER2+,Triple Neg,HER2+,HER2+,HR+,HR+,HER2+,HR+,Triple Neg,HR+,HR+,HER2+,HR+","Triple Neg,Triple Neg,HER2+,HR+,Triple Neg,HR+,Triple Neg,HER2+,HR+,HER2+,HER2+,Triple Neg,Triple Neg,HER2+,HR+,Triple Neg,HR+,HR+,HER2+,HR+","[[0.034, 0.402056, 0.563944], [0.004, 0.478461, 0.517539], [0.99, 0.006121, 0.003879], [0.008, 0.589861, 0.402139], [0.0, 0.406249, 0.593751], [0.002, 0.519428, 0.478572], [0.0, 0.394111, 0.605889], [0.964, 0.025715, 0.010285], [0.004, 0.507744, 0.488256], [0.938, 0.043953, 0.018047], [0.858, 0.072918, 0.069082], [0.0, 0.38452, 0.61548], [0.0, 0.292566, 0.707434], [1.0, 0.0, 0.0], [0.0, 0.756648, 0.243352], [0.0, 0.180187, 0.819813], [0.02, 0.559894, 0.420106], [0.0, 0.598665, 0.401335], [0.944, 0.026602, 0.029398], [0.0, 0.6276, 0.3724]]",222.1
