feature_name,stage1_kw_score,stage1_selected,stage2_score,stage2_selected
chr15_739595_18454050,2.476183,False,9.253567,True
chr16_68838368_69397102,0.01743,False,8.858272,True
chr15_18657388_18683110,2.187435,False,8.507635,True
chr6_30021894_32519935,1.797218,False,8.257807,True
chr22_24263116_37678070,0.055187,False,8.122847,True
chr15_22163893_32511475,0.009003,False,7.976352,True
chr5_96637773_180644810,3.065421,False,7.958351,True
chr6_1535319_30010234,0.044174,False,7.904837,True
chr23_96116_214107,0.76829,False,7.890438,True
chr22_37717564_49509094,0.00662,False,7.8563,True
chr16_68710277_68751390,0.551965,False,7.426677,True
chr1_149369522_149394958,0.273809,False,7.106174,True
chr11_89400624_134432265,0.149816,False,7.006819,True
chr23_3229_45135,0.146388,False,6.603587,True
chr6_32732764_32738443,0.595585,False,6.322717,True
chr12_67337260_132389367,0.388855,False,6.168103,True
chr5_49619946_68850823,2.379136,False,5.934272,True
chr17_77535412_78653545,8.181019,False,5.894755,True
chr6_32766023_91964331,0.118459,False,5.629586,True
chr12_36739877_67332062,0.888721,False,5.564935,True
chr16_69763173_88690571,0.25334,False,5.316366,True
chr22_22725750_24228038,0.002841,False,5.264292,True
chr15_32523241_32594902,1.59919,False,5.148602,True
chr15_20307869_21982746,0.002616,False,5.082987,True
chr22_15433500_22665928,1.288963,False,4.835793,True
chr5_69274433_96603723,8.449761,False,4.835793,True
chr22_37683612_37705310,1.384521,False,4.581278,True
chr10_42150759_46371243,1.622944,False,4.470906,True
chr16_54390012_68679377,0.002169,False,4.44942,True
chr19_32545047_34430432,1.302327,False,4.387695,True
chr16_28087_14817706,0.92885,False,4.306642,True
chr7_141965869_141978333,0.0,False,4.229126,True
chr4_190887518_191165971,0.992201,False,4.211133,True
chr1_72489681_72620747,3.20251,False,4.210759,True
chr12_33854_397918,0.967846,False,4.112069,True
chr3_586636_75535753,0.604301,False,4.030519,True
chr12_9633884_10453531,1.39935,False,4.014088,True
chr12_435020_9432943,1.39935,False,4.014088,True
chr12_10497371_11375835,1.39935,False,4.014088,True
chr16_69417987_69744010,1.269601,False,3.899805,True
chr3_75546791_75799957,0.028714,False,3.844347,True
chr2_131945577_132196569,0.0319,False,3.838849,True
chr11_51244499_55118214,1.556207,False,3.834992,True
chr16_45058242_54336421,0.444515,False,3.83484,True
chr3_164112881_193467200,4.693215,False,3.757576,True
chr12_10464018_10484956,0.408131,False,3.599097,True
chr1_1676445_1703748,0.102378,False,3.456007,True
chr3_193476462_196656506,5.706497,False,3.332123,True
chr14_105654998_105839439,0.114707,False,3.245678,True
chr2_8972669_89953713,0.111642,False,3.237491,True
chr2_91494116_130410215,0.150868,False,3.128815,True
chr19_20552279_24157855,2.328906,False,2.998244,True
chr11_55225136_56294614,0.019138,False,2.995563,True
chr19_3363749_20383210,2.632544,False,2.99349,True
chr21_13334960_13435755,0.750237,False,2.830822,True
chr6_92035339_170943103,4.709304,False,2.672049,True
chr23_90837054_91203848,0.262507,False,2.6176,True
chr17_403833_446414,7.440679,False,2.59205,True
chr11_70562838_89296560,0.029832,False,2.581557,True
chr8_63810_90816,12.469605,False,2.513004,True
chr20_8747_12478772,0.180863,False,2.496497,True
chr2_130458581_131785093,0.135703,False,2.362013,True
chr15_53166_592121,2.891711,False,2.355669,True
chr23_959048_1398694,0.247899,False,2.255815,True
chr11_56304321_58626432,0.0,False,2.255764,True
chr2_132327604_132947789,0.03283,False,2.197813,True
chr23_89001120_90763396,0.021885,False,2.103575,True
chr10_115544_38563575,0.65273,False,2.060019,True
chr17_984101_1003742,5.335022,False,2.022758,True
chr3_196908262_196937230,8.998422,False,1.981695,True
chr19_20422576_20493401,1.413763,False,1.981567,True
chr6_32634044_32728487,0.013346,False,1.981496,True
chr14_105602756_105630089,0.078547,False,1.922005,True
chr2_91057159_91321476,0.00321,False,1.890028,True
chr15_18722595_20060061,1.358517,False,1.842423,True
chr20_40075620_62379059,4.26436,False,1.785813,False
chr11_5777496_7757329,4.585492,False,1.757895,False
chr17_22399576_27351012,0.539451,False,1.735836,False
chr1_120313797_120737345,0.332816,False,1.701745,False
chr17_2361350_18868037,7.046605,False,1.68933,False
chr1_3149648_3157982,1.500847,False,1.685202,False
chr1_193556792_199054142,0.356455,False,1.684192,False
chr7_140213_38060725,0.09544,False,1.621553,False
chr23_88434081_88986061,0.120729,False,1.610083,False
chr2_132974227_231853847,1.234251,False,1.579034,False
chr3_196947293_199383479,5.077996,False,1.567424,False
chr1_120761983_120923696,0.102817,False,1.567424,False
