feature_name,stage1_kw_score,stage1_selected,stage2_score,stage2_selected
chr16_68838368_69397102,0.063238,False,0.801429,True
chr16_28087_14817706,2.077832,False,0.556008,True
chr6_32732764_32738443,1.214503,False,0.462108,True
chr11_89400624_134432265,1.347196,False,0.44984,True
chr12_36739877_67332062,0.528708,False,0.417205,True
chr20_8747_12478772,0.120359,False,0.373152,True
chr1_149369522_149394958,1.235094,False,0.344048,True
chr20_29306447_40052114,0.87634,False,0.340127,True
chr6_32766023_91964331,0.107177,False,0.330076,True
chr15_18657388_18683110,0.21755,False,0.29809,True
chr22_15433500_22665928,1.190507,False,0.27878,True
chr6_1535319_30010234,0.110395,False,0.275029,True
chr23_90837054_91203848,0.246838,False,0.256424,True
chr15_22163893_32511475,0.438019,False,0.245104,True
chr15_32523241_32594902,0.511277,False,0.243269,True
chr12_67337260_132389367,0.088999,False,0.24198,True
chr1_17030134_22668805,1.278869,False,0.241099,True
chr23_91234699_91344716,0.409966,False,0.238483,True
chr21_13334960_13435755,2.250712,False,0.237417,True
chr5_69274433_96603723,5.74742,False,0.211802,True
chr22_37683612_37705310,3.737916,False,0.199787,False
chr5_96637773_180644810,1.207222,False,0.188512,False
chr3_196908262_196937230,12.622337,True,0.161392,False
chr15_739595_18454050,1.174993,False,0.140332,False
chr16_15039224_33875313,1.872529,False,0.133213,False
chr1_72489681_72620747,1.819712,False,0.132886,False
chr17_2361350_18868037,5.428434,False,0.129984,False
chr17_403833_446414,7.607671,False,0.119406,False
chr19_8246_232080,0.486037,False,0.107139,False
chr8_166452_6907624,10.152855,False,0.082554,False
chr12_11466807_34647417,0.451,False,0.081838,False
chr1_1676445_1703748,0.015829,False,0.080041,False
chr22_246150_15013982,0.926409,False,0.077936,False
chr23_91365063_92103804,0.750016,False,0.072342,False
chr1_3149648_3157982,2.590444,False,0.063921,False
chr15_53166_592121,1.615156,False,0.062541,False
chr1_109987805_120232261,0.085111,False,0.053151,False
chr8_39535655_43515874,4.781998,False,0.030854,False
chr17_41983407_42049540,5.444772,False,0.026679,False
chr5_763494_878290,3.416086,False,0.024487,False
chr8_63810_90816,6.139156,False,0.021833,False
chr13_5179_123882,0.898591,False,0.019467,False
chr23_92209094_152935130,0.27698,False,0.004808,False
chr15_20307869_21982746,0.389767,False,0.004016,False
chr3_75546791_75799957,0.588797,False,0.002593,False
chr17_984101_1003742,6.280456,False,0.0,False
chr17_1008443_1536140,5.396449,False,0.0,False
chr17_1542118_1560766,13.539443,True,0.0,False
chr13_56770498_114123862,0.002669,False,0.0,False
chr17_1562322_1703117,5.563029,False,0.0,False
chr15_18722595_20060061,0.198172,False,0.0,False
chr17_1703729_1713758,11.165268,False,0.0,False
chr17_1718892_1845756,6.280456,False,0.0,False
chr14_18149473_19216369,0.160765,False,0.0,False
chr13_18194527_18354969,0.200099,False,0.0,False
chr17_1859252_1859812,0.013134,False,0.0,False
chr17_1860983_1881747,0.89991,False,0.0,False
chr17_1890246_2286311,7.840673,False,0.0,False
chr17_2286862_2330659,0.012256,False,0.0,False
chr15_22038880_22138119,0.044759,False,0.0,False
chr12_36160215_36244407,0.290498,False,0.0,False
chr17_2333732_2343255,3.145278,False,0.0,False
chr13_18402053_56673183,0.984687,False,0.0,False
chr16_14956177_14988855,0.488527,False,0.0,False
chr14_105857193_105881279,0.491574,False,0.0,False
chr14_105654998_105839439,0.000141,False,0.0,False
chr14_105602756_105630089,0.000131,False,0.0,False
chr14_105907191_106349756,0.078856,False,0.0,False
chr16_34095229_34976429,1.118736,False,0.0,False
chr14_73106558_105584008,0.786237,False,0.0,False
chr16_45058242_54336421,0.071759,False,0.0,False
chr16_54354643_54379834,0.832752,False,0.0,False
chr17_465054_974692,5.396449,False,0.0,False
chr16_68710277_68751390,1.434238,False,0.0,False
chr14_73071404_73092018,0.014424,False,0.0,False
chr16_69417987_69744010,1.890972,False,0.0,False
chr14_22022060_73047267,0.210635,False,0.0,False
chr15_32605086_100282819,1.33091,False,0.0,False
chr16_69763173_88690571,0.0,False,0.0,False
chr17_10999_390571,6.1103,False,0.0,False
chr14_19505698_22000194,0.094194,False,0.0,False
chr17_451258_461603,6.916619,False,0.0,False
chr14_19268776_19490630,0.002567,False,0.0,False
chr16_54390012_68679377,0.377922,False,0.0,False
chr23_89001120_90763396,0.257633,False,0.0,False
chr1_2611444_2645074,0.128684,False,0.0,False
chr1_37599215_72473289,1.082305,False,0.0,False
chr1_72661597_109968401,0.055364,False,0.0,False
chr1_120313797_120737345,1.227637,False,0.0,False
chr1_120761983_120923696,0.814905,False,0.0,False
chr1_141474904_145716245,1.330444,False,0.0,False
chr1_1738295_2580342,0.15755,False,0.0,False
chr1_146661770_149362629,0.412822,False,0.0,False
chr1_149403519_149573806,0.112102,False,0.0,False
chr1_149579637_149598429,0.680162,False,0.0,False
chr1_149604744_158365270,0.112102,False,0.0,False
chr1_158378189_186274119,0.18407,False,0.0,False
chr1_186293872_193443252,0.21836,False,0.0,False
chr21_14294323_14314039,0.951545,False,0.0,False
chr1_193556792_199054142,0.025417,False,0.0,False
chr1_199087690_199111062,0.126522,False,0.0,False
chr1_199135441_244676774,0.50157,False,0.0,False
chr1_244693374_245014643,1.768111,False,0.0,False
chr1_245054641_245121447,0.210712,False,0.0,False
chr1_245134410_245433846,1.78776,False,0.0,False
chr2_712_125634,0.135703,False,0.0,False
chr2_143031_8963807,0.024088,False,0.0,False
chr2_8972669_89953713,0.420891,False,0.0,False
chr2_91057159_91321476,0.499605,False,0.0,False
chr2_91494116_130410215,0.603813,False,0.0,False
chr2_130427665_130453073,0.89314,False,0.0,False
chr2_130458581_131785093,0.0,False,0.0,False
chr2_131792734_131931782,1.54384,False,0.0,False
chr2_131945577_132196569,0.640717,False,0.0,False
chr1_193480150_193527058,0.182846,False,0.0,False
chr17_19083766_20521986,2.533997,False,0.0,False
chr17_20569693_20596699,0.306073,False,0.0,False
chr17_20618474_21442476,3.488164,False,0.0,False
chr17_21627596_22142513,0.270013,False,0.0,False
chr17_22315936_22324326,0.294393,False,0.0,False
chr17_22399576_27351012,0.495723,False,0.0,False
chr17_27364248_27450834,0.490411,False,0.0,False
chr17_27463558_35067992,2.814285,False,0.0,False
chr12_11404653_11430887,0.389177,False,0.0,False
chr21_14334542_46914686,0.193385,False,0.0,False
chr22_134662_241255,0.342214,False,0.0,False
chr22_15270151_15403609,0.000577,False,0.0,False
chr22_22672513_22714749,1.27099,False,0.0,False
chr1_471671_1590570,0.018916,False,0.0,False
chr23_88434081_88986061,0.137087,False,0.0,False
chr22_37717564_49509094,0.165494,False,0.0,False
chr23_3229_45135,0.074558,False,0.0,False
chr23_96116_214107,0.035693,False,0.0,False
chr23_268930_343473,2.149755,False,0.0,False
chr23_354639_385792,0.437313,False,0.0,False
chr23_422315_524509,0.346999,False,0.0,False
chr23_959048_1398694,0.00971,False,0.0,False
chr23_1672003_1706462,0.45133,False,0.0,False
chr23_2702388_2969155,0.800396,False,0.0,False
chr23_2979705_26516197,0.571609,False,0.0,False
chr23_26537079_26627128,2.243502,False,0.0,False
chr23_26666781_52769796,0.847407,False,0.0,False
chr23_52775986_52832444,0.171287,False,0.0,False
chr23_52844235_66511655,0.100872,False,0.0,False
