feature_name,stage1_kw_score,stage1_selected,stage2_score,stage2_selected
chr5_69274433_96603723,4.20133,False,11.819199,True
chr15_22163893_32511475,0.362223,False,11.060329,True
chr5_96637773_180644810,0.269024,False,10.998371,True
chr16_28087_14817706,0.191018,False,10.63231,True
chr12_36739877_67332062,0.109686,False,10.504235,True
chr16_68838368_69397102,0.026479,False,9.173469,True
chr5_49619946_68850823,1.191189,False,8.590991,True
chr22_24263116_37678070,0.587142,False,8.472216,True
chr16_68710277_68751390,1.386694,False,8.118201,True
chr15_18657388_18683110,0.320119,False,7.983495,True
chr4_190887518_191165971,2.283538,False,7.541345,True
chr15_739595_18454050,0.882353,False,7.047253,True
chr12_67337260_132389367,0.58692,False,7.038278,True
chr16_54354643_54379834,0.285159,False,6.937621,True
chr6_1535319_30010234,0.113705,False,6.428766,True
chr17_77535412_78653545,4.782759,False,6.274199,False
chr15_20307869_21982746,0.713126,False,6.090424,False
chr16_45058242_54336421,0.005555,False,6.089747,False
chr22_22725750_24228038,0.20591,False,5.541075,False
chr6_92035339_170943103,4.768186,False,5.495335,False
chr6_32732764_32738443,1.787921,False,5.490381,False
chr17_403833_446414,6.016182,False,5.289696,False
chr16_69763173_88690571,0.016562,False,4.892705,False
chr6_32634044_32728487,0.009792,False,4.794472,False
chr22_37717564_49509094,0.013723,False,4.663602,False
chr16_15039224_33875313,0.185147,False,4.581448,False
chr1_17030134_22668805,0.801548,False,4.57904,False
chr11_89400624_134432265,2.436593,False,4.57196,False
chr16_54390012_68679377,0.308165,False,4.473857,False
chr6_30021894_32519935,1.37804,False,4.348563,False
chr15_32523241_32594902,0.531631,False,3.986367,False
chr6_32766023_91964331,0.436127,False,3.883776,False
chr3_196908262_196937230,9.594897,False,3.822743,False
chr23_3229_45135,0.304572,False,3.788975,False
chr22_15433500_22665928,0.421231,False,3.765046,False
chr3_586636_75535753,0.211533,False,3.670929,False
chr3_193476462_196656506,7.788405,False,3.665981,False
chr16_69417987_69744010,1.085682,False,3.518814,False
chr21_14334542_46914686,0.235471,False,3.467638,False
chr1_3166706_16531740,0.904314,False,3.316521,False
chr17_22399576_27351012,2.261097,False,3.285752,False
chr15_53166_592121,0.813174,False,3.266801,False
chr17_41983407_42049540,6.678967,False,3.248255,False
chr3_164112881_193467200,6.346334,False,2.990769,False
chr21_13334960_13435755,0.750237,False,2.892857,False
chr12_435020_9432943,0.44894,False,2.822485,False
chr20_8747_12478772,0.933638,False,2.676171,False
