feature_name,stage1_kw_score,stage1_selected,stage2_score,stage2_selected
chr16_68710277_68751390,0.00415,False,12.305284,True
chr15_22163893_32511475,0.026326,False,11.377998,True
chr12_36739877_67332062,0.006519,False,10.036571,True
chr16_68838368_69397102,0.171138,False,9.89798,True
chr12_67337260_132389367,0.776571,False,9.650531,True
chr5_96637773_180644810,0.658617,False,7.825236,True
chr16_69763173_88690571,0.473059,False,7.635585,True
chr16_28087_14817706,0.734764,False,7.249027,True
chr22_24263116_37678070,0.416756,False,6.494144,True
chr15_18657388_18683110,1.237483,False,6.082453,True
chr1_17030134_22668805,0.757827,False,5.747566,True
chr3_75546791_75799957,0.158277,False,5.648806,True
chr5_69274433_96603723,4.325082,False,5.612251,True
chr5_49619946_68850823,1.525364,False,5.612251,True
chr11_89400624_134432265,1.304266,False,5.408234,True
chr15_32523241_32594902,0.807606,False,5.341059,True
chr16_54390012_68679377,0.003319,False,5.314114,True
chr15_20307869_21982746,0.056557,False,5.232663,True
chr15_739595_18454050,3.274451,False,5.156499,True
chr4_190887518_191165971,4.593083,False,5.081517,True
chr22_22725750_24228038,0.586714,False,4.827189,True
chr4_191191940_191311992,0.887329,False,4.739429,True
chr15_53166_592121,3.986375,False,4.576149,True
chr16_69417987_69744010,2.458435,False,4.496222,True
chr22_37717564_49509094,0.212111,False,4.489148,True
chr6_32732764_32738443,0.356767,False,4.446806,True
chr6_1535319_30010234,0.10737,False,4.171254,True
chr16_15039224_33875313,0.821733,False,3.88277,True
chr15_18722595_20060061,0.918125,False,3.588489,True
chr16_45058242_54336421,0.045541,False,3.567768,True
chr6_30021894_32519935,0.867442,False,3.423839,False
chr3_586636_75535753,0.323766,False,3.423839,False
chr1_149369522_149394958,3.302983,False,3.376988,False
chr1_3166706_16531740,1.084987,False,3.374456,False
chr20_8747_12478772,0.029654,False,3.180711,False
chr22_37683612_37705310,1.13827,False,3.135863,False
chr22_15433500_22665928,1.830562,False,3.112477,False
chr6_32766023_91964331,0.937692,False,3.096239,False
chr6_92035339_170943103,7.482966,False,3.076186,False
chr16_54354643_54379834,0.180102,False,3.007715,False
chr17_403833_446414,3.368097,False,2.941438,False
chr1_72489681_72620747,3.994677,False,2.906761,False
chr14_105654998_105839439,0.527736,False,2.902932,False
chr21_13334960_13435755,0.766061,False,2.863178,False
chr5_763494_878290,3.402688,False,2.771922,False
chr17_77535412_78653545,3.588637,False,2.720848,False
chr17_22399576_27351012,1.623248,False,2.699056,False
chr23_96116_214107,0.047035,False,2.593255,False
chr23_3229_45135,0.009342,False,2.514377,False
chr4_93240865_190844427,0.066465,False,2.336849,False
chr11_5777496_7757329,0.913355,False,2.235265,False
chr17_41983407_42049540,5.674864,False,2.207451,False
chr11_55225136_56294614,0.870853,False,2.200303,False
chr17_984101_1003742,5.843291,False,2.085207,False
chr15_22038880_22138119,0.000136,False,2.038451,False
chr2_91057159_91321476,0.167653,False,2.018317,False
chr6_32634044_32728487,0.135187,False,1.936867,False
chr21_13660680_14258259,3.01154,False,1.893746,False
chr11_51244499_55118214,0.159163,False,1.877784,False
chr8_63810_90816,6.701945,False,1.854483,False
chr14_105602756_105630089,0.046478,False,1.820466,False
chr17_20569693_20596699,0.230191,False,1.797648,False
chr8_7040596_8132139,1.222795,False,1.75101,False
chr21_14334542_46914686,0.746316,False,1.698871,False
chr1_120313797_120737345,0.910622,False,1.617334,False
chr8_166452_6907624,10.112563,True,1.5769,False
chr23_52844235_66511655,0.002228,False,1.556317,False
chr1_2870100_2901629,0.235845,False,1.51591,False
chr12_36160215_36244407,0.378765,False,1.473188,False
chr8_8148437_12448374,4.477727,False,1.441511,False
chr17_22315936_22324326,4.087828,False,1.387817,False
chr23_26537079_26627128,2.589459,False,1.35798,False
chr23_26666781_52769796,1.119677,False,1.357103,False
chr14_73106558_105584008,0.87491,False,1.319202,False
chr20_29306447_40052114,0.690979,False,1.295322,False
chr23_92209094_152935130,0.947907,False,1.269101,False
chr21_13461550_13635227,0.38303,False,1.225577,False
chr17_1562322_1703117,6.612708,False,1.225108,False
chr17_1008443_1536140,6.612708,False,1.225108,False
chr17_465054_974692,6.612708,False,1.225108,False
chr10_46396163_135395562,0.013417,False,1.224139,False
chr22_22672513_22714749,0.588832,False,1.206797,False
chr20_12495273_28266113,0.709677,False,1.16564,False
chr14_105857193_105881279,2.558402,False,1.132863,False
chr20_40075620_62379059,3.18733,False,1.132557,False
chr8_12511855_16315130,7.100185,False,1.112242,False
chr2_8972669_89953713,0.08584,False,1.082342,False
chr11_70519863_70552702,0.155957,False,1.072281,False
chr1_2903052_3112977,1.442659,False,1.060198,False
chr16_34095229_34976429,0.254647,False,1.054035,False
chr14_105907191_106349756,1.356434,False,1.045169,False
chr14_22022060_73047267,0.071437,False,1.030287,False
chr11_182372_5733442,1.541241,False,1.019942,False
chr2_131945577_132196569,1.176383,False,1.017616,False
chr3_75845446_90391698,2.106641,False,0.973522,False
chr11_56304321_58626432,0.840478,False,0.954907,False
chr10_42150759_46371243,0.803205,False,0.94991,False
chr19_56864309_63784327,0.064865,False,0.945001,False
chr17_42975134_43019545,0.071298,False,0.944659,False
chr1_2664285_2665530,0.440413,False,0.942748,False
chr13_18194527_18354969,0.043366,False,0.939866,False
chr11_70562838_89296560,0.101994,False,0.93379,False
chr7_141965869_141978333,2.715513,False,0.894051,False
chr19_3363749_20383210,0.350635,False,0.875332,False
chr23_152994680_154492924,0.0011,False,0.866086,False
chr1_186293872_193443252,0.210986,False,0.839816,False
chr14_73071404_73092018,0.306214,False,0.825655,False
chr21_14294323_14314039,2.810277,False,0.822146,False
chr3_164112881_193467200,4.092686,False,0.820623,False
chr17_1890246_2286311,9.154636,False,0.777148,False
chr17_1718892_1845756,7.375595,False,0.777148,False
chr19_232836_236846,3.998319,False,0.760963,False
chr8_16373516_28182114,9.87671,False,0.7433,False
chr3_196908262_196937230,7.77173,False,0.732707,False
chr23_91365063_92103804,0.705573,False,0.713343,False
chr10_115544_38563575,0.617046,False,0.710796,False
