feature_name,stage1_kw_score,stage1_selected,stage2_score,stage2_selected
chr16_68838368_69397102,0.071916,False,0.294298,True
chr12_67337260_132389367,0.026134,False,0.170618,True
chr12_36739877_67332062,0.149297,False,0.160473,True
chr5_69274433_96603723,6.617285,False,0.159455,True
chr6_30021894_32519935,1.328476,False,0.117614,True
chr19_20422576_20493401,0.724795,False,0.117347,True
chr15_18657388_18683110,1.843488,False,0.115105,True
chr5_96637773_180644810,1.203269,False,0.113806,True
chr15_22163893_32511475,0.062905,False,0.090973,True
chr11_89400624_134432265,0.332176,False,0.067831,True
chr16_68710277_68751390,0.164657,False,0.067736,True
chr1_199087690_199111062,0.097848,False,0.06471,True
chr6_32732764_32738443,0.182822,False,0.061438,True
chr22_24263116_37678070,0.133451,False,0.049887,True
chr6_1535319_30010234,0.001858,False,0.038468,True
chr3_586636_75535753,0.212678,False,0.031822,True
chr17_403833_446414,5.685895,False,0.02421,True
chr1_149369522_149394958,3.63124,False,0.018891,True
chr3_164112881_193467200,4.941439,False,0.017387,True
chr5_49619946_68850823,1.867353,False,0.016803,True
chr22_37717564_49509094,0.356283,False,0.016608,False
chr16_28087_14817706,0.620241,False,0.012851,False
chr22_15433500_22665928,1.916736,False,0.011576,False
chr1_120313797_120737345,1.91778,False,0.009422,False
chr16_69417987_69744010,1.19703,False,0.006402,False
chr3_193476462_196656506,9.435024,False,0.005504,False
chr17_451258_461603,5.305588,False,0.0,False
chr17_10999_390571,5.28032,False,0.0,False
chr16_54354643_54379834,0.104473,False,0.0,False
chr16_69763173_88690571,0.314281,False,0.0,False
chr17_465054_974692,5.798787,False,0.0,False
chr17_984101_1003742,4.523584,False,0.0,False
chr17_1008443_1536140,5.798787,False,0.0,False
chr17_1542118_1560766,9.339066,False,0.0,False
chr17_1562322_1703117,5.965139,False,0.0,False
chr17_1703729_1713758,9.963762,False,0.0,False
chr17_1718892_1845756,5.965139,False,0.0,False
chr17_1859252_1859812,0.014365,False,0.0,False
chr17_1860983_1881747,1.048107,False,0.0,False
chr17_1890246_2286311,7.526271,False,0.0,False
chr17_2286862_2330659,0.409127,False,0.0,False
chr17_2361350_18868037,4.011372,False,0.0,False
chr16_54390012_68679377,0.061503,False,0.0,False
chr12_9528590_9585156,0.361589,False,0.0,False
chr12_9633884_10453531,2.260551,False,0.0,False
chr12_10464018_10484956,0.961573,False,0.0,False
chr12_10497371_11375835,2.260551,False,0.0,False
chr12_11404653_11430887,0.056163,False,0.0,False
chr12_11466807_34647417,1.916736,False,0.0,False
chr12_36160215_36244407,0.30171,False,0.0,False
chr13_5179_123882,0.971614,False,0.0,False
chr13_18194527_18354969,0.161188,False,0.0,False
chr13_18402053_56673183,0.413679,False,0.0,False
chr13_56770498_114123862,0.012813,False,0.0,False
chr14_18149473_19216369,0.009656,False,0.0,False
chr14_19268776_19490630,0.030923,False,0.0,False
chr14_19505698_22000194,0.088582,False,0.0,False
chr14_22022060_73047267,0.032401,False,0.0,False
chr17_2333732_2343255,3.619636,False,0.0,False
chr16_45058242_54336421,0.088403,False,0.0,False
chr16_34095229_34976429,0.376435,False,0.0,False
chr16_15039224_33875313,0.324655,False,0.0,False
chr16_14956177_14988855,3.124061,False,0.0,False
chr15_32605086_100282819,1.125346,False,0.0,False
