pipeline,repeat,outer_fold,balanced_accuracy,auroc_macro,best_inner_score,best_params,n_features_selected,selected_features,y_true,y_pred,fold_seconds
en_nmc,1,1,0.706349,0.919414,0.826667,"{""selector__C"": 0.16681, ""selector__l1_ratio"": 0.9, ""selector__top_k"": 5}",5,"chr17_35076296_35282086,chr16_68838368_69397102,chr12_36739877_67332062,chr17_41011530_41494331,chr5_96637773_180644810","HR+,HER2+,HR+,Triple Neg,HER2+,HR+,HER2+,HER2+,Triple Neg,HR+,Triple Neg,HR+,HER2+,HER2+,Triple Neg,Triple Neg,Triple Neg,HR+,HR+,HER2+","Triple Neg,HER2+,HR+,Triple Neg,HER2+,Triple Neg,HER2+,HER2+,Triple Neg,HR+,HR+,Triple Neg,Triple Neg,HER2+,Triple Neg,Triple Neg,Triple Neg,Triple Neg,HR+,HER2+",488.8
en_nmc,1,2,0.793651,0.904151,0.84,"{""selector__C"": 0.16681, ""selector__l1_ratio"": 0.9, ""selector__top_k"": 50}",50,"chr17_35076296_35282086,chr16_68710277_68751390,chr12_36739877_67332062,chr17_41011530_41494331,chr16_28087_14817706,chr17_2361350_18868037,chr1_149369522_149394958,chr15_739595_18454050,chr11_89400624_134432265,chr12_67337260_132389367,chr6_32766023_91964331,chr6_92035339_170943103,chr15_18657388_18683110,chr22_37717564_49509094,chr5_96637773_180644810,chr16_68838368_69397102,chr15_32523241_32594902,chr15_22163893_32511475,chr6_30021894_32519935,chr4_190887518_191165971,chr16_69763173_88690571,chr5_69274433_96603723,chr6_1535319_30010234,chr11_7803570_50337734,chr4_191191940_191311992,chr11_182372_5733442,chr5_75149_745859,chr5_763494_878290,chr6_32732764_32738443,chr6_32634044_32728487,chr6_32605300_32629848,chr6_32586131_32600962,chr11_5742476_5762182,chr5_916822_21966989,chr5_32209048_45938397,chr11_7762277_7797993,chr6_1436117_1512043,chr5_21979223_32203336,chr6_655129_1435871,chr11_5777496_7757329,chr6_204528_634345,chr6_5839_154410,chr5_49619946_68850823,chr10_42150759_46371243,chr10_38596435_42057554,chr10_115544_38563575,chr9_110114139_138397892,chr9_110086022_110108926,chr9_42913008_110081531,chr9_153131_40520747","Triple Neg,HER2+,HR+,HR+,Triple Neg,HER2+,HER2+,Triple Neg,HR+,HR+,HER2+,HR+,HER2+,HER2+,Triple Neg,Triple Neg,Triple Neg,HER2+,HR+,HR+","HR+,HER2+,HR+,Triple Neg,Triple Neg,HER2+,HER2+,Triple Neg,HR+,HR+,HER2+,HR+,HER2+,HER2+,Triple Neg,HER2+,Triple Neg,HER2+,Triple Neg,HR+",516.0
en_nmc,1,3,0.680556,0.860119,0.846667,"{""selector__C"": 100.0, ""selector__l1_ratio"": 0.9, ""selector__top_k"": 20}",20,"chr17_35076296_35282086,chr22_37683612_37705310,chr3_196908262_196937230,chr18_4316_76110964,chr17_41011530_41494331,chr17_77442683_77503685,chr16_28087_14817706,chr1_193480150_193527058,chr23_1672003_1706462,chr5_69274433_96603723,chr1_199087690_199111062,chr6_92035339_170943103,chr23_3229_45135,chr16_68838368_69397102,chr12_9528590_9585156,chr12_36739877_67332062,chr17_42161364_42873571,chr17_35286565_35427554,chr12_67337260_132389367,chr6_32732764_32738443","Triple Neg,HER2+,HR+,Triple Neg,HER2+,Triple Neg,HR+,HER2+,HR+,HER2+,HR+,Triple Neg,Triple Neg,Triple Neg,HR+,HER2+,HER2+,HR+,HR+,HR+","Triple Neg,HER2+,HR+,HR+,HER2+,HR+,HR+,HER2+,HR+,HER2+,HR+,HR+,HR+,HR+,HR+,HER2+,HER2+,HR+,HER2+,HR+",495.4
en_nmc,1,4,0.761905,0.934066,0.804444,"{""selector__C"": 0.599484, ""selector__l1_ratio"": 0.9, ""selector__top_k"": 5}",5,"chr17_35076296_35282086,chr16_68838368_69397102,chr12_36739877_67332062,chr17_41011530_41494331,chr6_32766023_91964331","HR+,Triple Neg,HR+,HER2+,HER2+,Triple Neg,HR+,HER2+,HER2+,HER2+,HR+,Triple Neg,HER2+,Triple Neg,HR+,Triple Neg,Triple Neg,HR+,Triple Neg,HR+","HR+,HR+,Triple Neg,HER2+,HER2+,HR+,HR+,HER2+,HER2+,HER2+,Triple Neg,Triple Neg,HER2+,HR+,HR+,Triple Neg,Triple Neg,HR+,Triple Neg,HR+",492.5
en_nmc,1,5,0.809524,0.923077,0.802222,"{""selector__C"": 0.599484, ""selector__l1_ratio"": 0.9, ""selector__top_k"": 10}",10,"chr17_35076296_35282086,chr16_68838368_69397102,chr12_36739877_67332062,chr15_22163893_32511475,chr6_32766023_91964331,chr17_41011530_41494331,chr15_18657388_18683110,chr14_105602756_105630089,chr12_67337260_132389367,chr1_149369522_149394958","HER2+,Triple Neg,HR+,HER2+,HR+,HER2+,Triple Neg,HR+,HR+,Triple Neg,HR+,Triple Neg,HER2+,HR+,HR+,HER2+,HER2+,Triple Neg,Triple Neg,Triple Neg","HER2+,HR+,HR+,HER2+,HR+,HER2+,Triple Neg,Triple Neg,Triple Neg,Triple Neg,HR+,HR+,HER2+,HR+,HR+,HER2+,HER2+,Triple Neg,Triple Neg,Triple Neg",501.9
en_nmc,10,1,0.634921,0.905067,0.768889,"{""selector__C"": 0.0464159, ""selector__l1_ratio"": 0.1, ""selector__top_k"": 50}",50,"chr17_35076296_35282086,chr12_36739877_67332062,chr15_18657388_18683110,chr15_32523241_32594902,chr17_41011530_41494331,chr16_68838368_69397102,chr6_92035339_170943103,chr17_77442683_77503685,chr11_89400624_134432265,chr12_67337260_132389367,chr17_42161364_42873571,chr15_22163893_32511475,chr22_37683612_37705310,chr15_739595_18454050,chr3_196908262_196937230,chr1_149369522_149394958,chr21_13334960_13435755,chr22_37717564_49509094,chr17_1703729_1713758,chr17_35444422_40926154,chr17_1542118_1560766,chr16_28087_14817706,chr22_24263116_37678070,chr16_69417987_69744010,chr16_68710277_68751390,chr1_120313797_120737345,chr3_193476462_196656506,chr22_22725750_24228038,chr6_32732764_32738443,chr5_69274433_96603723,chr5_96637773_180644810,chr8_39535655_43515874,chr4_190887518_191165971,chr16_15039224_33875313,chr6_32766023_91964331,chr1_17030134_22668805,chr8_63810_90816,chr20_29306447_40052114,chr1_72489681_72620747,chr17_984101_1003742,chr22_15433500_22665928,chr17_2361350_18868037,chr15_53166_592121,chr3_164112881_193467200,chr23_96116_214107,chr5_763494_878290,chr20_8747_12478772,chr2_91057159_91321476,chr3_95043863_126884366,chr14_105654998_105839439","HR+,HER2+,Triple Neg,HER2+,HR+,Triple Neg,HER2+,HR+,HR+,Triple Neg,HR+,HER2+,HER2+,Triple Neg,Triple Neg,HR+,HR+,HER2+,HER2+,Triple Neg","Triple Neg,HER2+,HR+,Triple Neg,HR+,Triple Neg,HER2+,HR+,HR+,HER2+,HR+,HER2+,HER2+,Triple Neg,HER2+,HER2+,HR+,HER2+,HER2+,HR+",501.3
en_nmc,10,2,0.626984,0.732753,0.737778,"{""selector__C"": 0.0129155, ""selector__l1_ratio"": 0.3, ""selector__top_k"": 5}",5,"chr17_35076296_35282086,chr6_1535319_30010234,chr6_30021894_32519935,chr6_32586131_32600962,chr6_32605300_32629848","Triple Neg,HER2+,HER2+,HER2+,HER2+,HR+,HR+,Triple Neg,HR+,HER2+,HR+,HR+,Triple Neg,HER2+,Triple Neg,HR+,Triple Neg,Triple Neg,HR+,HER2+","HR+,HER2+,HER2+,HER2+,HER2+,HR+,HR+,HR+,HR+,HER2+,HER2+,HR+,Triple Neg,HER2+,HR+,HR+,HR+,HR+,Triple Neg,HER2+",489.1
en_nmc,10,3,0.819444,0.862103,0.782222,"{""selector__C"": 0.0464159, ""selector__l1_ratio"": 0.3, ""selector__top_k"": 10}",10,"chr17_35076296_35282086,chr17_41011530_41494331,chr5_96637773_180644810,chr17_42161364_42873571,chr12_67337260_132389367,chr5_69274433_96603723,chr15_18657388_18683110,chr11_89400624_134432265,chr15_32523241_32594902,chr6_92035339_170943103","HR+,HR+,HER2+,HER2+,HER2+,HR+,HR+,Triple Neg,HR+,Triple Neg,HR+,HR+,Triple Neg,HER2+,HR+,HER2+,Triple Neg,HER2+,Triple Neg,Triple Neg","HR+,HR+,HER2+,HER2+,HER2+,HR+,Triple Neg,Triple Neg,HER2+,Triple Neg,HR+,HR+,HR+,HER2+,HER2+,HER2+,Triple Neg,HER2+,Triple Neg,Triple Neg",500.6
en_nmc,10,4,0.761905,0.882784,0.824444,"{""selector__C"": 7.74264, ""selector__l1_ratio"": 0.7, ""selector__top_k"": 10}",10,"chr17_35076296_35282086,chr16_68838368_69397102,chr17_41011530_41494331,chr12_36739877_67332062,chr22_37683612_37705310,chr6_92035339_170943103,chr12_67337260_132389367,chr15_22163893_32511475,chr23_3229_45135,chr3_586636_75535753","HER2+,Triple Neg,HER2+,Triple Neg,HR+,HR+,HR+,HR+,Triple Neg,HER2+,HER2+,HER2+,HER2+,Triple Neg,Triple Neg,Triple Neg,HR+,HR+,Triple Neg,HR+","HER2+,HR+,HER2+,HR+,Triple Neg,HR+,HR+,HER2+,Triple Neg,HER2+,HER2+,HER2+,HER2+,Triple Neg,Triple Neg,Triple Neg,Triple Neg,HR+,Triple Neg,HR+",520.7
en_nmc,10,5,0.753968,0.862943,0.82,"{""selector__C"": 0.16681, ""selector__l1_ratio"": 0.9, ""selector__top_k"": 50}",50,"chr17_35076296_35282086,chr12_36739877_67332062,chr16_28087_14817706,chr16_68838368_69397102,chr6_32766023_91964331,chr17_41011530_41494331,chr15_22163893_32511475,chr3_196908262_196937230,chr12_67337260_132389367,chr6_30021894_32519935,chr16_69763173_88690571,chr11_89400624_134432265,chr3_164112881_193467200,chr5_96637773_180644810,chr22_24263116_37678070,chr22_37717564_49509094,chr15_32523241_32594902,chr6_1535319_30010234,chr6_32586131_32600962,chr6_32605300_32629848,chr6_32634044_32728487,chr6_32732764_32738443,chr6_92035339_170943103,chr7_140213_38060725,chr7_61474815_141189966,chr6_1436117_1512043,chr6_655129_1435871,chr6_204528_634345,chr6_5839_154410,chr5_69274433_96603723,chr5_49619946_68850823,chr5_32209048_45938397,chr5_21979223_32203336,chr5_916822_21966989,chr5_763494_878290,chr5_75149_745859,chr4_191191940_191311992,chr4_190887518_191165971,chr4_93240865_190844427,chr7_38065862_61275990,chr8_47575650_146264846,chr9_153131_40520747,chr9_42913008_110081531,chr9_110086022_110108926,chr9_110114139_138397892,chr10_115544_38563575,chr10_38596435_42057554,chr7_141965869_141978333,chr10_46396163_135395562,chr11_182372_5733442","HR+,Triple Neg,HER2+,Triple Neg,Triple Neg,Triple Neg,Triple Neg,HER2+,Triple Neg,HER2+,HER2+,HR+,HR+,HER2+,HR+,Triple Neg,HR+,HR+,HER2+,HR+","HR+,Triple Neg,HR+,HR+,HR+,HR+,Triple Neg,HER2+,HER2+,HER2+,HER2+,HR+,HR+,HER2+,HR+,Triple Neg,HR+,HR+,HER2+,HR+",487.0
