feature_name,stage1_kw_score,stage1_selected,stage2_score,stage2_selected
chr12_67337260_132389367,0.375725,False,10.59503,True
chr16_28087_14817706,0.724501,False,10.180182,True
chr16_68838368_69397102,0.125217,False,9.784731,True
chr5_69274433_96603723,6.390231,False,9.481817,True
chr5_96637773_180644810,1.468332,False,8.866259,True
chr16_45058242_54336421,0.034728,False,8.796318,True
chr12_36739877_67332062,0.006328,False,8.505007,True
chr15_22163893_32511475,0.133104,False,8.277592,True
chr22_24263116_37678070,0.018411,False,8.063209,True
chr5_49619946_68850823,3.033326,False,7.647915,True
chr4_190887518_191165971,2.950129,False,7.142528,True
chr11_89400624_134432265,0.001702,False,6.97651,True
chr16_68710277_68751390,0.287027,False,6.792437,True
chr22_37717564_49509094,0.004886,False,6.678612,True
chr15_739595_18454050,4.587149,False,6.463528,True
chr23_96116_214107,0.671465,False,6.36048,True
chr22_22725750_24228038,0.000536,False,6.205138,True
chr15_32523241_32594902,0.252818,False,6.154675,True
chr16_54390012_68679377,0.005608,False,5.989471,True
chr2_91057159_91321476,0.391437,False,5.946282,True
chr16_69763173_88690571,0.472769,False,5.567614,True
chr16_54354643_54379834,0.278528,False,5.315452,True
chr6_1535319_30010234,0.170959,False,5.166236,True
chr15_20307869_21982746,0.046027,False,5.119678,True
chr6_32732764_32738443,0.372055,False,4.844788,True
chr6_92035339_170943103,4.331288,False,4.771401,True
chr2_8972669_89953713,0.455988,False,4.748723,True
chr22_15433500_22665928,1.078394,False,4.736758,True
chr17_77535412_78653545,3.094088,False,4.667407,True
chr11_51244499_55118214,0.489564,False,4.625402,True
chr15_18657388_18683110,0.894839,False,4.476127,True
chr23_3229_45135,0.082609,False,4.42316,True
chr16_15039224_33875313,0.239394,False,4.414727,True
chr6_32766023_91964331,0.135187,False,4.365559,True
chr6_30021894_32519935,1.316148,False,4.342739,True
chr1_120313797_120737345,1.313812,False,4.188032,True
chr14_22022060_73047267,0.000682,False,4.110253,True
chr10_42150759_46371243,1.58022,False,4.069853,True
chr2_131945577_132196569,0.035479,False,3.807461,True
chr2_132327604_132947789,0.018859,False,3.802243,True
chr16_69417987_69744010,2.06621,False,3.787203,True
chr11_55225136_56294614,0.001578,False,3.760359,True
chr11_70562838_89296560,0.695983,False,3.726353,True
chr23_88434081_88986061,0.157559,False,3.589647,True
chr22_37683612_37705310,0.392856,False,3.587576,True
chr2_131792734_131931782,0.188221,False,3.545093,True
chr2_91494116_130410215,0.188221,False,3.545093,True
chr1_72489681_72620747,1.672404,False,3.288448,True
chr3_586636_75535753,1.123485,False,3.275316,True
chr14_105654998_105839439,0.595145,False,3.081077,True
chr1_149369522_149394958,3.666208,False,3.008035,True
chr1_1676445_1703748,0.133221,False,2.966344,True
chr2_130427665_130453073,0.157148,False,2.954244,True
chr23_90837054_91203848,0.09789,False,2.869623,True
chr21_13334960_13435755,0.766061,False,2.863178,True
chr2_130458581_131785093,0.157323,False,2.800322,True
chr10_115544_38563575,1.705451,False,2.762467,True
chr23_89001120_90763396,0.000212,False,2.746261,True
chr20_8747_12478772,0.506084,False,2.591276,True
chr12_435020_9432943,0.12893,False,2.571094,True
chr4_191191940_191311992,0.339424,False,2.54876,True
chr11_5777496_7757329,0.014675,False,2.520955,True
chr4_93240865_190844427,0.347374,False,2.478729,True
chr1_3149648_3157982,2.778554,False,2.383991,True
chr3_75546791_75799957,0.409578,False,2.312017,True
chr1_471671_1590570,0.108004,False,2.245571,True
chr14_105602756_105630089,1.244512,False,2.135209,True
chr1_17030134_22668805,2.552027,False,2.10809,True
chr20_29306447_40052114,0.449868,False,2.09043,True
chr23_2702388_2969155,0.233044,False,1.969496,True
chr13_18194527_18354969,0.233044,False,1.969496,True
