feature_name,stage1_kw_score,stage1_selected,stage2_score,stage2_selected
chr16_68838368_69397102,0.460504,False,13.966488,True
chr22_24263116_37678070,0.529722,False,12.910824,True
chr22_22725750_24228038,0.193451,False,11.538827,True
chr2_91057159_91321476,0.660349,False,11.126518,True
chr16_68710277_68751390,0.072024,False,10.640238,True
chr16_69763173_88690571,0.133173,False,10.638976,True
chr22_37717564_49509094,0.308539,False,10.487097,True
chr1_120313797_120737345,3.753575,False,9.792725,True
chr12_36739877_67332062,0.182643,False,9.378381,True
chr2_8972669_89953713,1.154477,False,9.166161,True
chr16_54390012_68679377,0.092514,False,8.916281,True
chr12_67337260_132389367,0.088999,False,8.694139,True
chr16_69417987_69744010,3.747674,False,8.447762,True
chr6_32766023_91964331,0.197955,False,8.421517,True
chr5_96637773_180644810,0.751106,False,8.157312,True
chr6_92035339_170943103,3.243575,False,7.974922,True
chr16_45058242_54336421,0.182861,False,7.820004,True
chr6_1535319_30010234,1.186785,False,7.411795,True
chr5_49619946_68850823,2.188633,False,7.358017,True
chr15_22163893_32511475,1.549152,False,7.340359,True
chr22_15433500_22665928,0.000654,False,7.266388,True
chr2_91494116_130410215,1.500475,False,6.57931,True
chr6_30021894_32519935,3.224845,False,6.235318,True
chr4_190887518_191165971,1.622685,False,6.225738,True
chr6_32732764_32738443,1.557632,False,6.199973,True
chr10_42150759_46371243,0.048745,False,6.025673,True
chr15_32523241_32594902,0.085061,False,5.930869,True
chr5_69274433_96603723,6.090984,False,5.921379,True
chr17_77535412_78653545,5.750674,False,5.80286,True
chr10_115544_38563575,0.53935,False,5.494872,True
chr1_149369522_149394958,3.892287,False,5.412775,True
chr17_403833_446414,7.318528,False,5.337041,True
chr3_586636_75535753,0.96754,False,5.250041,True
chr15_739595_18454050,0.032153,False,4.933038,True
chr16_28087_14817706,0.757989,False,4.931068,True
chr22_37683612_37705310,1.529896,False,4.9193,True
chr3_164112881_193467200,5.909618,False,4.481379,True
chr11_51244499_55118214,1.791889,False,4.372457,True
