SegmentID	Chromosome	Start	End	n_raw_regions
0	1	2927	372295	3
1	1	471671	1590570	4
2	1	1676445	1703748	1
3	1	1738295	2580342	3
4	1	2611444	2645074	2
5	1	2664285	2665530	1
6	1	2672694	2856899	2
7	1	2870100	2901629	2
8	1	2903052	3112977	1
9	1	3125822	3137481	2
10	1	3149648	3157982	1
11	1	3166706	16531740	13
12	1	16551324	16997273	6
13	1	17030134	22668805	5
14	1	22674759	25318800	2
15	1	25354765	34166798	15
16	1	34172947	37578554	3
17	1	37599215	72473289	52
18	1	72489681	72620747	1
19	1	72661597	109968401	34
20	1	109987805	120232261	21
21	1	120313797	120737345	2
22	1	120761983	120923696	1
23	1	141474904	145716245	10
24	1	145820605	146634734	4
25	1	146661770	149362629	1
26	1	149369522	149394958	1
27	1	149403519	149573806	1
28	1	149579637	149598429	2
29	1	149604744	158365270	13
30	1	158378189	186274119	15
31	1	186293872	193443252	2
32	1	193480150	193527058	1
33	1	193556792	199054142	3
34	1	199087690	199111062	1
35	1	199135441	244676774	30
36	1	244693374	245014643	5
37	1	245054641	245121447	2
38	1	245134410	245433846	3
39	2	712	125634	1
40	2	143031	8963807	7
41	2	8972669	89953713	37
42	2	91057159	91321476	2
43	2	91494116	130410215	19
44	2	130427665	130453073	1
45	2	130458581	131785093	1
46	2	131792734	131931782	1
47	2	131945577	132196569	2
48	2	132210961	132323628	1
49	2	132327604	132947789	2
50	2	132974227	231853847	21
51	2	231862922	242784096	6
52	3	39066	478718	2
53	3	515536	574415	2
54	3	586636	75535753	37
55	3	75546791	75799957	1
56	3	75845446	90391698	23
57	3	95043863	126884366	16
58	3	127015333	163987465	16
59	3	163997236	164023510	1
60	3	164038925	164101784	1
61	3	164112881	193467200	14
62	3	193476462	196656506	1
63	3	196908262	196937230	1
64	3	196947293	199383479	3
65	4	5224	49422736	34
66	4	52530029	69042487	22
67	4	69215734	69311985	1
68	4	69789443	70305861	1
69	4	70334625	74719357	7
70	4	74730754	93211181	19
71	4	93240865	190844427	36
72	4	190887518	191165971	4
73	4	191191940	191311992	1
74	5	75149	745859	5
75	5	763494	878290	4
76	5	916822	21966989	15
77	5	21979223	32203336	5
78	5	32209048	45938397	12
79	5	49619946	68850823	16
80	5	69274433	96603723	9
81	5	96637773	180644810	34
82	6	5839	154410	4
83	6	204528	634345	7
84	6	655129	1435871	4
85	6	1436117	1512043	1
86	6	1535319	30010234	23
87	6	30021894	32519935	6
88	6	32586131	32600962	1
89	6	32605300	32629848	1
90	6	32634044	32728487	3
91	6	32732764	32738443	1
92	6	32766023	91964331	54
93	6	92035339	170943103	76
94	7	140213	38060725	26
95	7	38065862	61275990	22
96	7	61474815	141189966	32
97	7	141214728	141245219	1
98	7	141259727	141549648	4
99	7	141555761	141947816	2
100	7	141965869	141978333	1
101	7	141989305	143302267	1
102	7	143321677	143391065	1
103	7	143526118	158617983	12
104	8	63810	90816	1
105	8	166452	6907624	10
106	8	7040596	8132139	3
107	8	8148437	12448374	2
108	8	12511855	16315130	4
109	8	16373516	28182114	12
110	8	28208003	35676140	25
111	8	35694285	39333915	24
112	8	39356595	39505256	2
113	8	39535655	43515874	20
114	8	47575650	146264846	90
115	9	153131	40520747	52
116	9	42913008	110081531	20
117	9	110086022	110108926	2
118	9	110114139	138397892	23
119	10	115544	38563575	32
120	10	38596435	42057554	2
121	10	42150759	46371243	8
122	10	46396163	135395562	74
123	11	182372	5733442	5
124	11	5742476	5762182	1
125	11	5777496	7757329	3
126	11	7762277	7797993	1
127	11	7803570	50337734	40
128	11	51244499	55118214	3
129	11	55124730	55194990	1
130	11	55200744	55207305	1
131	11	55225136	56294614	2
132	11	56304321	58626432	9
133	11	58634869	68684682	40
134	11	68740184	68943548	3
135	11	68972488	70505018	14
136	11	70519863	70552702	1
137	11	70562838	89296560	46
138	11	89400624	134432265	18
139	12	33854	397918	4
140	12	412868	427816	1
141	12	435020	9432943	7
142	12	9528590	9585156	1
143	12	9633884	10453531	1
144	12	10464018	10484956	1
145	12	10497371	11375835	1
146	12	11404653	11430887	1
147	12	11466807	34647417	21
148	12	36160215	36244407	1
149	12	36739877	67332062	28
150	12	67337260	132389367	48
151	13	5179	123882	1
152	13	18194527	18354969	1
153	13	18402053	56673183	33
154	13	56770498	114123862	29
155	14	18149473	19216369	3
156	14	19268776	19490630	3
157	14	19505698	22000194	13
158	14	22022060	73047267	58
159	14	73071404	73092018	1
160	14	73106558	105584008	20
161	14	105602756	105630089	1
162	14	105654998	105839439	2
163	14	105857193	105881279	1
164	14	105907191	106349756	4
165	15	53166	592121	1
166	15	739595	18454050	3
167	15	18657388	18683110	1
168	15	18722595	20060061	6
