feature_name,stage1_kw_score,stage1_selected,stage2_score,stage2_selected
chr16_68838368_69397102,0.44019,False,0.447175,True
chr14_105602756_105630089,0.317987,False,0.415044,True
chr1_149369522_149394958,3.296995,False,0.404591,True
chr16_68710277_68751390,0.28328,False,0.375387,True
chr6_32766023_91964331,0.180607,False,0.347789,True
chr23_3229_45135,0.008478,False,0.345137,True
chr12_36739877_67332062,0.039192,False,0.331903,True
chr1_17030134_22668805,0.12504,False,0.281463,True
chr6_32732764_32738443,0.574595,False,0.278398,True
chr15_20307869_21982746,0.37426,False,0.248547,True
chr16_45058242_54336421,0.005103,False,0.247076,True
chr4_69215734_69311985,2.834826,False,0.246775,True
chr5_69274433_96603723,9.081765,False,0.243251,True
chr16_15039224_33875313,0.135043,False,0.238092,True
chr11_89400624_134432265,1.038205,False,0.229719,True
chr12_67337260_132389367,0.000736,False,0.223323,True
chr20_8747_12478772,0.100116,False,0.221714,True
chr14_22022060_73047267,0.115986,False,0.215947,True
chr15_22163893_32511475,0.973706,False,0.213961,True
chr19_3363749_20383210,1.487121,False,0.207373,True
chr6_1535319_30010234,0.127873,False,0.205396,True
chr19_20422576_20493401,4.398973,False,0.204131,True
chr22_37717564_49509094,0.449188,False,0.193891,True
chr14_105654998_105839439,0.023808,False,0.193596,True
chr16_54390012_68679377,0.039472,False,0.19173,True
chr15_32523241_32594902,0.308325,False,0.181099,True
chr15_18657388_18683110,1.841492,False,0.178852,True
chr20_29306447_40052114,0.101529,False,0.17608,True
chr4_93240865_190844427,0.051338,False,0.17589,True
chr12_11466807_34647417,0.087459,False,0.175617,True
chr22_15270151_15403609,0.332413,False,0.175103,True
chr19_56816785_56859204,0.000578,False,0.173143,True
chr23_92209094_152935130,0.487903,False,0.171032,True
chr8_35694285_39333915,1.295032,False,0.170709,True
chr8_39535655_43515874,5.591469,False,0.167674,True
chr17_403833_446414,7.548678,False,0.163287,True
chr17_41527705_41706870,0.501707,False,0.155799,True
chr12_11404653_11430887,1.690413,False,0.1547,True
chr1_193480150_193527058,0.042748,False,0.148144,True
chr11_70519863_70552702,0.092148,False,0.14298,True
chr11_55200744_55207305,0.542249,False,0.140434,True
chr6_30021894_32519935,0.771673,False,0.139969,True
chr22_15433500_22665928,1.700895,False,0.138448,True
chr23_959048_1398694,0.156655,False,0.137563,True
chr23_152994680_154492924,0.016788,False,0.13432,True
chr19_8246_232080,0.233197,False,0.134175,True
chr14_19268776_19490630,0.030284,False,0.134065,True
chr20_40075620_62379059,1.210233,False,0.132163,True
chr1_199087690_199111062,0.009955,False,0.131855,True
chr17_77535412_78653545,3.531967,False,0.131449,True
chr22_24263116_37678070,0.171392,False,0.12982,False
chr13_18194527_18354969,0.49375,False,0.126739,False
chr13_56770498_114123862,0.10937,False,0.123637,False
chr22_246150_15013982,0.151156,False,0.119852,False
chr3_164112881_193467200,6.81007,False,0.115338,False
chr23_268930_343473,0.64204,False,0.113978,False
chr3_196908262_196937230,10.185568,False,0.112915,False
chr5_96637773_180644810,1.220862,False,0.104494,False
chr4_74730754_93211181,0.032263,False,0.103435,False
chr17_21627596_22142513,2.052717,False,0.100784,False
chr1_2870100_2901629,0.024346,False,0.100774,False
chr23_91234699_91344716,0.084382,False,0.099501,False
chr16_54354643_54379834,0.682561,False,0.093412,False
chr10_115544_38563575,0.000573,False,0.093213,False
chr15_18722595_20060061,1.579941,False,0.085624,False
chr15_53166_592121,1.345807,False,0.085043,False
chr1_149579637_149598429,0.052395,False,0.085026,False
chr22_37683612_37705310,4.032709,False,0.084356,False
chr22_22725750_24228038,0.648687,False,0.08011,False
chr16_28087_14817706,0.343221,False,0.079347,False
chr8_166452_6907624,10.211061,False,0.077842,False
chr8_28208003_35676140,9.835618,False,0.073071,False
chr11_7803570_50337734,0.399132,False,0.072313,False
chr7_143321677_143391065,2.889727,False,0.07167,False
chr2_131945577_132196569,0.822178,False,0.06502,False
chr18_4316_76110964,5.945058,False,0.064756,False
chr17_22399576_27351012,3.215804,False,0.062124,False
chr8_7040596_8132139,1.689419,False,0.061886,False
chr19_20552279_24157855,3.713717,False,0.061602,False
chr8_39356595_39505256,0.010273,False,0.059945,False
chr16_14956177_14988855,2.453083,False,0.056246,False
chr1_1676445_1703748,0.080241,False,0.054324,False
chr23_26666781_52769796,0.000966,False,0.053924,False
chr23_90837054_91203848,0.175944,False,0.053209,False
chr4_190887518_191165971,1.705338,False,0.053082,False
chr23_354639_385792,0.179393,False,0.052976,False
chr3_75546791_75799957,1.051639,False,0.052864,False
chr1_72661597_109968401,0.533136,False,0.051884,False
chr23_26537079_26627128,1.565713,False,0.050935,False
chr3_193476462_196656506,8.099546,False,0.049271,False
chr11_5777496_7757329,1.650777,False,0.043612,False
chr2_132210961_132323628,1.030533,False,0.041515,False
chr17_41983407_42049540,5.16543,False,0.039622,False
chr23_52844235_66511655,0.100872,False,0.038949,False
chr23_91365063_92103804,0.22875,False,0.038687,False
chr6_32586131_32600962,0.000191,False,0.038507,False
chr1_245134410_245433846,2.779335,False,0.038222,False
chr17_2361350_18868037,6.939684,False,0.036959,False
chr11_182372_5733442,1.984099,False,0.035288,False
chr11_68740184_68943548,1.11186,False,0.034807,False
chr17_2286862_2330659,2.351558,False,0.034385,False
chr10_42150759_46371243,0.000144,False,0.034085,False
chr4_70334625_74719357,0.0,False,0.033572,False
chr6_92035339_170943103,6.563895,False,0.033068,False
chr21_13334960_13435755,1.559534,False,0.031803,False
chr13_5179_123882,1.190507,False,0.031724,False
chr19_239700_3342864,0.464854,False,0.029435,False
chr6_32634044_32728487,0.018756,False,0.028429,False
chr1_3166706_16531740,0.055573,False,0.027826,False
chr9_110086022_110108926,0.040705,False,0.027358,False
chr23_1672003_1706462,0.074704,False,0.023217,False
chr1_109987805_120232261,0.02222,False,0.022529,False
chr10_38596435_42057554,0.016979,False,0.021525,False
chr17_1703729_1713758,9.472299,False,0.019479,False
chr8_63810_90816,7.86554,False,0.015497,False
chr8_8148437_12448374,4.734519,False,0.013342,False
chr21_14334542_46914686,0.366502,False,0.012704,False
chr20_12495273_28266113,0.603701,False,0.011937,False
chr12_9528590_9585156,0.073509,False,0.010762,False
chr1_145820605_146634734,1.650456,False,0.010141,False
chr1_2611444_2645074,0.372298,False,0.010028,False
chr3_196947293_199383479,8.360284,False,0.009952,False
chr17_35286565_35427554,1.635471,False,0.00781,False
chr11_70562838_89296560,0.072537,False,0.006679,False
chr1_37599215_72473289,2.318493,False,0.004317,False
chr14_73071404_73092018,0.014424,False,0.00427,False
chr12_36160215_36244407,0.243584,False,0.003982,False
chr5_32209048_45938397,0.52632,False,0.00374,False
chr6_5839_154410,2.424722,False,0.003272,False
chr3_586636_75535753,0.331139,False,0.00266,False
chr1_3149648_3157982,0.150161,False,0.0,False
chr1_2903052_3112977,0.164267,False,0.0,False
chr1_3125822_3137481,0.038326,False,0.0,False
chr1_2664285_2665530,0.684883,False,0.0,False
chr1_1738295_2580342,0.09378,False,0.0,False
chr1_146661770_149362629,0.0,False,0.0,False
chr1_2672694_2856899,0.385406,False,0.0,False
chr1_149604744_158365270,0.027377,False,0.0,False
chr1_34172947_37578554,0.000309,False,0.0,False
