feature_name,stage1_kw_score,stage1_selected,stage2_score,stage2_selected
chr5_69274433_96603723,7.145758,False,0.512746,True
chr6_32732764_32738443,0.686969,False,0.336916,True
chr16_68838368_69397102,0.170666,False,0.307603,True
chr12_67337260_132389367,0.100869,False,0.287825,True
chr11_89400624_134432265,1.038205,False,0.279081,True
chr12_36739877_67332062,0.187459,False,0.243375,True
chr22_37683612_37705310,3.878465,False,0.197032,True
chr14_105602756_105630089,0.250108,False,0.177771,True
chr16_68710277_68751390,1.04587,False,0.171445,True
chr23_3229_45135,0.2433,False,0.162584,True
chr22_37717564_49509094,0.621818,False,0.158424,True
chr19_56816785_56859204,0.44614,False,0.147301,True
chr16_15039224_33875313,0.185147,False,0.144253,True
chr16_14956177_14988855,1.493726,False,0.141754,True
chr6_204528_634345,0.44894,False,0.129133,True
chr1_3149648_3157982,3.77509,False,0.119625,True
chr19_3363749_20383210,1.067835,False,0.114741,True
chr14_105654998_105839439,0.382165,False,0.11278,True
chr20_29306447_40052114,0.230614,False,0.108094,True
chr15_53166_592121,2.891711,False,0.077531,True
chr15_32523241_32594902,1.095766,False,0.0773,False
chr1_193480150_193527058,0.773649,False,0.07332,False
chr1_17030134_22668805,2.050744,False,0.071196,False
chr15_18657388_18683110,0.900285,False,0.065116,False
chr6_32766023_91964331,0.047966,False,0.063686,False
chr1_72661597_109968401,0.03063,False,0.057481,False
chr17_41983407_42049540,5.403633,False,0.050491,False
chr15_22163893_32511475,0.119207,False,0.048074,False
chr1_199087690_199111062,0.02557,False,0.04323,False
chr11_55124730_55194990,1.397563,False,0.042326,False
chr22_24263116_37678070,0.079437,False,0.04012,False
chr1_149369522_149394958,2.781608,False,0.032511,False
chr17_2361350_18868037,8.586965,False,0.025111,False
chr5_49619946_68850823,3.364634,False,0.011231,False
chr1_244693374_245014643,0.7451,False,0.00693,False
chr14_22022060_73047267,0.274681,False,0.001139,False
chr17_403833_446414,3.885858,False,0.0,False
chr17_451258_461603,6.364854,False,0.0,False
chr17_465054_974692,8.565214,False,0.0,False
chr17_984101_1003742,6.009385,False,0.0,False
chr17_1008443_1536140,8.565214,False,0.0,False
chr17_1542118_1560766,12.137785,True,0.0,False
chr17_1562322_1703117,8.738249,False,0.0,False
chr16_69763173_88690571,0.001593,False,0.0,False
chr12_36160215_36244407,0.788295,False,0.0,False
chr12_11466807_34647417,0.723443,False,0.0,False
chr17_1703729_1713758,10.529868,False,0.0,False
chr17_1718892_1845756,9.668371,False,0.0,False
chr17_1859252_1859812,0.010478,False,0.0,False
chr17_1860983_1881747,0.526967,False,0.0,False
chr17_1890246_2286311,11.536639,True,0.0,False
chr17_2286862_2330659,0.004894,False,0.0,False
chr17_2333732_2343255,3.669516,False,0.0,False
chr12_11404653_11430887,0.237896,False,0.0,False
chr17_19083766_20521986,4.630806,False,0.0,False
chr17_10999_390571,7.86554,False,0.0,False
chr14_105857193_105881279,0.491574,False,0.0,False
chr14_105907191_106349756,0.151345,False,0.0,False
chr14_73106558_105584008,1.039263,False,0.0,False
chr15_739595_18454050,2.53267,False,0.0,False
chr14_73071404_73092018,0.311887,False,0.0,False
chr15_18722595_20060061,0.52586,False,0.0,False
chr15_20307869_21982746,0.072458,False,0.0,False
chr15_22038880_22138119,0.079748,False,0.0,False
chr14_19505698_22000194,0.0122,False,0.0,False
chr15_32605086_100282819,0.145937,False,0.0,False
chr12_10497371_11375835,1.451317,False,0.0,False
chr14_19268776_19490630,0.080383,False,0.0,False
chr14_18149473_19216369,0.0,False,0.0,False
chr16_34095229_34976429,0.448947,False,0.0,False
chr16_45058242_54336421,0.0169,False,0.0,False
chr16_54354643_54379834,0.050886,False,0.0,False
chr13_56770498_114123862,0.079669,False,0.0,False
chr16_54390012_68679377,0.743791,False,0.0,False
chr13_18402053_56673183,2.086201,False,0.0,False
chr13_18194527_18354969,8.8e-05,False,0.0,False
chr16_69417987_69744010,1.487939,False,0.0,False
chr13_5179_123882,0.03245,False,0.0,False
chr16_28087_14817706,0.75926,False,0.0,False
chr21_13461550_13635227,1.852464,False,0.0,False
chr21_13660680_14258259,5.535609,False,0.0,False
chr23_152994680_154492924,0.01605,False,0.0,False
chr23_1672003_1706462,0.602471,False,0.0,False
chr23_2702388_2969155,1.393072,False,0.0,False
chr23_2979705_26516197,0.000468,False,0.0,False
chr23_26537079_26627128,1.306812,False,0.0,False
chr23_26666781_52769796,0.062232,False,0.0,False
chr23_52775986_52832444,0.036905,False,0.0,False
chr23_52844235_66511655,0.003198,False,0.0,False
chr23_66527817_88259698,0.029899,False,0.0,False
chr23_88434081_88986061,0.264157,False,0.0,False
chr23_89001120_90763396,0.857205,False,0.0,False
chr23_90837054_91203848,0.391804,False,0.0,False
chr23_91234699_91344716,1.068488,False,0.0,False
chr17_35076296_35282086,59.2239,True,0.0,False
chr23_92209094_152935130,0.528747,False,0.0,False
chr1_34172947_37578554,0.071716,False,0.0,False
chr21_14294323_14314039,0.501707,False,0.0,False
chr1_1676445_1703748,0.533197,False,0.0,False
chr1_1738295_2580342,0.361232,False,0.0,False
chr1_2611444_2645074,0.138398,False,0.0,False
chr1_2664285_2665530,0.080383,False,0.0,False
chr1_2672694_2856899,0.088263,False,0.0,False
chr1_2870100_2901629,0.451641,False,0.0,False
chr1_2903052_3112977,3.089906,False,0.0,False
chr1_3125822_3137481,2.514029,False,0.0,False
chr1_3166706_16531740,2.723084,False,0.0,False
chr1_16551324_16997273,3.664799,False,0.0,False
chr1_22674759_25318800,3.652503,False,0.0,False
chr1_25354765_34166798,3.931914,False,0.0,False
chr23_91365063_92103804,0.327565,False,0.0,False
chr17_20569693_20596699,0.964782,False,0.0,False
chr17_20618474_21442476,4.954325,False,0.0,False
chr17_21627596_22142513,0.195706,False,0.0,False
chr17_22315936_22324326,0.684824,False,0.0,False
chr17_22399576_27351012,1.750261,False,0.0,False
chr17_27364248_27450834,0.305009,False,0.0,False
chr17_27463558_35067992,0.129338,False,0.0,False
chr12_10464018_10484956,1.897063,False,0.0,False
chr17_35286565_35427554,1.54856,False,0.0,False
chr17_35444422_40926154,5.966518,False,0.0,False
chr17_41011530_41494331,19.694925,True,0.0,False
chr17_41527705_41706870,0.721382,False,0.0,False
chr17_42161364_42873571,16.792154,True,0.0,False
chr17_42975134_43019545,0.429737,False,0.0,False
chr17_43036086_60196060,3.529596,False,0.0,False
chr21_13334960_13435755,3.44266,False,0.0,False
chr21_9896630_10198129,4.574643,False,0.0,False
chr20_40075620_62379059,3.716022,False,0.0,False
chr20_12495273_28266113,0.58367,False,0.0,False
chr20_8747_12478772,0.665068,False,0.0,False
chr19_56864309_63784327,0.231974,False,0.0,False
chr19_34467144_56795493,1.176843,False,0.0,False
chr19_32545047_34430432,3.862761,False,0.0,False
chr17_60204302_60347930,0.314217,False,0.0,False
chr19_20422576_20493401,0.362592,False,0.0,False
chr19_239700_3342864,0.0,False,0.0,False
chr19_232836_236846,0.324217,False,0.0,False
chr19_8246_232080,0.008398,False,0.0,False
chr18_4316_76110964,2.903103,False,0.0,False
chr17_77535412_78653545,1.722938,False,0.0,False
chr17_77442683_77503685,2.769631,False,0.0,False
chr17_60360566_77432294,0.893665,False,0.0,False
chr19_20552279_24157855,0.752192,False,0.0,False
chr2_8972669_89953713,0.102491,False,0.0,False
chr2_91057159_91321476,0.138527,False,0.0,False
chr2_91494116_130410215,0.150868,False,0.0,False
chr2_130427665_130453073,0.135703,False,0.0,False
chr2_130458581_131785093,0.135703,False,0.0,False
chr2_131792734_131931782,0.603813,False,0.0,False
chr2_131945577_132196569,0.131455,False,0.0,False
chr2_132210961_132323628,0.287054,False,0.0,False
chr2_132327604_132947789,0.015656,False,0.0,False
chr2_132974227_231853847,2.086471,False,0.0,False
chr2_231862922_242784096,0.657286,False,0.0,False
chr3_39066_478718,1.128486,False,0.0,False
chr3_515536_574415,2.746341,False,0.0,False
chr3_586636_75535753,0.020696,False,0.0,False
chr3_75546791_75799957,0.023477,False,0.0,False
chr11_70519863_70552702,0.025248,False,0.0,False
chr3_95043863_126884366,6.320717,False,0.0,False
chr3_127015333_163987465,4.901471,False,0.0,False
chr3_163997236_164023510,0.19225,False,0.0,False
chr3_164038925_164101784,2.955653,False,0.0,False
chr3_164112881_193467200,3.273748,False,0.0,False
chr3_193476462_196656506,5.493118,False,0.0,False
chr3_196908262_196937230,5.34492,False,0.0,False
chr3_196947293_199383479,7.253076,False,0.0,False
chr4_5224_49422736,5.330634,False,0.0,False
