feature_name,stage1_kw_score,stage1_selected,stage2_score,stage2_selected
chr15_22163893_32511475,0.027202,False,13.960534,True
chr12_67337260_132389367,0.58692,False,13.197771,True
chr11_89400624_134432265,0.701627,False,12.623911,True
chr5_96637773_180644810,1.902204,False,12.178823,True
chr5_49619946_68850823,3.158409,False,10.573892,True
chr5_69274433_96603723,8.126593,False,9.694194,True
chr12_36739877_67332062,0.035102,False,9.378381,True
chr16_68710277_68751390,0.692527,False,8.477356,True
chr15_18657388_18683110,1.280475,False,8.134853,True
chr22_24263116_37678070,0.160267,False,7.8563,True
chr22_22725750_24228038,0.454224,False,7.485793,True
chr16_69417987_69744010,0.710391,False,6.979464,True
chr15_53166_592121,5.139741,False,6.880843,True
chr15_20307869_21982746,0.082027,False,6.79344,True
chr15_739595_18454050,2.53267,False,6.294048,True
chr6_32732764_32738443,0.001331,False,6.095222,True
chr22_37717564_49509094,1.013359,False,6.015369,True
chr16_68838368_69397102,0.20773,False,5.770517,True
chr22_37683612_37705310,3.357191,False,5.559517,True
chr15_32523241_32594902,0.466239,False,5.50426,True
chr6_1535319_30010234,0.827995,False,5.498424,False
chr16_28087_14817706,0.171692,False,5.321594,False
chr15_18722595_20060061,1.875612,False,5.163279,False
chr1_17030134_22668805,0.626811,False,4.492361,False
chr6_32766023_91964331,0.877485,False,4.35232,False
chr10_115544_38563575,0.089358,False,4.264803,False
chr16_69763173_88690571,0.004785,False,3.961293,False
chr17_984101_1003742,6.933402,False,3.865546,False
chr4_190887518_191165971,2.125491,False,3.862302,False
chr1_120313797_120737345,0.100788,False,3.750997,False
chr6_30021894_32519935,0.205265,False,3.737491,False
chr21_13334960_13435755,2.250712,False,3.724503,False
chr11_5777496_7757329,0.078464,False,3.686119,False
chr1_149369522_149394958,3.828477,False,3.457129,False
chr6_32634044_32728487,0.741035,False,3.398528,False
chr2_131945577_132196569,0.207341,False,3.367718,False
chr6_92035339_170943103,5.532739,False,3.222978,False
chr15_22038880_22138119,0.204454,False,3.166513,False
chr17_41983407_42049540,6.014276,False,3.04858,False
chr16_15039224_33875313,0.003061,False,2.9675,False
chr5_763494_878290,6.436779,False,2.948229,False
chr2_91057159_91321476,0.305926,False,2.718403,False
chr20_8747_12478772,0.362329,False,2.633637,False
chr17_22399576_27351012,0.774328,False,2.520729,False
chr17_2361350_18868037,7.046605,False,2.451099,False
chr11_70519863_70552702,0.04783,False,2.352726,False
chr1_22674759_25318800,1.714828,False,2.324901,False
chr22_22672513_22714749,2.151275,False,2.24317,False
chr17_403833_446414,5.810159,False,2.23836,False
chr16_54390012_68679377,0.588084,False,2.201891,False
chr16_54354643_54379834,0.204051,False,2.179332,False
chr17_1008443_1536140,7.537269,False,2.165162,False
chr17_465054_974692,7.537269,False,2.165162,False
chr14_105654998_105839439,0.381947,False,2.121446,False
chr14_105602756_105630089,1.044268,False,2.066139,False
chr2_8972669_89953713,1.201094,False,2.062901,False
chr4_93240865_190844427,0.165479,False,2.062901,False
chr22_15433500_22665928,3.358912,False,2.026815,False
chr9_153131_40520747,0.03032,False,2.019712,False
chr6_1436117_1512043,3.825008,False,1.973793,False
chr11_182372_5733442,0.329654,False,1.970703,False
chr11_70562838_89296560,0.08887,False,1.945621,False
chr7_143321677_143391065,1.766232,False,1.919277,False
chr21_13461550_13635227,0.603109,False,1.857885,False
chr4_191191940_191311992,0.13904,False,1.848128,False
chr14_18149473_19216369,0.343052,False,1.820466,False
chr13_18194527_18354969,8.8e-05,False,1.782061,False
chr8_47575650_146264846,0.730884,False,1.768438,False
chr21_14334542_46914686,0.657597,False,1.750015,False
chr10_38596435_42057554,1.41976,False,1.731679,False
chr17_77535412_78653545,4.51807,False,1.72546,False
chr17_1562322_1703117,7.68651,False,1.660405,False
chr17_1860983_1881747,0.83453,False,1.637855,False
chr10_42150759_46371243,0.612693,False,1.635831,False
chr17_42975134_43019545,0.027711,False,1.590842,False
chr1_72489681_72620747,1.822353,False,1.590215,False
chr2_91494116_130410215,0.0,False,1.579034,False
chr3_586636_75535753,0.445278,False,1.579034,False
chr1_3166706_16531740,0.669855,False,1.567424,False
chr2_132327604_132947789,0.615135,False,1.514863,False
chr16_34095229_34976429,0.050192,False,1.512612,False
chr1_120761983_120923696,0.001476,False,1.505387,False
chr23_3229_45135,0.359703,False,1.480545,False
chr12_33854_397918,0.161305,False,1.462567,False
chr12_435020_9432943,0.019194,False,1.435268,False
chr23_88434081_88986061,0.000217,False,1.369774,False
chr20_29306447_40052114,1.009911,False,1.358533,False
chr11_51244499_55118214,0.272978,False,1.340648,False
chr23_52844235_66511655,0.238056,False,1.330995,False
chr11_68740184_68943548,0.267792,False,1.317332,False
chr1_141474904_145716245,0.770229,False,1.279015,False
chr3_164112881_193467200,3.685007,False,1.259565,False
chr12_412868_427816,0.137544,False,1.251719,False
chr23_96116_214107,0.002465,False,1.242899,False
chr1_1676445_1703748,0.031435,False,1.220651,False
chr19_32545047_34430432,2.980398,False,1.214686,False
chr1_2927_372295,0.823118,False,1.211688,False
chr4_5224_49422736,3.317497,False,1.195697,False
chr3_75546791_75799957,0.107147,False,1.168201,False
chr6_5839_154410,4.526726,False,1.164214,False
chr23_268930_343473,0.802981,False,1.15961,False
chr21_13660680_14258259,4.051282,False,1.147359,False
chr17_1890246_2286311,10.380544,False,1.139945,False
chr17_1718892_1845756,8.531124,False,1.139945,False
chr17_1542118_1560766,12.620906,True,1.127922,False
chr11_68972488_70505018,0.741523,False,1.082661,False
chr4_70334625_74719357,0.02507,False,1.061462,False
chr3_193476462_196656506,4.255892,False,1.054377,False
chr12_36160215_36244407,0.006032,False,0.992536,False
chr19_3363749_20383210,0.0,False,0.986897,False
chr11_55225136_56294614,0.357981,False,0.955065,False
chr21_14294323_14314039,0.851757,False,0.929095,False
chr11_5742476_5762182,0.000132,False,0.905917,False
chr1_245054641_245121447,0.19097,False,0.89551,False
chr17_60360566_77432294,2.300514,False,0.893273,False
chr10_46396163_135395562,0.22407,False,0.884751,False
chr17_42161364_42873571,18.825902,True,0.877241,False
chr1_2903052_3112977,0.550541,False,0.868118,False
chr2_130458581_131785093,1.223213,False,0.861804,False
chr19_20422576_20493401,0.406181,False,0.860555,False
chr2_132974227_231853847,0.356689,False,0.853053,False
chr15_32605086_100282819,0.172413,False,0.800869,False
chr17_27364248_27450834,0.337228,False,0.800869,False
chr17_20569693_20596699,2.136653,False,0.788026,False
chr19_56816785_56859204,0.079204,False,0.772074,False
chr16_45058242_54336421,0.260136,False,0.764175,False
chr14_105907191_106349756,0.656218,False,0.752505,False
chr17_1859252_1859812,0.000527,False,0.711536,False
chr6_204528_634345,0.029639,False,0.703282,False
chr2_130427665_130453073,0.035685,False,0.697773,False
chr7_141965869_141978333,1.215486,False,0.692665,False
chr14_19268776_19490630,0.003133,False,0.69207,False
chr1_186293872_193443252,0.140874,False,0.690717,False
chr1_199087690_199111062,0.195374,False,0.680941,False
chr12_10497371_11375835,0.017069,False,0.640354,False
chr12_9633884_10453531,0.017069,False,0.640354,False
