pipeline,repeat,outer_fold,stage1_bal_acc,stage1_threshold,stage2_bal_acc,balanced_accuracy,auroc_macro,best_inner_score,stage2_best_inner_std,best_params,stage1_n_features,n_features_selected,stage1_features,selected_features,n_test,n_train_s2,n_routed_to_s2,combined_bal_acc_excl,stage2_bal_acc_excl,n_excluded,en_converged,test_indices,y_true,y_pred,proba_combined,fold_seconds
en_nmc,1,1,1.0,0.2,0.857143,0.904762,0.965507,0.8,0.136219,"{""selector__C"": 0.599484, ""selector__l1_ratio"": 0.1, ""selector__top_k"": 20}",5,20,"chr17_35076296_35282086,chr17_41011530_41494331,chr17_42161364_42873571,chr17_35444422_40926154,chr17_10999_390571","chr16_68838368_69397102,chr16_14956177_14988855,chr12_67337260_132389367,chr1_199087690_199111062,chr23_3229_45135,chr15_53166_592121,chr14_105602756_105630089,chr12_36739877_67332062,chr11_89400624_134432265,chr7_143321677_143391065,chr6_32732764_32738443,chr5_96637773_180644810,chr15_32523241_32594902,chr16_54390012_68679377,chr5_69274433_96603723,chr22_37683612_37705310,chr16_68710277_68751390,chr19_20422576_20493401,chr20_8747_12478772,chr17_77535412_78653545",20,55,13,0.904762,0.857143,0,1.0,"1,6,19,20,39,44,46,50,53,54,55,59,63,67,77,79,82,91,93,99","HR+,HER2+,HR+,Triple Neg,HER2+,HR+,HER2+,HER2+,Triple Neg,HR+,Triple Neg,HR+,HER2+,HER2+,Triple Neg,Triple Neg,Triple Neg,HR+,HR+,HER2+","HR+,HER2+,HR+,Triple Neg,HER2+,HR+,HER2+,HER2+,Triple Neg,HR+,Triple Neg,Triple Neg,HER2+,HER2+,Triple Neg,Triple Neg,Triple Neg,Triple Neg,HR+,HER2+","[[0.0, 0.533677, 0.466323], [0.854, 0.061461, 0.084539], [0.0, 0.716982, 0.283018], [0.0, 0.215856, 0.784144], [0.982, 0.007909, 0.010091], [0.0, 0.519104, 0.480896], [1.0, 0.0, 0.0], [0.94, 0.03027, 0.02973], [0.126, 0.276498, 0.597502], [0.0, 0.662824, 0.337176], [0.04, 0.381074, 0.578926], [0.0, 0.342548, 0.657452], [0.718, 0.106135, 0.175865], [0.998, 0.000802, 0.001198], [0.0, 0.494373, 0.505627], [0.0, 0.341414, 0.658586], [0.0, 0.378078, 0.621922], [0.0, 0.460413, 0.539587], [0.0, 0.702422, 0.297578], [0.966, 0.0071, 0.0269]]",214.7
en_nmc,1,2,1.0,0.1,0.690476,0.793651,0.923687,0.876667,0.042947,"{""selector__C"": 2.15443, ""selector__l1_ratio"": 0.5, ""selector__top_k"": 10}",5,10,"chr17_35076296_35282086,chr17_41011530_41494331,chr17_42161364_42873571,chr8_166452_6907624,chr17_1542118_1560766","chr1_149369522_149394958,chr16_68710277_68751390,chr12_36739877_67332062,chr12_67337260_132389367,chr17_2361350_18868037,chr16_15039224_33875313,chr16_28087_14817706,chr11_89400624_134432265,chr16_68838368_69397102,chr20_8747_12478772",20,55,13,0.793651,0.690476,0,1.0,"27,28,34,35,49,56,57,62,66,73,76,78,84,85,87,89,94,95,97,98","Triple Neg,HER2+,HR+,HR+,Triple Neg,HER2+,HER2+,Triple Neg,HR+,HR+,HER2+,HR+,HER2+,HER2+,Triple Neg,Triple Neg,Triple Neg,HER2+,HR+,HR+","HR+,HER2+,HR+,HR+,Triple Neg,HER2+,HER2+,Triple Neg,Triple Neg,HR+,HER2+,HR+,HER2+,HER2+,Triple Neg,HR+,Triple Neg,HER2+,Triple Neg,HR+","[[0.064, 0.613428, 0.322572], [0.946, 0.028231, 0.025769], [0.012, 0.667701, 0.320299], [0.0, 0.691471, 0.308529], [0.0, 0.371831, 0.628169], [0.714, 0.043353, 0.242647], [1.0, 0.0, 0.0], [0.002, 0.446752, 0.551248], [0.0, 0.401055, 0.598945], [0.0, 0.580223, 0.419777], [0.94, 0.020163, 0.039837], [0.01, 0.709829, 0.280171], [0.94, 0.040242, 0.019758], [0.812, 0.093679, 0.094321], [0.0, 0.374974, 0.625026], [0.0, 0.576321, 0.423679], [0.0, 0.260782, 0.739218], [0.808, 0.071797, 0.120203], [0.0, 0.133365, 0.866635], [0.058, 0.642424, 0.299576]]",181.4
en_nmc,1,3,1.0,0.15,0.6875,0.791667,0.880456,0.81,0.128062,"{""selector__C"": 0.0464159, ""selector__l1_ratio"": 0.1, ""selector__top_k"": 20}",5,20,"chr17_35076296_35282086,chr17_41011530_41494331,chr17_42161364_42873571,chr17_1542118_1560766,chr3_196908262_196937230","chr16_28087_14817706,chr5_69274433_96603723,chr16_68838368_69397102,chr12_36739877_67332062,chr12_67337260_132389367,chr5_96637773_180644810,chr6_32732764_32738443,chr15_22163893_32511475,chr1_149369522_149394958,chr22_24263116_37678070,chr5_49619946_68850823,chr2_8972669_89953713,chr10_115544_38563575,chr6_32766023_91964331,chr6_30021894_32519935,chr22_37683612_37705310,chr22_22725750_24228038,chr23_3229_45135,chr6_92035339_170943103,chr6_1535319_30010234",20,54,14,0.791667,0.6875,0,1.0,"3,9,10,11,13,14,22,23,24,25,30,37,41,45,51,65,68,69,72,83","Triple Neg,HER2+,HR+,Triple Neg,HER2+,Triple Neg,HR+,HER2+,HR+,HER2+,HR+,Triple Neg,Triple Neg,Triple Neg,HR+,HER2+,HER2+,HR+,HR+,HR+","Triple Neg,HER2+,HR+,Triple Neg,HER2+,Triple Neg,Triple Neg,HER2+,HR+,HER2+,HR+,HR+,HR+,HR+,HR+,HER2+,HER2+,HR+,HR+,HR+","[[0.036, 0.275475, 0.688525], [0.754, 0.048401, 0.197599], [0.004, 0.919511, 0.076489], [0.004, 0.224636, 0.771364], [1.0, 0.0, 0.0], [0.0, 0.382057, 0.617943], [0.0, 0.380729, 0.619271], [1.0, 0.0, 0.0], [0.0, 0.861605, 0.138395], [1.0, 0.0, 0.0], [0.0, 0.823084, 0.176916], [0.012, 0.689411, 0.298589], [0.008, 0.843588, 0.148412], [0.006, 0.85535, 0.13865], [0.0, 0.802094, 0.197906], [1.0, 0.0, 0.0], [1.0, 0.0, 0.0], [0.016, 0.529384, 0.454616], [0.016, 0.762622, 0.221378], [0.048, 0.7872, 0.1648]]",178.4
en_nmc,1,4,1.0,0.1,0.785714,0.857143,0.92674,0.82,0.09798,"{""selector__C"": 0.0464159, ""selector__l1_ratio"": 0.1, ""selector__top_k"": 20}",5,20,"chr17_35076296_35282086,chr17_41011530_41494331,chr17_42161364_42873571,chr8_16373516_28182114,chr8_166452_6907624","chr16_68838368_69397102,chr12_36739877_67332062,chr15_22163893_32511475,chr16_54390012_68679377,chr5_96637773_180644810,chr15_32523241_32594902,chr20_8747_12478772,chr16_28087_14817706,chr12_67337260_132389367,chr6_32766023_91964331,chr22_24263116_37678070,chr22_15433500_22665928,chr15_18657388_18683110,chr15_20307869_21982746,chr3_586636_75535753,chr11_89400624_134432265,chr23_3229_45135,chr22_37683612_37705310,chr5_69274433_96603723,chr15_739595_18454050",20,54,14,0.944444,0.916667,2,1.0,"2,4,5,7,12,15,16,17,26,31,32,36,47,48,74,75,80,86,88,96","HR+,Triple Neg,HR+,HER2+,HER2+,Triple Neg,HR+,HER2+,HER2+,HER2+,HR+,Triple Neg,HER2+,Triple Neg,HR+,Triple Neg,Triple Neg,HR+,Triple Neg,HR+","Triple Neg,HR+,HR+,HER2+,HER2+,Triple Neg,HR+,HER2+,HER2+,HER2+,HR+,Triple Neg,HER2+,Triple Neg,HR+,Triple Neg,Triple Neg,Triple Neg,Triple Neg,HR+","[[0.00135, 0.188751, 0.809899], [0.0, 0.653979, 0.346021], [0.00135, 0.718575, 0.280075], [0.99935, 0.000285, 0.000365], [0.99935, 4.6e-05, 0.000604], [0.00335, 0.375858, 0.620792], [0.00335, 0.748057, 0.248593], [0.92, 0.053085, 0.026915], [0.99935, 0.000357, 0.000293], [0.872, 0.049676, 0.078324], [0.00135, 0.569525, 0.429125], [0.00135, 0.289532, 0.709118], [0.99935, 0.000288, 0.000362], [0.00335, 0.204865, 0.791785], [0.0, 0.794652, 0.205348], [0.00135, 0.179401, 0.819249], [0.0, 0.231098, 0.768902], [0.00135, 0.28224, 0.71641], [0.0, 0.170184, 0.829816], [0.00135, 0.620524, 0.378126]]",172.6
en_nmc,1,5,1.0,0.2,0.928571,0.952381,0.981685,0.83,0.141185,"{""selector__C"": 2.15443, ""selector__l1_ratio"": 0.9, ""selector__top_k"": 50}",5,50,"chr17_35076296_35282086,chr17_42161364_42873571,chr17_41011530_41494331,chr17_1542118_1560766,chr6_92035339_170943103","chr16_68838368_69397102,chr12_36739877_67332062,chr14_105602756_105630089,chr6_32766023_91964331,chr15_22163893_32511475,chr1_17030134_22668805,chr6_32732764_32738443,chr12_67337260_132389367,chr2_131945577_132196569,chr16_15039224_33875313,chr1_149369522_149394958,chr22_37683612_37705310,chr3_196908262_196937230,chr11_89400624_134432265,chr16_68710277_68751390,chr11_55200744_55207305,chr14_22022060_73047267,chr15_18657388_18683110,chr22_37717564_49509094,chr23_1672003_1706462,chr11_55124730_55194990,chr15_32523241_32594902,chr22_24263116_37678070,chr19_3363749_20383210,chr15_20307869_21982746,chr14_73071404_73092018,chr16_14956177_14988855,chr1_199087690_199111062,chr1_3149648_3157982,chr1_193480150_193527058,chr5_69274433_96603723,chr23_3229_45135,chr12_9528590_9585156,chr19_34467144_56795493,chr12_11404653_11430887,chr20_29306447_40052114,chr1_244693374_245014643,chr4_69215734_69311985,chr6_30021894_32519935,chr6_92035339_170943103,chr7_38065862_61275990,chr6_32634044_32728487,chr6_32605300_32629848,chr6_32586131_32600962,chr6_1535319_30010234,chr6_1436117_1512043,chr6_655129_1435871,chr6_204528_634345,chr6_5839_154410,chr5_96637773_180644810",20,54,14,0.952381,0.928571,0,1.0,"0,8,18,21,29,33,38,40,42,43,52,58,60,61,64,70,71,81,90,92","HER2+,Triple Neg,HR+,HER2+,HR+,HER2+,Triple Neg,HR+,HR+,Triple Neg,HR+,Triple Neg,HER2+,HR+,HR+,HER2+,HER2+,Triple Neg,Triple Neg,Triple Neg","HER2+,Triple Neg,HR+,HER2+,HR+,HER2+,Triple Neg,Triple Neg,HR+,Triple Neg,HR+,Triple Neg,HER2+,HR+,HR+,HER2+,HER2+,Triple Neg,Triple Neg,Triple Neg","[[1.0, 0.0, 0.0], [0.0, 0.454322, 0.545678], [0.0, 0.598513, 0.401487], [1.0, 0.0, 0.0], [0.0, 0.741726, 0.258274], [0.962, 0.015652, 0.022348], [0.0, 0.243074, 0.756926], [0.006, 0.321855, 0.672145], [0.006, 0.534003, 0.459997], [0.0, 0.266647, 0.733353], [0.0, 0.702419, 0.297581], [0.0, 0.432045, 0.567955], [0.962, 0.020355, 0.017645], [0.0, 0.689374, 0.310626], [0.014, 0.582154, 0.403846], [1.0, 0.0, 0.0], [0.926, 0.038928, 0.035072], [0.0, 0.316862, 0.683138], [0.0, 0.14641, 0.85359], [0.0, 0.324073, 0.675927]]",184.4
en_nmc,10,1,0.961538,0.15,0.845238,0.84127,0.965507,0.816667,0.091287,"{""selector__C"": 0.0464159, ""selector__l1_ratio"": 0.3, ""selector__top_k"": 50}",5,50,"chr17_35076296_35282086,chr17_41011530_41494331,chr17_1542118_1560766,chr17_42161364_42873571,chr17_1703729_1713758","chr12_36739877_67332062,chr15_18657388_18683110,chr16_68838368_69397102,chr22_24263116_37678070,chr15_22163893_32511475,chr11_89400624_134432265,chr15_32523241_32594902,chr16_69417987_69744010,chr22_22725750_24228038,chr22_37717564_49509094,chr5_69274433_96603723,chr12_67337260_132389367,chr4_190887518_191165971,chr16_28087_14817706,chr16_68710277_68751390,chr15_739595_18454050,chr5_96637773_180644810,chr4_191191940_191311992,chr7_61474815_141189966,chr5_75149_745859,chr5_763494_878290,chr7_38065862_61275990,chr7_140213_38060725,chr6_92035339_170943103,chr6_32766023_91964331,chr5_916822_21966989,chr6_32732764_32738443,chr6_32634044_32728487,chr6_32605300_32629848,chr5_32209048_45938397,chr5_49619946_68850823,chr7_141214728_141245219,chr6_32586131_32600962,chr6_30021894_32519935,chr6_1535319_30010234,chr6_5839_154410,chr6_1436117_1512043,chr6_655129_1435871,chr6_204528_634345,chr5_21979223_32203336,chr11_55124730_55194990,chr11_51244499_55118214,chr11_7803570_50337734,chr11_7762277_7797993,chr11_5777496_7757329,chr11_5742476_5762182,chr11_182372_5733442,chr10_46396163_135395562,chr10_42150759_46371243,chr10_38596435_42057554",20,55,12,0.888889,0.916667,1,1.0,"2,7,8,9,10,11,12,16,18,20,24,25,33,43,53,72,74,76,85,89","HR+,HER2+,Triple Neg,HER2+,HR+,Triple Neg,HER2+,HR+,HR+,Triple Neg,HR+,HER2+,HER2+,Triple Neg,Triple Neg,HR+,HR+,HER2+,HER2+,Triple Neg","Triple Neg,HER2+,HR+,HER2+,HR+,Triple Neg,HER2+,HR+,HR+,Triple Neg,HR+,HER2+,HER2+,Triple Neg,HER2+,HR+,HR+,HER2+,HER2+,Triple Neg","[[0.03, 0.207481, 0.762519], [1.0, 0.0, 0.0], [0.0, 0.556547, 0.443453], [0.764, 0.06251, 0.17349], [0.022, 0.863259, 0.114741], [0.002, 0.393578, 0.604422], [1.0, 0.0, 0.0], [0.006, 0.79153, 0.20247], [0.0, 0.669344, 0.330656], [0.006, 0.322482, 0.671518], [0.0, 0.779603, 0.220397], [1.0, 0.0, 0.0], [1.0, 0.0, 0.0], [0.0, 0.183798, 0.816202], [0.152, 0.17578, 0.67222], [0.032, 0.701678, 0.266322], [0.0, 0.785242, 0.214758], [0.98, 0.009511, 0.010489], [0.998, 0.000864, 0.001136], [0.03, 0.333038, 0.636962]]",215.1
en_nmc,10,2,1.0,0.15,0.761905,0.84127,0.977106,0.816667,0.103816,"{""selector__C"": 0.599484, ""selector__l1_ratio"": 0.7, ""selector__top_k"": 50}",5,50,"chr17_35076296_35282086,chr17_41011530_41494331,chr17_42161364_42873571,chr17_1890246_2286311,chr17_10999_390571","chr16_68838368_69397102,chr6_32732764_32738443,chr12_36739877_67332062,chr5_69274433_96603723,chr6_1535319_30010234,chr12_67337260_132389367,chr1_149369522_149394958,chr22_15433500_22665928,chr6_32766023_91964331,chr16_14956177_14988855,chr1_17030134_22668805,chr14_105602756_105630089,chr16_15039224_33875313,chr16_68710277_68751390,chr1_199087690_199111062,chr16_28087_14817706,chr17_2361350_18868037,chr15_20307869_21982746,chr22_37683612_37705310,chr15_22163893_32511475,chr23_3229_45135,chr15_739595_18454050,chr11_55124730_55194990,chr22_37717564_49509094,chr19_20422576_20493401,chr3_586636_75535753,chr15_32523241_32594902,chr5_96637773_180644810,chr20_29306447_40052114,chr20_8747_12478772,chr6_30021894_32519935,chr11_89400624_134432265,chr6_32634044_32728487,chr3_39066_478718,chr6_204528_634345,chr7_141259727_141549648,chr7_141214728_141245219,chr7_61474815_141189966,chr7_38065862_61275990,chr19_20552279_24157855,chr7_140213_38060725,chr6_92035339_170943103,chr19_32545047_34430432,chr19_34467144_56795493,chr19_56816785_56859204,chr6_655129_1435871,chr19_56864309_63784327,chr20_12495273_28266113,chr7_141965869_141978333,chr6_32605300_32629848",20,55,13,0.84127,0.761905,0,1.0,"3,6,17,23,39,42,44,45,54,57,59,61,62,65,75,78,79,88,98,99","Triple Neg,HER2+,HER2+,HER2+,HER2+,HR+,HR+,Triple Neg,HR+,HER2+,HR+,HR+,Triple Neg,HER2+,Triple Neg,HR+,Triple Neg,Triple Neg,HR+,HER2+","Triple Neg,HER2+,HER2+,HER2+,HER2+,HR+,HR+,HR+,HR+,HER2+,Triple Neg,HR+,Triple Neg,HER2+,HR+,HR+,Triple Neg,Triple Neg,HR+,HER2+","[[0.0, 0.320283, 0.679717], [0.972, 0.009289, 0.018711], [1.0, 0.0, 0.0], [1.0, 0.0, 0.0], [0.99, 0.003817, 0.006183], [0.004, 0.64297, 0.35303], [0.0, 0.684543, 0.315457], [0.0, 0.616078, 0.383922], [0.004, 0.7674, 0.2286], [1.0, 0.0, 0.0], [0.002, 0.444416, 0.553584], [0.0, 0.692903, 0.307097], [0.07, 0.160624, 0.769376], [1.0, 0.0, 0.0], [0.004, 0.5103, 0.4857], [0.0, 0.740582, 0.259418], [0.0, 0.294295, 0.705705], [0.0, 0.292452, 0.707548], [0.006, 0.570538, 0.423462], [0.972, 0.008857, 0.019143]]",211.0
en_nmc,10,3,1.0,0.2,0.9375,0.958333,0.955357,0.73,0.049889,"{""selector__C"": 0.599484, ""selector__l1_ratio"": 0.3, ""selector__top_k"": 50}",5,50,"chr17_35076296_35282086,chr17_41011530_41494331,chr17_42161364_42873571,chr8_166452_6907624,chr17_1542118_1560766","chr1_149369522_149394958,chr12_67337260_132389367,chr14_105602756_105630089,chr16_68838368_69397102,chr6_32766023_91964331,chr5_69274433_96603723,chr12_36739877_67332062,chr20_8747_12478772,chr22_37683612_37705310,chr1_193480150_193527058,chr1_199087690_199111062,chr15_22163893_32511475,chr6_32732764_32738443,chr5_96637773_180644810,chr19_56816785_56859204,chr19_20552279_24157855,chr11_89400624_134432265,chr23_3229_45135,chr16_68710277_68751390,chr12_9528590_9585156,chr14_22022060_73047267,chr1_17030134_22668805,chr15_32523241_32594902,chr19_3363749_20383210,chr16_45058242_54336421,chr15_20307869_21982746,chr15_53166_592121,chr16_15039224_33875313,chr22_37717564_49509094,chr15_18657388_18683110,chr1_72661597_109968401,chr20_29306447_40052114,chr2_131945577_132196569,chr11_55200744_55207305,chr6_30021894_32519935,chr19_32545047_34430432,chr1_1676445_1703748,chr3_196908262_196937230,chr22_15270151_15403609,chr18_4316_76110964,chr1_2870100_2901629,chr21_13334960_13435755,chr10_115544_38563575,chr11_70562838_89296560,chr3_75546791_75799957,chr23_92209094_152935130,chr5_49619946_68850823,chr23_152994680_154492924,chr2_8972669_89953713,chr8_39356595_39505256",20,54,14,0.958333,0.9375,0,1.0,"1,19,26,28,31,32,34,36,40,49,51,52,58,68,69,71,82,84,87,92","HR+,HR+,HER2+,HER2+,HER2+,HR+,HR+,Triple Neg,HR+,Triple Neg,HR+,HR+,Triple Neg,HER2+,HR+,HER2+,Triple Neg,HER2+,Triple Neg,Triple Neg","HR+,HR+,HER2+,HER2+,HER2+,HR+,HR+,Triple Neg,Triple Neg,Triple Neg,HR+,HR+,Triple Neg,HER2+,HR+,HER2+,Triple Neg,HER2+,Triple Neg,Triple Neg","[[0.0, 0.503974, 0.496026], [0.002, 0.757358, 0.240642], [1.0, 0.0, 0.0], [0.924, 0.0345, 0.0415], [0.9, 0.048668, 0.051332], [0.022, 0.51996, 0.45804], [0.004, 0.647199, 0.348801], [0.022, 0.455812, 0.522188], [0.004, 0.272095, 0.723905], [0.0, 0.416734, 0.583266], [0.0, 0.752729, 0.247271], [0.0, 0.727488, 0.272512], [0.0, 0.427245, 0.572755], [1.0, 0.0, 0.0], [0.11, 0.503647, 0.386353], [0.922, 0.049986, 0.028014], [0.0, 0.317974, 0.682026], [0.986, 0.007931, 0.006069], [0.0, 0.314908, 0.685092], [0.0, 0.36178, 0.63822]]",210.5
en_nmc,10,4,1.0,0.15,0.571429,0.714286,0.897436,0.793333,0.140079,"{""selector__C"": 0.599484, ""selector__l1_ratio"": 0.1, ""selector__top_k"": 50}",5,50,"chr17_35076296_35282086,chr17_41011530_41494331,chr17_42161364_42873571,chr6_92035339_170943103,chr14_105857193_105881279","chr16_68838368_69397102,chr12_36739877_67332062,chr22_37683612_37705310,chr15_22163893_32511475,chr5_69274433_96603723,chr12_67337260_132389367,chr3_586636_75535753,chr16_68710277_68751390,chr19_20422576_20493401,chr11_89400624_134432265,chr16_45058242_54336421,chr1_17030134_22668805,chr23_3229_45135,chr5_96637773_180644810,chr1_149369522_149394958,chr16_54390012_68679377,chr4_69215734_69311985,chr6_32732764_32738443,chr19_8246_232080,chr20_29306447_40052114,chr16_28087_14817706,chr1_199087690_199111062,chr15_739595_18454050,chr23_959048_1398694,chr17_403833_446414,chr1_145820605_146634734,chr17_77535412_78653545,chr23_92209094_152935130,chr15_18657388_18683110,chr15_18722595_20060061,chr2_131945577_132196569,chr6_92035339_170943103,chr4_70334625_74719357,chr6_32766023_91964331,chr11_7803570_50337734,chr2_132974227_231853847,chr7_143321677_143391065,chr16_69763173_88690571,chr3_164112881_193467200,chr20_8747_12478772,chr11_55124730_55194990,chr2_132210961_132323628,chr18_4316_76110964,chr21_13334960_13435755,chr8_28208003_35676140,chr2_91057159_91321476,chr3_75546791_75799957,chr1_3149648_3157982,chr8_35694285_39333915,chr14_22022060_73047267",20,54,14,0.746032,0.619048,1,1.0,"0,4,13,14,22,29,30,35,38,46,47,56,70,77,81,90,91,93,94,97","HER2+,Triple Neg,HER2+,Triple Neg,HR+,HR+,HR+,HR+,Triple Neg,HER2+,HER2+,HER2+,HER2+,Triple Neg,Triple Neg,Triple Neg,HR+,HR+,Triple Neg,HR+","HER2+,HR+,HER2+,HR+,Triple Neg,HR+,HR+,Triple Neg,Triple Neg,HER2+,HER2+,HER2+,HER2+,HR+,Triple Neg,Triple Neg,HR+,HR+,Triple Neg,Triple Neg","[[0.998, 0.000444, 0.001556], [0.0, 0.734828, 0.265172], [0.924, 0.034973, 0.041027], [0.006, 0.523533, 0.470467], [0.006, 0.248209, 0.745791], [0.006, 0.688718, 0.305282], [0.0, 0.732782, 0.267218], [0.002, 0.419713, 0.578287], [0.002, 0.318398, 0.679602], [0.996, 0.001288, 0.002712], [0.998, 0.000637, 0.001363], [0.816, 0.056289, 0.127711], [0.996, 0.001348, 0.002652], [0.006, 0.518916, 0.475084], [0.014, 0.224993, 0.761007], [0.014, 0.294253, 0.691747], [0.006, 0.579193, 0.414807], [0.0, 0.741978, 0.258022], [0.002, 0.186684, 0.811316], [0.0, 0.431413, 0.568587]]",220.4
en_nmc,10,5,1.0,0.2,0.714286,0.809524,0.904762,0.89,0.104137,"{""selector__C"": 0.599484, ""selector__l1_ratio"": 0.7, ""selector__top_k"": 10}",5,10,"chr17_35076296_35282086,chr17_41011530_41494331,chr17_42161364_42873571,chr17_1542118_1560766,chr8_166452_6907624","chr12_36739877_67332062,chr16_28087_14817706,chr16_68838368_69397102,chr6_32766023_91964331,chr15_32523241_32594902,chr3_196908262_196937230,chr12_67337260_132389367,chr6_30021894_32519935,chr11_89400624_134432265,chr15_53166_592121",20,54,14,0.809524,0.714286,0,1.0,"5,15,21,27,37,41,48,50,55,60,63,64,66,67,73,80,83,86,95,96","HR+,Triple Neg,HER2+,Triple Neg,Triple Neg,Triple Neg,Triple Neg,HER2+,Triple Neg,HER2+,HER2+,HR+,HR+,HER2+,HR+,Triple Neg,HR+,HR+,HER2+,HR+","Triple Neg,Triple Neg,HER2+,HR+,Triple Neg,Triple Neg,Triple Neg,HER2+,Triple Neg,HER2+,HER2+,Triple Neg,Triple Neg,HER2+,HR+,Triple Neg,HR+,HR+,HER2+,HR+","[[0.034, 0.428546, 0.537454], [0.004, 0.404411, 0.591589], [0.99, 0.005298, 0.004702], [0.008, 0.591338, 0.400662], [0.0, 0.465539, 0.534461], [0.002, 0.421632, 0.576368], [0.0, 0.407512, 0.592488], [0.964, 0.0241, 0.0119], [0.004, 0.470603, 0.525397], [0.938, 0.038966, 0.023034], [0.858, 0.070788, 0.071212], [0.0, 0.47696, 0.52304], [0.0, 0.333912, 0.666088], [1.0, 0.0, 0.0], [0.0, 0.579423, 0.420577], [0.0, 0.222803, 0.777197], [0.02, 0.642001, 0.337999], [0.0, 0.569133, 0.430867], [0.944, 0.032471, 0.023529], [0.0, 0.583402, 0.416598]]",224.7
