feature_name,stage1_kw_score,stage1_selected,stage2_score,stage2_selected
chr16_68838368_69397102,1.295004,False,13.378752,True
chr22_24263116_37678070,0.013859,False,10.722812,True
chr22_37717564_49509094,0.000525,False,10.528397,True
chr16_69763173_88690571,1.408821,False,8.501201,True
chr16_68710277_68751390,0.111765,False,8.382766,True
chr5_96637773_180644810,2.113271,False,7.768958,True
chr22_22725750_24228038,0.406314,False,7.627243,True
chr22_15433500_22665928,1.400797,False,7.595281,True
chr16_54390012_68679377,0.503682,False,7.564052,True
chr6_92035339_170943103,4.377154,False,6.498674,True
chr23_3229_45135,0.124892,False,6.395069,True
chr6_1535319_30010234,0.001288,False,6.261632,True
chr15_22163893_32511475,0.404978,False,5.977064,True
chr12_36739877_67332062,0.381852,False,5.784665,True
chr11_89400624_134432265,0.59972,False,5.745053,True
chr5_49619946_68850823,2.323119,False,5.693892,True
chr15_18657388_18683110,0.080202,False,5.569013,True
chr1_1676445_1703748,1.897049,False,5.430781,True
chr17_77535412_78653545,2.478915,False,5.396944,True
chr6_30021894_32519935,1.400797,False,5.357414,True
chr7_141965869_141978333,0.94937,False,5.25279,True
chr23_96116_214107,1.809224,False,5.05564,True
chr16_28087_14817706,0.80905,False,4.851176,True
chr17_41983407_42049540,4.899077,False,4.764473,True
chr5_69274433_96603723,7.685682,False,4.743573,True
chr6_32766023_91964331,0.208098,False,4.72679,True
chr12_67337260_132389367,0.498228,False,4.456869,True
chr3_164112881_193467200,4.574171,False,4.352412,True
chr15_32523241_32594902,0.587932,False,4.326598,True
chr14_105654998_105839439,0.537125,False,4.213346,True
chr16_69417987_69744010,4.252028,False,4.202366,False
chr2_8972669_89953713,0.135182,False,4.048215,False
chr2_131945577_132196569,0.881393,False,3.986611,False
chr15_739595_18454050,2.814933,False,3.944355,False
chr16_45058242_54336421,0.24158,False,3.934265,False
chr6_32732764_32738443,0.525633,False,3.921346,False
chr21_13334960_13435755,2.298182,False,3.793103,False
chr12_435020_9432943,0.594301,False,3.76937,False
chr11_55225136_56294614,0.4651,False,3.760359,False
chr17_2361350_18868037,9.159147,False,3.652768,False
chr15_20307869_21982746,0.328312,False,3.574271,False
chr20_8747_12478772,0.36406,False,3.545827,False
chr16_15039224_33875313,0.114417,False,3.449602,False
chr3_586636_75535753,0.659987,False,3.33679,False
